country,base_scenario,scenario,unit,year,refinery_output_total,unit_share,unit_feed,spec_cons_wt,h2_demand
AT,DE,max-electron,Residue Hydrocracker,2019,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,max-electron,Residue Hydrocracker,2020,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,max-electron,Residue Hydrocracker,2021,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,max-electron,Residue Hydrocracker,2022,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,max-electron,Residue Hydrocracker,2023,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,max-electron,Residue Hydrocracker,2024,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,max-electron,Residue Hydrocracker,2025,175709.9381293091,0.00246646184378757,433.38185797021555,4.07,20.108051446102063
AT,DE,max-electron,Residue Hydrocracker,2026,166039.73868338185,0.002281952381914013,378.8947771809235,4.07,17.57995987164049
AT,DE,max-electron,Residue Hydrocracker,2027,156369.53923745456,0.00207462206497266,324.40769639163136,4.07,15.051868297178913
AT,DE,max-electron,Residue Hydrocracker,2028,146699.33979152725,0.0018399579438184272,269.92061560233924,4.07,12.523776722717338
AT,DE,max-electron,Residue Hydrocracker,2029,137029.1403456,0.0015721731470379524,215.4335348130472,4.07,9.995685148255765
AT,DE,max-electron,Residue Hydrocracker,2030,127358.94089967269,0.0012637232446094306,160.94645402375508,4.07,7.467593573794189
AT,DE,max-electron,Residue Hydrocracker,2031,119497.2095782811,0.0012121773314421123,144.8518086213796,4.07,6.720834216414772
AT,DE,max-electron,Residue Hydrocracker,2032,111635.47825688949,0.0011533713585453102,128.75716321900407,4.07,5.974074859035352
AT,DE,max-electron,Residue Hydrocracker,2033,103773.74693549785,0.001085655294750566,112.66251781662857,4.07,5.227315501655933
AT,DE,max-electron,Residue Hydrocracker,2034,95912.01561410626,0.0010068381088224189,96.56787241425306,4.07,4.480556144276514
AT,DE,max-electron,Residue Hydrocracker,2035,88050.28429271466,0.0009139462485362579,80.47322701187755,4.07,3.733796786897095
AT,DE,max-electron,Residue Hydrocracker,2036,80188.55297132302,0.0008028400466650779,64.37858160950205,4.07,2.9870374295176765
AT,DE,max-electron,Residue Hydrocracker,2037,72326.82164993141,0.0006675799531303242,48.28393620712653,4.07,2.240278072138257
AT,DE,max-electron,Residue Hydrocracker,2038,64465.0903285398,0.0004993290266204788,32.18929080475102,4.07,1.493518714758838
AT,DE,max-electron,Residue Hydrocracker,2039,56603.3590071482,0.0002843408180129906,16.094645402375498,4.07,0.7467593573794185
AT,DE,max-electron,Residue Hydrocracker,2040,48741.62768575658,0.0,0.0,4.07,0.0
AT,DE,max-electron,Residue Hydrocracker,2041,45622.28422370867,0.0,0.0,4.07,0.0
AT,DE,max-electron,Residue Hydrocracker,2042,42502.940761660764,0.0,0.0,4.07,0.0
AT,DE,max-electron,Residue Hydrocracker,2043,39383.59729961286,0.0,0.0,4.07,0.0
AT,DE,max-electron,Residue Hydrocracker,2044,36264.253837564975,0.0,0.0,4.07,0.0
AT,DE,max-electron,Residue Hydrocracker,2045,33144.91037551707,0.0,0.0,4.07,0.0
AT,DE,max-electron,Residue Hydrocracker,2046,30025.56691346916,0.0,0.0,4.07,0.0
AT,DE,max-electron,Residue Hydrocracker,2047,26906.223451421258,0.0,0.0,4.07,0.0
AT,DE,max-electron,Residue Hydrocracker,2048,23786.87998937335,0.0,0.0,4.07,0.0
AT,DE,max-electron,Residue Hydrocracker,2049,20667.536527325454,0.0,0.0,4.07,0.0
AT,DE,max-electron,Residue Hydrocracker,2050,17548.193065277548,0.0,0.0,4.07,0.0
AT,DE,max-electron,VGO Hydrocracker,2019,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,max-electron,VGO Hydrocracker,2020,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,max-electron,VGO Hydrocracker,2021,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,max-electron,VGO Hydrocracker,2022,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,max-electron,VGO Hydrocracker,2023,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,max-electron,VGO Hydrocracker,2024,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,max-electron,VGO Hydrocracker,2025,175709.9381293091,0.1967921683873061,34578.33973166613,2.9,1143.1599115288823
AT,DE,max-electron,VGO Hydrocracker,2026,166039.73868338185,0.19962034774530985,33144.91037551706,2.9,1095.770737014594
AT,DE,max-electron,VGO Hydrocracker,2027,156369.53923745456,0.20279832743647472,31711.48101936799,2.9,1048.3815625003058
AT,DE,max-electron,VGO Hydrocracker,2028,146699.33979152725,0.20639528239354532,30278.05166321893,2.9,1000.9923879860178
AT,DE,max-electron,VGO Hydrocracker,2029,137029.1403456,0.21049991435632662,28844.622307069858,2.9,953.6032134717295
AT,DE,max-electron,VGO Hydrocracker,2030,127358.94089967269,0.21522786509754366,27411.192950920788,2.9,906.2140389574413
AT,DE,max-electron,VGO Hydrocracker,2031,119497.2095782811,0.21817508386331017,26071.313721173028,2.9,861.9176316219804
AT,DE,max-electron,VGO Hydrocracker,2032,111635.47825688949,0.2215374079780859,24731.434491425265,2.9,817.6212242865192
AT,DE,max-electron,VGO Hydrocracker,2033,103773.74693549785,0.22540918057258624,23391.555261677502,2.9,773.3248169510582
AT,DE,max-electron,VGO Hydrocracker,2034,95912.01561410626,0.22991567730838613,22051.676031929746,2.9,729.0284096155974
AT,DE,max-electron,VGO Hydrocracker,2035,88050.28429271466,0.23522691571701937,20711.796802181983,2.9,684.7320022801364
AT,DE,max-electron,VGO Hydrocracker,2036,80188.55297132302,0.24157958779181357,19371.917572434224,2.9,640.4355949446755
AT,DE,max-electron,VGO Hydrocracker,2037,72326.82164993141,0.24931329666279567,18032.038342686465,2.9,596.1391876092146
AT,DE,max-electron,VGO Hydrocracker,2038,64465.0903285398,0.25893330836688205,16692.1591129387,2.9,551.8427802737534
AT,DE,max-electron,VGO Hydrocracker,2039,56603.3590071482,0.27122559778214156,15352.279883190939,2.9,507.54637293829245
AT,DE,max-electron,VGO Hydrocracker,2040,48741.62768575658,0.28748323186461666,14012.40065344318,2.9,463.24996560283154
AT,DE,max-electron,VGO Hydrocracker,2041,45622.28422370867,0.2900515941262072,13232.816266765612,2.9,437.4769057792712
AT,DE,max-electron,VGO Hydrocracker,2042,42502.940761660764,0.29299694696234596,12453.231880088051,2.9,411.70384595571096
AT,DE,max-electron,VGO Hydrocracker,2043,39383.59729961286,0.2964088680016347,11673.647493410484,2.9,385.9307861321506
AT,DE,max-electron,VGO Hydrocracker,2044,36264.253837564975,0.3004077556794541,10894.063106732925,2.9,360.15772630859055
