country,base_scenario,scenario,unit,year,refinery_output_total,unit_share,unit_feed,spec_cons_wt,h2_demand
AT,DE,more-molecule,Residue Hydrocracker,2019,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,more-molecule,Residue Hydrocracker,2020,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,more-molecule,Residue Hydrocracker,2021,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,more-molecule,Residue Hydrocracker,2022,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,more-molecule,Residue Hydrocracker,2023,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,more-molecule,Residue Hydrocracker,2024,185380.1375752364,0.002631721742905204,487.86893875950767,4.07,22.63614302056364
AT,DE,more-molecule,Residue Hydrocracker,2025,175363.73560060174,0.0026577564902317895,466.07410644379075,4.07,21.624906390779003
AT,DE,more-molecule,Residue Hydrocracker,2026,165347.33362596715,0.0026869455006337133,444.27927412807395,4.07,20.613669760994377
AT,DE,more-molecule,Residue Hydrocracker,2027,155330.9316513325,0.002719898975180922,422.4844418123571,4.07,19.602433131209747
AT,DE,more-molecule,Residue Hydrocracker,2028,145314.52967669786,0.002757395357423047,400.6896094966403,4.07,18.591196501425117
AT,DE,more-molecule,Residue Hydrocracker,2029,135298.12770206324,0.0028004436100939885,378.8947771809234,4.07,17.579959871640487
AT,DE,more-molecule,Residue Hydrocracker,2030,125281.72572742861,0.0028503753663334536,357.09994486520657,4.07,16.568723241855857
AT,DE,more-molecule,Residue Hydrocracker,2031,117860.58532392704,0.002726865385025711,321.38995037868597,4.07,14.911850917670273
AT,DE,more-molecule,Residue Hydrocracker,2032,110439.44492042545,0.00258675653520357,285.67995589216525,4.07,13.254978593484685
AT,DE,more-molecule,Residue Hydrocracker,2033,103018.30451692386,0.002426461613572562,249.96996140564463,4.07,11.5981062692991
AT,DE,more-molecule,Residue Hydrocracker,2034,95597.16411342229,0.0022412795285947284,214.259966919124,4.07,9.941233945113517
AT,DE,more-molecule,Residue Hydrocracker,2035,88176.0237099207,0.002024926560762057,178.5499724326033,4.07,8.28436162092793
AT,DE,more-molecule,Residue Hydrocracker,2036,80754.88330641911,0.0017688091679123074,142.83997794608268,4.07,6.627489296742345
AT,DE,more-molecule,Residue Hydrocracker,2037,73333.74290291754,0.0014608552518775076,107.12998345956198,4.07,4.9706169725567575
AT,DE,more-molecule,Residue Hydrocracker,2038,65912.60249941595,0.0010835558946966808,71.41998897304133,4.07,3.313744648371172
AT,DE,more-molecule,Residue Hydrocracker,2039,58491.462095914365,0.0006105163592587822,35.7099944865207,4.07,1.6568723241855874
AT,DE,more-molecule,Residue Hydrocracker,2040,51070.3216924128,0.0,0.0,4.07,0.0
AT,DE,more-molecule,Residue Hydrocracker,2041,47862.96063832064,0.0008511711484505533,40.73957117476301,4.07,1.8902346233666543
AT,DE,more-molecule,Residue Hydrocracker,2042,44655.599584228505,0.0018246119883765458,81.47914234952603,4.07,3.780469246733309
AT,DE,more-molecule,Residue Hydrocracker,2043,41448.23853013636,0.002948707058695045,122.21871352428903,4.07,5.670703870099962
AT,DE,more-molecule,Residue Hydrocracker,2044,38240.87747604421,0.004261363636363637,162.95828469905206,4.07,7.560938493466618
AT,DE,more-molecule,Residue Hydrocracker,2045,35033.51642195207,0.005814370827650564,203.69785587381506,4.07,9.45117311683327
AT,DE,more-molecule,Residue Hydrocracker,2046,31826.15536785992,0.007680394449887796,244.43742704857803,4.07,11.341407740199925
AT,DE,more-molecule,Residue Hydrocracker,2047,28618.79431376778,0.009964675489007225,285.1769982233411,4.07,13.231642363566582
AT,DE,more-molecule,Residue Hydrocracker,2048,25411.433259675625,0.012825587839442645,325.91656939810406,4.07,15.121876986933234
AT,DE,more-molecule,Residue Hydrocracker,2049,22204.07220558349,0.01651301334178993,366.6561405728671,4.07,17.01211161029989
AT,DE,more-molecule,Residue Hydrocracker,2050,18996.711151491345,0.021445591739475776,407.3957117476301,4.07,18.90234623366654
AT,DE,more-molecule,VGO Hydrocracker,2019,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,more-molecule,VGO Hydrocracker,2020,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,more-molecule,VGO Hydrocracker,2021,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,more-molecule,VGO Hydrocracker,2022,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,more-molecule,VGO Hydrocracker,2023,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,more-molecule,VGO Hydrocracker,2024,185380.1375752364,0.19425904823918824,36011.769087815206,2.9,1190.5490860431707
AT,DE,more-molecule,VGO Hydrocracker,2025,175363.73560060174,0.1975487454528942,34642.88596583191,2.9,1145.2938100304032
AT,DE,more-molecule,VGO Hydrocracker,2026,165347.33362596715,0.20123700887198986,33274.00284384862,2.9,1100.0385340176354
AT,DE,more-molecule,VGO Hydrocracker,2027,155330.9316513325,0.20540094225071642,31905.11972186533,2.9,1054.7832580048678
AT,DE,more-molecule,VGO Hydrocracker,2028,145314.52967669786,0.21013890811758737,30536.236599882035,2.9,1009.5279819921001
AT,DE,more-molecule,VGO Hydrocracker,2029,135298.12770206324,0.21557839693190337,29167.35347789874,2.9,964.2727059793324
AT,DE,more-molecule,VGO Hydrocracker,2030,125281.72572742861,0.22188767112288732,27798.47035591545,2.9,919.0174299665649
AT,DE,more-molecule,VGO Hydrocracker,2031,117860.58532392704,0.22494292359229312,26511.904639063065,2.9,876.4835673674249
AT,DE,more-molecule,VGO Hydrocracker,2032,110439.44492042545,0.22840878039894347,25225.33892221067,2.9,833.9497047682848
AT,DE,more-molecule,VGO Hydrocracker,2033,103018.30451692386,0.23237397778591484,23938.773205358277,2.9,791.4158421691446
AT,DE,more-molecule,VGO Hydrocracker,2034,95597.16411342229,0.23695480612405959,22652.207488505886,2.9,748.8819795700047
AT,DE,more-molecule,VGO Hydrocracker,2035,88176.0237099207,0.24230670507372445,21365.64177165349,2.9,706.3481169708643
AT,DE,more-molecule,VGO Hydrocracker,2036,80754.88330641911,0.24864225211758847,20079.0760548011,2.9,663.8142543717242
AT,DE,more-molecule,VGO Hydrocracker,2037,73333.74290291754,0.2562600733856864,18792.51033794871,2.9,621.2803917725843
AT,DE,more-molecule,VGO Hydrocracker,2038,65912.60249941595,0.26559328500572305,17505.944621096314,2.9,578.7465291734442
AT,DE,more-molecule,VGO Hydrocracker,2039,58491.462095914365,0.27729481061094635,16219.37890424392,2.9,536.212666574304
AT,DE,more-molecule,VGO Hydrocracker,2040,51070.3216924128,0.29239708489265315,14932.81318739153,2.9,493.678803975164
AT,DE,more-molecule,VGO Hydrocracker,2041,47862.96063832064,0.2967644988073096,14204.027525265212,2.9,469.58514998526795
AT,DE,more-molecule,VGO Hydrocracker,2042,44655.599584228505,0.3017592863739779,13475.2418631389,2.9,445.491495995372
AT,DE,more-molecule,VGO Hydrocracker,2043,41448.23853013636,0.30752709048768945,12746.456201012581,2.9,421.397842005476
AT,DE,more-molecule,VGO Hydrocracker,2044,38240.87747604421,0.3142624158249158,12017.670538886263,2.9,397.3041880155799
AT,DE,more-molecule,VGO Hydrocracker,2045,35033.51642195207,0.3222309956212763,11288.884876759947,2.9,373.21053402568384
