country,year,jet_fossil_kt_per_yr,jet_total_kt_per_yr,jet_esaf_kt_per_yr,h2_esaf_kt_per_yr
AT,2025,5619.713686329448,5619.713686329448,0.0,0.0
AT,2026,5619.713686329448,5619.713686329448,0.0,0.0
AT,2027,5619.713686329448,5619.713686329448,0.0,0.0
AT,2028,5619.713686329448,5619.713686329448,0.0,0.0
AT,2029,5619.713686329448,5619.713686329448,0.0,0.0
AT,2030,5619.713686329448,5619.713686329448,0.0,0.0
AT,2031,5619.713686329448,5619.713686329448,0.0,0.0
AT,2032,5391.706209795795,5619.713686329448,228.00747653365306,114.00373826682653
AT,2033,5084.902031813012,5619.713686329448,534.8116545164357,267.40582725821787
AT,2034,4778.09785383023,5619.713686329448,841.6158324992184,420.8079162496092
AT,2035,4471.293675847447,5619.713686329448,1148.420010482001,574.2100052410005
AT,2036,4164.4894978646635,5619.713686329448,1455.2241884647847,727.6120942323923
AT,2037,3857.6853198818794,5619.713686329448,1762.0283664475687,881.0141832237844
AT,2038,3550.8811418990963,5619.713686329448,2068.832544430352,1034.416272215176
AT,2039,3244.0769639163136,5619.713686329448,2375.6367224131345,1187.8183612065673
AT,2040,2937.2727859335305,5619.713686329448,2682.4409003959177,1341.2204501979588
AT,2041,2786.38548528626,5619.713686329448,2833.328201043188,1416.664100521594
AT,2042,2635.49818463899,5619.713686329448,2984.215501690458,1492.107750845229
AT,2043,2484.6108839917188,5619.713686329448,3135.1028023377294,1567.5514011688647
AT,2044,2333.7235833444493,5619.713686329448,3285.990102984999,1642.9950514924994
AT,2045,2182.8362826971784,5619.713686329448,3436.8774036322698,1718.4387018161349
AT,2046,2031.948982049908,5619.713686329448,3587.76470427954,1793.88235213977
AT,2047,1881.0616814026373,5619.713686329448,3738.652004926811,1869.3260024634055
AT,2048,1730.174380755367,5619.713686329448,3889.539305574081,1944.7696527870405
AT,2049,1579.287080108097,5619.713686329448,4040.426606221351,2020.2133031106755
AT,2050,1428.3997794608265,5619.713686329448,4191.313906868621,2095.6569534343107
BE,2025,55734.93526105883,55734.93526105883,0.0,0.0
BE,2026,55734.93526105883,55734.93526105883,0.0,0.0
BE,2027,55734.93526105883,55734.93526105883,0.0,0.0
BE,2028,55734.93526105883,55734.93526105883,0.0,0.0
BE,2029,55734.93526105883,55734.93526105883,0.0,0.0
BE,2030,55734.93526105883,55734.93526105883,0.0,0.0
BE,2031,55734.93526105883,55734.93526105883,0.0,0.0
BE,2032,53473.61330535954,55734.93526105883,2261.3219556992917,1130.6609778496459
BE,2033,50430.8050855583,55734.93526105883,5304.130175500533,2652.0650877502667
BE,2034,47387.996865757064,55734.93526105883,8346.938395301768,4173.469197650884
BE,2035,44345.18864595583,55734.93526105883,11389.746615103002,5694.873307551501
BE,2036,41302.380426154574,55734.93526105883,14432.554834904258,7216.277417452129
BE,2037,38259.57220635333,55734.93526105883,17475.3630547055,8737.68152735275
BE,2038,35216.76398655209,55734.93526105883,20518.17127450674,10259.08563725337
BE,2039,32173.955766750845,55734.93526105883,23560.979494307987,11780.489747153993
BE,2040,29131.147546949607,55734.93526105883,26603.787714109225,13301.893857054612
BE,2041,27634.68448803096,55734.93526105883,28100.25077302787,14050.125386513935
BE,2042,26138.221429112316,55734.93526105883,29596.713831946516,14798.356915973258
BE,2043,24641.75837019367,55734.93526105883,31093.17689086516,15546.58844543258
BE,2044,23145.29531127503,55734.93526105883,32589.639949783803,16294.819974891901
BE,2045,21648.832252356384,55734.93526105883,34086.10300870245,17043.051504351224
BE,2046,20152.36919343774,55734.93526105883,35582.5660676211,17791.28303381055
BE,2047,18655.906134519093,55734.93526105883,37079.02912653974,18539.51456326987
BE,2048,17159.443075600455,55734.93526105883,38575.49218545838,19287.74609272919
BE,2049,15662.98001668181,55734.93526105883,40071.95524437702,20035.97762218851
BE,2050,14166.516957763164,55734.93526105883,41568.418303295664,20784.209151647832
BG,2025,7830.178037123286,7830.178037123286,0.0,0.0
BG,2026,7830.178037123286,7830.178037123286,0.0,0.0
BG,2027,7830.178037123286,7830.178037123286,0.0,0.0
BG,2028,7830.178037123286,7830.178037123286,0.0,0.0
BG,2029,7830.178037123286,7830.178037123286,0.0,0.0
BG,2030,7830.178037123286,7830.178037123286,0.0,0.0
BG,2031,7830.178037123286,7830.178037123286,0.0,0.0
BG,2032,7512.485849459572,7830.178037123286,317.6921876637143,158.84609383185716
BG,2033,7085.00297929443,7830.178037123286,745.1750578288566,372.5875289144283
