country,year,jet_fossil_kt_per_yr,jet_total_kt_per_yr,jet_esaf_kt_per_yr,h2_esaf_kt_per_yr
AT,2025,5619.713686329448,5619.713686329448,0.0,0.0
AT,2026,5563.516549466153,5563.516549466153,0.0,0.0
AT,2027,5507.881383971492,5507.881383971492,0.0,0.0
AT,2028,5452.802570131777,5452.802570131777,0.0,0.0
AT,2029,5398.274544430459,5398.274544430459,0.0,0.0
AT,2030,5344.291798986154,5344.291798986154,0.0,0.0
AT,2031,5290.848880996294,5290.848880996294,0.0,0.0
AT,2032,5237.9403921863295,5237.9403921863295,0.0,0.0
AT,2033,5084.902031813012,5185.560988264467,100.65895645145429,50.329478225727144
AT,2034,4778.09785383023,5133.705378381822,355.6075245515922,177.8037622757961
AT,2035,4471.293675847447,5082.368324598004,611.0746487505567,305.53732437527833
AT,2036,4164.4894978646635,5031.544641352024,867.0551434873605,433.52757174368026
AT,2037,3857.6853198818794,4981.2291949385035,1123.543875056624,561.771937528312
AT,2038,3550.8811418990963,4931.416902989118,1380.5357610900219,690.2678805450109
AT,2039,3244.0769639163136,4882.102733959227,1638.0257700429138,819.0128850214569
AT,2040,2937.2727859335305,4833.281706619635,1896.0089206861044,948.0044603430522
AT,2041,2786.38548528626,4784.948889553439,1998.5634042671786,999.2817021335893
AT,2042,2635.49818463899,4737.099400657904,2101.601216018914,1050.800608009457
AT,2043,2484.6108839917188,4689.728406651325,2205.117522659606,1102.558761329803
AT,2044,2333.7235833444493,4642.831122584812,2309.1075392403627,1154.5537696201814
AT,2045,2182.8362826971784,4596.402811358964,2413.5665286617855,1206.7832643308927
AT,2046,2031.948982049908,4550.438783245374,2518.489801195466,1259.244900597733
AT,2047,1881.0616814026373,4504.93439541292,2623.872714010283,1311.9363570051414
AT,2048,1730.174380755367,4459.885051458791,2729.710670703424,1364.855335351712
AT,2049,1579.287080108097,4415.286200944202,2835.9991208361052,1417.9995604180526
AT,2050,1428.3997794608265,4371.133338934761,2942.7335594739343,1471.3667797369671
BE,2025,55734.93526105883,55734.93526105883,0.0,0.0
BE,2026,55177.58590844824,55177.58590844824,0.0,0.0
BE,2027,54625.81004936376,54625.81004936376,0.0,0.0
BE,2028,54079.551948870125,54079.551948870125,0.0,0.0
BE,2029,53538.75642938142,53538.75642938142,0.0,0.0
BE,2030,53003.36886508761,53003.36886508761,0.0,0.0
BE,2031,52473.33517643673,52473.33517643673,0.0,0.0
BE,2032,51948.60182467236,51948.60182467236,0.0,0.0
BE,2033,50430.8050855583,51429.11580642564,998.3107208673391,499.15536043366956
BE,2034,47387.996865757064,50914.824648361384,3526.8277826043195,1763.4138913021598
BE,2035,44345.18864595583,50405.67640187777,6060.4877559219385,3030.2438779609693
BE,2036,41302.380426154574,49901.61963785899,8599.239211704415,4299.619605852207
BE,2037,38259.57220635333,49402.6034414804,11143.03123512707,5571.515617563535
BE,2038,35216.76398655209,48908.57740706559,13691.8134205135,6845.90671025675
BE,2039,32173.955766750845,48419.49163299494,16245.535866244096,8122.767933122048
BE,2040,29131.147546949607,47935.29671666499,18804.149169715383,9402.074584857692
BE,2041,27634.68448803096,47455.943749498336,19821.259261467374,9910.629630733687
BE,2042,26138.221429112316,46981.384312003356,20843.16288289104,10421.58144144552
BE,2043,24641.75837019367,46511.57046888332,21869.81209868965,10934.906049344825
BE,2044,23145.29531127503,46046.45476419449,22901.15945291946,11450.57972645973
BE,2045,21648.832252356384,45585.99021655254,23937.157964196158,11968.578982098079
BE,2046,20152.36919343774,45130.13031438702,24977.76112094928,12488.88056047464
BE,2047,18655.906134519093,44678.82901124315,26022.922876724057,13011.461438362028
BE,2048,17159.443075600455,44232.04072113072,27072.597645530263,13536.298822765131
BE,2049,15662.98001668181,43789.7203139194,28126.740297237593,14063.370148618797
BE,2050,14166.516957763164,43351.82311078021,29185.30615301705,14592.653076508524
BG,2025,7830.178037123286,7830.178037123286,0.0,0.0
BG,2026,7751.876256752053,7751.876256752053,0.0,0.0
BG,2027,7674.357494184533,7674.357494184533,0.0,0.0
BG,2028,7597.613919242688,7597.613919242688,0.0,0.0
BG,2029,7521.6377800502605,7521.6377800502605,0.0,0.0
BG,2030,7446.421402249757,7446.421402249757,0.0,0.0
BG,2031,7371.95718822726,7371.95718822726,0.0,0.0
BG,2032,7298.237616344987,7298.237616344987,0.0,0.0
BG,2033,7085.00297929443,7225.255240181537,140.2522608871077,70.12613044355385
BG,2034,6657.520109129286,7153.002687779722,495.48257865043615,247.74128932521808
BG,2035,6230.037238964143,7081.472660901924,851.435421937781,425.7177109688905
BG,2036,5802.554368798999,7010.657934292905,1208.103565493906,604.051782746953
BG,2037,5375.071498633854,6940.5513549499765,1565.479856316122,782.739928158061
BG,2038,4947.58862846871,6871.1458414004765,1923.5572129317661,961.7786064658831
BG,2039,4520.105758303568,6802.434382986472,2282.328624682904,1141.164312341452
BG,2040,4092.622888138424,6734.410039156607,2641.787151018183,1320.8935755090915
BG,2041,3882.3854110080256,6667.065938765041,2784.6805277570156,1392.3402638785078
BG,2042,3672.147933877627,6600.395279377391,2928.2473454997635,1464.1236727498817
BG,2043,3461.9104567472286,6534.391326583616,3072.4808698363877,1536.2404349181938
BG,2044,3251.67297961683,6469.04741331778,3217.3744337009502,1608.6872168504751
BG,2045,3041.4355024864317,6404.356939184602,3362.9214366981705,1681.4607183490853
BG,2046,2831.198025356033,6340.313369792756,3509.115344436723,1754.5576722183614
BG,2047,2620.9605482256343,6276.910236094829,3655.949687869195,1827.9748439345974
BG,2048,2410.7230710952363,6214.14113373388,3803.418062638644,1901.709031319322
BG,2049,2200.485593964838,6151.999722396541,3951.5141284317033,1975.7570642158516
BG,2050,1990.248116834439,6090.479725172576,4100.2316083381365,2050.1158041690683
CY,2025,0.0,0.0,0.0,0.0
CY,2026,0.0,0.0,0.0,0.0
CY,2027,0.0,0.0,0.0,0.0
CY,2028,0.0,0.0,0.0,0.0
CY,2029,0.0,0.0,0.0,0.0
CY,2030,0.0,0.0,0.0,0.0
CY,2031,0.0,0.0,0.0,0.0
CY,2032,0.0,0.0,0.0,0.0
CY,2033,0.0,0.0,0.0,0.0
CY,2034,0.0,0.0,0.0,0.0
CY,2035,0.0,0.0,0.0,0.0
CY,2036,0.0,0.0,0.0,0.0
CY,2037,0.0,0.0,0.0,0.0
CY,2038,0.0,0.0,0.0,0.0
CY,2039,0.0,0.0,0.0,0.0
CY,2040,0.0,0.0,0.0,0.0
CY,2041,0.0,0.0,0.0,0.0
CY,2042,0.0,0.0,0.0,0.0
CY,2043,0.0,0.0,0.0,0.0
CY,2044,0.0,0.0,0.0,0.0
CY,2045,0.0,0.0,0.0,0.0
CY,2046,0.0,0.0,0.0,0.0
CY,2047,0.0,0.0,0.0,0.0
CY,2048,0.0,0.0,0.0,0.0
CY,2049,0.0,0.0,0.0,0.0
CY,2050,0.0,0.0,0.0,0.0
CZ,2025,4074.9545594029214,4074.9545594029214,0.0,0.0
CZ,2026,4034.205013808892,4034.205013808892,0.0,0.0
CZ,2027,3993.8629636708033,3993.8629636708033,0.0,0.0
CZ,2028,3953.9243340340954,3953.9243340340954,0.0,0.0
CZ,2029,3914.385090693754,3914.385090693754,0.0,0.0
CZ,2030,3875.2412397868165,3875.2412397868165,0.0,0.0
CZ,2031,3836.4888273889487,3836.4888273889487,0.0,0.0
CZ,2032,3798.123939115059,3798.123939115059,0.0,0.0
CZ,2033,3687.153096261653,3760.142699723908,72.98960346225522,36.49480173112761
CZ,2034,3464.6839183467564,3722.541272726669,257.8573543799125,128.92867718995626
CZ,2035,3242.21474043186,3685.315859999402,443.10111956754236,221.55055978377118
CZ,2036,3019.7455625169623,3648.4627013994086,628.7171388824463,314.35856944122315
CZ,2037,2797.2763846020653,3611.9780743854144,814.7016897833491,407.35084489167457
CZ,2038,2574.807206687168,3575.85829364156,1001.0510869543918,500.5255434771959
CZ,2039,2352.338028772271,3540.0997107051444,1187.7616819328732,593.8808409664366
CZ,2040,2129.8688508573746,3504.698713598093,1374.8298627407185,687.4149313703592
CZ,2041,2020.4577797516872,3469.651726462112,1449.1939467104248,724.5969733552124
CZ,2042,1911.0467086460003,3434.955209197491,1523.9085005514908,761.9542502757454
CZ,2043,1801.635637540313,3400.605657105516,1598.970019565203,799.4850097826015
CZ,2044,1692.2245664346262,3366.599600534461,1674.3750340998347,837.1875170499173
CZ,2045,1582.813495328939,3332.933604529116,1750.120109200177,875.0600546000885
CZ,2046,1473.402424223252,3299.604268483825,1826.201844260573,913.1009221302864
CZ,2047,1363.9913531175648,3266.608225798987,1902.6168726814221,951.3084363407111
CZ,2048,1254.580282011878,3233.9421435409968,1979.3618615291189,989.6809307645594
CZ,2049,1145.169210906191,3201.6027221055865,2056.4335111993955,1028.2167555996978
CZ,2050,1035.7581398005038,3169.586694884531,2133.8285550840274,1066.9142775420137
DE,2025,249869.7790802597,249869.7790802597,0.0,0.0
DE,2026,247371.0812894571,247371.0812894571,0.0,0.0
DE,2027,244897.37047656253,244897.37047656253,0.0,0.0
DE,2028,242448.39677179692,242448.39677179692,0.0,0.0
DE,2029,240023.91280407892,240023.91280407892,0.0,0.0
DE,2030,237623.67367603813,237623.67367603813,0.0,0.0
DE,2031,235247.43693927777,235247.43693927777,0.0,0.0
DE,2032,232894.96256988496,232894.96256988496,0.0,0.0
DE,2033,226090.40571313477,230566.01294418614,4475.60723105137,2237.803615525685
DE,2034,212448.94701036403,228260.35281474426,15811.405804380222,7905.702902190111
DE,2035,198807.48830759333,225977.7492865968,27170.260979003477,13585.130489501738
DE,2036,185166.02960482257,223717.97179373086,38551.94218890829,19275.971094454144
DE,2037,171524.57090205178,221480.79207579355,49956.22117374177,24978.110586870884
DE,2038,157883.11219928102,219265.98415503558,61382.871955754556,30691.435977877278
DE,2039,144241.6534965103,217073.32431348524,72831.67081697495,36415.83540848747
DE,2040,130600.19479373956,214902.5910703504,84302.39627661085,42151.19813830542
DE,2041,123891.2806776228,212753.56515964688,88862.28448202409,44431.14224101204
DE,2042,117182.36656150606,210626.02950805041,93443.66294654435,46721.83147327218
DE,2043,110473.45244538928,208519.7692129699,98046.31676758062,49023.15838379031
DE,2044,103764.53832927256,206434.57152084023,102670.03319156767,51335.01659578383
DE,2045,97055.62421315578,204370.2258056318,107314.60159247603,53657.300796238014
DE,2046,90346.71009703902,202326.5235475755,111979.81345053647,55989.906725268236
DE,2047,83637.79598092224,200303.25831209973,116665.46233117749,58332.731165588746
DE,2048,76928.8818648055,198300.22572897872,121371.34386417322,60685.67193208661
DE,2049,70219.96774868874,196317.22347168892,126097.25572300018,63048.62786150009
DE,2050,63511.05363257198,194354.05123697207,130842.9976044001,65421.49880220005
DK,2025,43785.93129471614,43785.93129471614,0.0,0.0
DK,2026,43348.071981768975,43348.071981768975,0.0,0.0
DK,2027,42914.59126195128,42914.59126195128,0.0,0.0
