country,year,jet_fossil_kt_per_yr,jet_total_kt_per_yr,jet_esaf_kt_per_yr,h2_esaf_kt_per_yr
AT,2025,5619.713686329448,5619.713686329448,0.0,0.0
AT,2026,5696.833862215831,5788.305096919332,91.47123470350107,45.735617351750534
AT,2027,5773.954038102213,5961.954249826911,188.0002117246977,94.00010586234885
AT,2028,5851.074213988596,6140.812877321719,289.73866333312253,144.86933166656127
AT,2029,5928.194389874979,6325.037263641371,396.8428737663926,198.4214368831963
AT,2030,6005.314565761361,6514.788381550612,509.4738157892507,254.73690789462535
AT,2031,5698.510387778579,6710.232032997131,1011.7216452185521,505.86082260927606
AT,2032,5391.706209795795,6911.538993987045,1519.8327841912496,759.9163920956248
AT,2033,5084.902031813012,7118.885163806656,2033.9831319936438,1016.9915659968219
AT,2034,4778.09785383023,7332.451718720857,2554.353864890627,1277.1769324453135
AT,2035,4471.293675847447,7552.425270282482,3081.1315944350354,1540.5657972175177
AT,2036,4164.4894978646635,7778.998028390957,3614.5085305262937,1807.2542652631469
AT,2037,3857.6853198818794,8012.367969242686,4154.682649360806,2077.341324680403
AT,2038,3550.8811418990963,8252.739008319966,4701.85786642087,2350.928933210435
AT,2039,3244.0769639163136,8500.321178569566,5256.244214653252,2628.122107326626
AT,2040,2937.2727859335305,8755.330813926652,5818.058027993122,2909.029013996561
AT,2041,2786.38548528626,9017.990738344453,6231.605253058193,3115.8026265290964
AT,2042,2635.49818463899,9288.530460494787,6653.032275855797,3326.5161379278984
AT,2043,2484.6108839917188,9567.186374309631,7082.575490317912,3541.287745158956
AT,2044,2333.7235833444493,9854.20196553892,7520.47838219447,3760.239191097235
AT,2045,2182.8362826971784,10149.828024505088,7966.991741807909,3983.4958709039547
AT,2046,2031.948982049908,10454.32286524024,8422.373883190332,4211.186941595166
AT,2047,1881.0616814026373,10767.952551197448,8886.89086979481,4443.445434897405
AT,2048,1730.174380755367,11090.991127733372,9360.816746978006,4680.408373489003
AT,2049,1579.287080108097,11423.720861565374,9844.433781457277,4922.216890728639
AT,2050,1428.3997794608265,11766.432487412334,10338.032707951508,5169.016353975754
BE,2025,55734.93526105883,55734.93526105883,0.0,0.0
BE,2026,56499.794157839475,57406.9833188906,907.1891610511229,453.59458052556147
BE,2027,57264.6530546201,59129.19281845731,1864.5397638372087,932.2698819186044
BE,2028,58029.511951400746,60903.06860301104,2873.5566516102917,1436.7783258051459
BE,2029,58794.37084818139,62730.16066110137,3935.789812919982,1967.894906459991
BE,2030,59559.22974496203,64612.06548093441,5052.835735972381,2526.4178679861907
BE,2031,56516.4215251608,66550.42744536245,10034.005920201656,5017.002960100828
BE,2032,53473.61330535954,68546.94026872332,15073.326963363783,7536.663481681891
BE,2033,50430.8050855583,70603.34847678503,20172.543391226733,10086.271695613366
BE,2034,47387.996865757064,72721.44893108858,25333.45206533152,12666.72603266576
BE,2035,44345.18864595583,74903.09239902123,30557.903753065402,15278.951876532701
BE,2036,41302.380426154574,77150.18517099187,35847.804744837296,17923.902372418648
BE,2037,38259.57220635333,79464.69072612163,41205.11851976829,20602.559259884147
BE,2038,35216.76398655209,81848.63144790528,46631.86746135319,23315.933730676596
BE,2039,32173.955766750845,84304.09039134246,52130.13462459161,26065.067312295803
BE,2040,29131.147546949607,86833.21310308271,57702.06555613311,28851.032778066554
BE,2041,27634.68448803096,89438.2094961752,61803.525008144235,30901.762504072118
BE,2042,26138.221429112316,92121.35578106045,65983.13435194813,32991.567175974065
BE,2043,24641.75837019367,94884.99645449228,70243.23808429862,35121.61904214931
BE,2044,23145.29531127503,97731.54634812706,74586.25103685203,37293.125518426015
BE,2045,21648.832252356384,100663.49273857087,79014.66048621449,39507.330243107244
BE,2046,20152.36919343774,103683.39752072799,83531.02832729025,41765.51416364512
BE,2047,18655.906134519093,106793.89944634984,88137.99331183074,44068.99665591537
BE,2048,17159.443075600455,109997.71642974034,92838.27335413988,46419.13667706994
BE,2049,15662.98001668181,113297.64792263256,97634.66790595074,48817.33395297537
BE,2050,14166.516957763164,116696.57736031152,102530.06040254836,51265.03020127418
BG,2025,7830.178037123286,7830.178037123286,0.0,0.0
BG,2026,7937.6327476566,8065.083378236985,127.45063058038431,63.72531529019216
BG,2027,8045.087458189915,8307.035879584095,261.9484213941796,130.9742106970898
BG,2028,8152.54216872323,8556.246955971617,403.7047872483872,201.8523936241936
BG,2029,8259.996879256545,8812.934364650766,552.9374853942209,276.46874269711043
BG,2030,8367.45158978986,9077.322395590289,709.8708058004286,354.9354029002143
BG,2031,7939.968719624718,9349.642067457999,1409.6733478332808,704.8366739166404
BG,2032,7512.485849459572,9630.13132948174,2117.6454800221672,1058.8227400110836
BG,2033,7085.00297929443,9919.035269366192,2834.032290071762,1417.016145035881
BG,2034,6657.520109129286,10216.606327447178,3559.0862183178924,1779.5431091589462
BG,2035,6230.037238964143,10523.104517270593,4293.067278306449,2146.5336391532246
BG,2036,5802.554368798999,10838.797652788711,5036.243283989712,2518.121641994856
BG,2037,5375.071498633854,11163.961582372373,5788.890083738518,2894.445041869259
BG,2038,4947.58862846871,11498.880429843544,6551.291801374834,3275.645900687417
BG,2039,4520.105758303568,11843.846842738853,7323.741084435284,3661.870542217642
BG,2040,4092.622888138424,12199.162248021015,8106.539359882591,4053.2696799412956
BG,2041,3882.3854110080256,12565.137115461648,8682.751704453622,4341.375852226811
BG,2042,3672.147933877627,12942.091228925497,9269.94329504787,4634.971647523935
BG,2043,3461.9104567472286,13330.353965793263,9868.443509046036,4934.221754523018
BG,2044,3251.67297961683,13730.264584767061,10478.591605150232,5239.295802575116
BG,2045,3041.4355024864317,14142.172522310073,11100.737019823642,5550.368509911821
BG,2046,2831.198025356033,14566.437697979376,11735.239672623342,5867.619836311671
BG,2047,2620.9605482256343,15003.430828918757,12382.470280693124,6191.235140346562
BG,2048,2410.7230710952363,15453.533753786322,13042.810682691084,6521.405341345542
BG,2049,2200.485593964838,15917.13976639991,13716.654172435072,6858.327086217536
BG,2050,1990.248116834439,16394.653959391908,14404.40584255747,7202.202921278735
CY,2025,0.0,0.0,0.0,0.0
CY,2026,0.0,0.0,0.0,0.0
CY,2027,0.0,0.0,0.0,0.0
CY,2028,0.0,0.0,0.0,0.0
CY,2029,0.0,0.0,0.0,0.0
CY,2030,0.0,0.0,0.0,0.0
CY,2031,0.0,0.0,0.0,0.0
CY,2032,0.0,0.0,0.0,0.0
CY,2033,0.0,0.0,0.0,0.0
CY,2034,0.0,0.0,0.0,0.0
CY,2035,0.0,0.0,0.0,0.0
CY,2036,0.0,0.0,0.0,0.0
CY,2037,0.0,0.0,0.0,0.0
CY,2038,0.0,0.0,0.0,0.0
CY,2039,0.0,0.0,0.0,0.0
CY,2040,0.0,0.0,0.0,0.0
CY,2041,0.0,0.0,0.0,0.0
CY,2042,0.0,0.0,0.0,0.0
CY,2043,0.0,0.0,0.0,0.0
CY,2044,0.0,0.0,0.0,0.0
CY,2045,0.0,0.0,0.0,0.0
CY,2046,0.0,0.0,0.0,0.0
CY,2047,0.0,0.0,0.0,0.0
CY,2048,0.0,0.0,0.0,0.0
CY,2049,0.0,0.0,0.0,0.0
CY,2050,0.0,0.0,0.0,0.0
CZ,2025,4074.9545594029214,4074.9545594029214,0.0,0.0
CZ,2026,4130.875773523606,4197.203196185009,66.32742266140303,33.16371133070152
CZ,2027,4186.79698764429,4323.119292070559,136.3223044262686,68.1611522131343
CZ,2028,4242.718201764974,4452.812870832676,210.09466906770194,105.04733453385097
CZ,2029,4298.639415885659,4586.397256957657,287.757841071998,143.878920535999
CZ,2030,4354.560630006344,4723.989174666386,369.42854466004246,184.71427233002123
CZ,2031,4132.0914520914475,4865.708849906378,733.6173978149309,366.80869890746544
CZ,2032,3909.6222741765496,5011.68011540357,1102.0578412270206,551.0289206135103
CZ,2033,3687.153096261653,5162.030518865678,1474.8774226040246,737.4387113020123
CZ,2034,3464.6839183467564,5316.891434431647,1852.2075160848908,926.1037580424454
CZ,2035,3242.21474043186,5476.398177464597,2234.1834370327374,1117.0917185163687
CZ,2036,3019.7455625169623,5640.690122788535,2620.9445602715723,1310.4722801357861
CZ,2037,2797.2763846020653,5809.910826472191,3012.6344418701256,1506.3172209350628
CZ,2038,2574.807206687168,5984.208151266357,3409.400944579189,1704.7004722895945
CZ,2039,2352.338028772271,6163.734395804348,3811.3963670320773,1905.6981835160386
CZ,2040,2129.8688508573746,6348.646427678478,4218.777576821103,2109.3887884105516
CZ,2041,2020.4577797516872,6539.105820508833,4518.648040757145,2259.3240203785726
CZ,2042,1911.0467086460003,6735.278995124098,4824.232286478098,2412.116143239049
CZ,2043,1801.635637540313,6937.337364977822,5135.701727437509,2567.8508637187547
CZ,2044,1692.2245664346262,7145.457485927156,5453.23291949253,2726.616459746265
CZ,2045,1582.813495328939,7359.8212105049715,5777.007715176032,2888.503857588016
CZ,2046,1473.402424223252,7580.61584682012,6107.213422596868,3053.606711298434
CZ,2047,1363.9913531175648,7808.034322224725,6444.04296910716,3222.02148455358
CZ,2048,1254.580282011878,8042.275351891467,6787.695069879589,3393.8475349397945
CZ,2049,1145.169210906191,8283.543612448211,7138.37440154202,3569.18720077101
CZ,2050,1035.7581398005038,8532.049920821657,7496.291781021153,3748.1458905105765
DE,2025,249869.7790802597,249869.7790802597,0.0,0.0
DE,2026,253298.77962849717,257365.8724526675,4067.092824170337,2033.5464120851684
DE,2027,256727.7801767346,265086.8486262475,8359.06844951288,4179.53422475644
DE,2028,260156.78072497205,273039.45408503496,12882.673360062909,6441.336680031454
DE,2029,263585.7812732095,281230.63770758605,17644.85643437656,8822.42821718828
DE,2030,267014.78182144696,289667.5568388136,22652.775017366628,11326.387508683314
DE,2031,253373.3231186763,298357.583543978,44984.260425301705,22492.130212650853
DE,2032,239731.86441590547,307308.31105029734,67576.44663439188,33788.22331719594
DE,2033,226090.40571313477,316527.5603818063,90437.15466867152,45218.57733433576
DE,2034,212448.94701036403,326023.3871932605,113574.44018289645,56787.220091448224
DE,2035,198807.48830759333,335804.0888090583,136996.60050146497,68498.30025073249
DE,2036,185166.02960482257,345878.2114733301,160712.18186850753,80356.09093425376
DE,2037,171524.57090205178,356254.55781752995,184729.98691547816,92364.99345773908
DE,2038,157883.11219928102,366942.1945520559,209059.0823527749,104529.54117638744
DE,2039,144241.6534965103,377950.4603886176,233708.8068921073,116854.40344605365
DE,2040,130600.19479373956,389288.97420027613,258688.77940653657,129344.38970326829
DE,2041,123891.2806776228,400967.6434262844,277076.36274866166,138538.18137433083
DE,2042,117182.36656150606,412996.6727290729,295814.30616756686,147907.15308378343
DE,2043,110473.45244538928,425386.57291094516,314913.12046555587,157456.56023277793
DE,2044,103764.53832927256,438148.17009827355,334383.631769001,167191.8158845005
DE,2045,97055.62421315578,451292.6152012218,354236.990988066,177118.495494033
DE,2046,90346.71009703902,464831.3936572584,374484.6835602194,187242.3417801097
DE,2047,83637.79598092224,478776.33546697616,395138.5394860539,197569.26974302696
DE,2048,76928.8818648055,493139.6255309855,416210.74366617994,208105.37183308997
DE,2049,70219.96774868874,507933.8142969151,437713.8465482263,218856.92327411316
DE,2050,63511.05363257198,523171.8287258225,459660.7750932505,229830.38754662525
DK,2025,43785.93129471614,43785.93129471614,0.0,0.0
DK,2026,44386.812213438374,45099.50923355763,712.6970201192526,356.3485100596263
DK,2027,44987.69313216062,46452.49451056435,1464.801378403732,732.400689201866
DK,2028,45588.57405088285,47846.06934588128,2257.495294998429,1128.7476474992145
DK,2029,46189.45496960509,49281.45142625773,3091.9964566526396,1545.9982283263198
DK,2030,46790.33588832733,50759.894969045454,3969.5590807181215,1984.7795403590608
DK,2031,44399.87484210626,52282.69181811682,7882.816976010559,3941.4084880052797
DK,2032,42009.41379588517,53851.172572660325,11841.758776775154,5920.879388387577
DK,2033,39618.952749664095,55466.70774984014,15847.755000176046,7923.877500088023
DK,2034,37228.491703443025,57130.708982335345,19902.21727889232,9951.10863944616
DK,2035,34838.03065722195,58844.63025180541,24006.59959458346,12003.29979729173
DK,2036,32447.569611000865,60609.96915935957,28162.399548358706,14081.199774179353
DK,2037,30057.108564779785,62428.268234140356,32371.15966936057,16185.579834680286
DK,2038,27666.647518558704,64301.11628116457,36634.468762605866,18317.234381302933
DK,2039,25276.18647233763,66230.14976959952,40953.963297261886,20476.981648630943
DK,2040,22885.72542611655,68217.0542626875,45331.328836570945,22665.664418285472
DK,2041,21710.088846007824,70263.56589056812,48553.47704456029,24276.738522280146
DK,2042,20534.452265899097,72371.47286728516,51837.020601386066,25918.510300693033
DK,2043,19358.815685790367,74542.61705330374,55183.80136751337,27591.900683756685
DK,2044,18183.179105681644,76778.89556490284,58595.71645922119,29297.858229610596
DK,2045,17007.542525572917,79082.26243184993,62074.71990627701,31037.359953138504
DK,2046,15831.90594546419,81454.73030480543,65622.82435934123,32811.41217967062
DK,2047,14656.26936535546,83898.3722139496,69242.10284859414,34621.05142429707
DK,2048,13480.632785246737,86415.32338036809,72934.69059512136,36467.34529756068
DK,2049,12304.996205138008,89007.78308177914,76702.78687664113,38351.39343832056
DK,2050,11129.35962502928,91678.0165742325,80548.65694920323,40274.328474601614
EE,2025,0.0,0.0,0.0,0.0
EE,2026,0.0,0.0,0.0,0.0
EE,2027,0.0,0.0,0.0,0.0
EE,2028,0.0,0.0,0.0,0.0
EE,2029,0.0,0.0,0.0,0.0
EE,2030,0.0,0.0,0.0,0.0
EE,2031,0.0,0.0,0.0,0.0
EE,2032,0.0,0.0,0.0,0.0
EE,2033,0.0,0.0,0.0,0.0
EE,2034,0.0,0.0,0.0,0.0
EE,2035,0.0,0.0,0.0,0.0
EE,2036,0.0,0.0,0.0,0.0
EE,2037,0.0,0.0,0.0,0.0
EE,2038,0.0,0.0,0.0,0.0
EE,2039,0.0,0.0,0.0,0.0
EE,2040,0.0,0.0,0.0,0.0
EE,2041,0.0,0.0,0.0,0.0
EE,2042,0.0,0.0,0.0,0.0
EE,2043,0.0,0.0,0.0,0.0
EE,2044,0.0,0.0,0.0,0.0
EE,2045,0.0,0.0,0.0,0.0
EE,2046,0.0,0.0,0.0,0.0
EE,2047,0.0,0.0,0.0,0.0
EE,2048,0.0,0.0,0.0,0.0
EE,2049,0.0,0.0,0.0,0.0
EE,2050,0.0,0.0,0.0,0.0
ES,2025,41754.17415767181,41754.17415767181,0.0,0.0
ES,2026,42327.17296771146,43006.799382401965,679.6264146905014,339.8132073452507
ES,2027,42900.171777751115,44297.00336387402,1396.8315861229057,698.4157930614529
ES,2028,43473.17058779075,45625.91346479025,2152.742876999495,1076.3714384997475
ES,2029,44046.16939783041,46994.69086873396,2948.52147090355,1474.260735451775
ES,2030,44619.168207870054,48404.531594795975,3785.363386925921,1892.6816934629605
ES,2031,42339.6294635819,49856.66754263986,7517.038079057958,3758.519039528979
ES,2032,40060.09071929371,51352.36756891906,11292.276849625348,5646.138424812674
ES,2033,37780.55197500555,52892.93859598663,15112.38662098108,7556.19331049054
ES,2034,35501.01323071739,54479.72675386623,18978.713523148836,9489.356761574418
ES,2035,33221.47448642922,56114.118556482215,22892.644070052993,11446.322035026496
ES,2036,30941.93574214105,57797.542113176685,26855.606371035636,13427.803185517818
ES,2037,28662.396997852873,59531.46837657198,30869.07137871911,15434.535689359554
ES,2038,26382.858253564707,61317.41242786915,34934.554174304445,17467.277087152223
ES,2039,24103.319509276535,63156.93480070523,39053.615291428694,19526.807645714347
ES,2040,21823.780764988373,65051.64284472638,43227.86207973801,21613.931039869007
ES,2041,20702.696136649927,67003.19213006817,46300.49599341824,23150.24799670912
ES,2042,19581.61150831149,69013.28789397022,49431.676385658735,24715.838192829367
ES,2043,18460.52687997304,71083.68653078933,52623.15965081629,26311.579825408146
ES,2044,17339.4422516346,73216.19712671301,55876.75487507842,27938.37743753921
ES,2045,16218.357623296151,75412.68304051441,59194.325417218264,29597.162708609132
ES,2046,15097.27299495771,77675.06353172984,62577.79053677213,31288.895268386066
