country,year,jet_fossil_kt_per_yr,jet_total_kt_per_yr,jet_esaf_kt_per_yr,h2_esaf_kt_per_yr
AT,2025,5719.466957312922,5719.466957312922,0.0,0.0
AT,2026,5719.466957312922,5719.466957312922,0.0,0.0
AT,2027,5719.466957312922,5719.466957312922,0.0,0.0
AT,2028,5719.466957312922,5719.466957312922,0.0,0.0
AT,2029,5719.466957312922,5719.466957312922,0.0,0.0
AT,2030,5719.466957312922,5719.466957312922,0.0,0.0
AT,2031,5719.466957312922,5719.466957312922,0.0,0.0
AT,2032,5719.466957312922,5719.466957312922,0.0,0.0
AT,2033,5562.7118171960365,5719.466957312922,156.75514011688574,78.37757005844287
AT,2034,5215.671025707315,5719.466957312922,503.7959316056076,251.8979658028038
AT,2035,4868.630234218592,5719.466957312922,850.8367230943304,425.4183615471652
AT,2036,4521.589442729871,5719.466957312922,1197.8775145830514,598.9387572915257
AT,2037,4174.548651241148,5719.466957312922,1544.9183060717742,772.4591530358871
AT,2038,3827.507859752426,5719.466957312922,1891.959097560496,945.979548780248
AT,2039,3480.467068263704,5719.466957312922,2238.9998890492184,1119.4999445246092
AT,2040,3133.4262767749824,5719.466957312922,2586.04068053794,1293.02034026897
AT,2041,2970.4679920759304,5719.466957312922,2748.998965236992,1374.499482618496
AT,2042,2807.509707376879,5719.466957312922,2911.9572499360434,1455.9786249680217
AT,2043,2644.551422677827,5719.466957312922,3074.9155346350954,1537.4577673175477
AT,2044,2481.593137978774,5719.466957312922,3237.8738193341483,1618.9369096670741
AT,2045,2318.634853279722,5719.466957312922,3400.8321040332003,1700.4160520166001
AT,2046,2155.67656858067,5719.466957312922,3563.7903887322523,1781.8951943661261
AT,2047,1992.7182838816184,5719.466957312922,3726.748673431304,1863.374336715652
AT,2048,1829.759999182566,5719.466957312922,3889.7069581303563,1944.8534790651781
AT,2049,1666.801714483514,5719.466957312922,4052.6652428294083,2026.3326214147041
AT,2050,1503.843429784462,5719.466957312922,4215.62352752846,2107.81176376423
BE,2025,56724.26361667727,56724.26361667727,0.0,0.0
BE,2026,56724.26361667727,56724.26361667727,0.0,0.0
BE,2027,56724.26361667727,56724.26361667727,0.0,0.0
BE,2028,56724.26361667727,56724.26361667727,0.0,0.0
BE,2029,56724.26361667727,56724.26361667727,0.0,0.0
BE,2030,56724.26361667727,56724.26361667727,0.0,0.0
BE,2031,56724.26361667727,56724.26361667727,0.0,0.0
BE,2032,56724.26361667727,56724.26361667727,0.0,0.0
BE,2033,55169.604772134015,56724.26361667727,1554.6588445432571,777.3294222716286
BE,2034,51727.739736621144,56724.26361667727,4996.523880056127,2498.2619400280637
BE,2035,48285.87470110825,56724.26361667727,8438.38891556902,4219.19445778451
BE,2036,44844.009665595375,56724.26361667727,11880.253951081897,5940.1269755409485
BE,2037,41402.14463008249,56724.26361667727,15322.118986594782,7661.059493297391
BE,2038,37960.279594569605,56724.26361667727,18763.984022107667,9381.992011053833
BE,2039,34518.41455905672,56724.26361667727,22205.84905762055,11102.924528810276
BE,2040,31076.549523543847,56724.26361667727,25647.714093133425,12823.857046566713
BE,2041,29460.36941991171,56724.26361667727,27263.894196765563,13631.947098382781
BE,2042,27844.18931627958,56724.26361667727,28880.074300397693,14440.037150198847
BE,2043,26228.00921264744,56724.26361667727,30496.25440402983,15248.127202014915
BE,2044,24611.8291090153,56724.26361667727,32112.434507661972,16056.217253830986
BE,2045,22995.64900538317,56724.26361667727,33728.614611294106,16864.307305647053
BE,2046,21379.46890175103,56724.26361667727,35344.79471492624,17672.39735746312
BE,2047,19763.288798118894,56724.26361667727,36960.974818558374,18480.487409279187
BE,2048,18147.108694486757,56724.26361667727,38577.154922190515,19288.577461095258
BE,2049,16530.928590854626,56724.26361667727,40193.33502582264,20096.66751291132
BE,2050,14914.748487222489,56724.26361667727,41809.51512945478,20904.75756472739
BG,2025,7969.168369226161,7969.168369226161,0.0,0.0
BG,2026,7969.168369226161,7969.168369226161,0.0,0.0
BG,2027,7969.168369226161,7969.168369226161,0.0,0.0
BG,2028,7969.168369226161,7969.168369226161,0.0,0.0
BG,2029,7969.168369226161,7969.168369226161,0.0,0.0
BG,2030,7969.168369226161,7969.168369226161,0.0,0.0
BG,2031,7969.168369226161,7969.168369226161,0.0,0.0
BG,2032,7969.168369226161,7969.168369226161,0.0,0.0
BG,2033,7750.75499020736,7969.168369226161,218.4133790188016,109.2066895094008
BG,2034,7267.208792807443,7969.168369226161,701.9595764187179,350.97978820935896
BG,2035,6783.662595407526,7969.168369226161,1185.5057738186351,592.7528869093176
BG,2036,6300.116398007609,7969.168369226161,1669.0519712185524,834.5259856092762
BG,2037,5816.570200607693,7969.168369226161,2152.5981686184687,1076.2990843092343
BG,2038,5333.024003207775,7969.168369226161,2636.144366018386,1318.072183009193
BG,2039,4849.477805807859,7969.168369226161,3119.690563418302,1559.845281709151
BG,2040,4365.931608407943,7969.168369226161,3603.2367608182185,1801.6183804091092
BG,2041,4138.875133107113,7969.168369226161,3830.2932361190487,1915.1466180595244
BG,2042,3911.8186578062823,7969.168369226161,4057.349711419879,2028.6748557099395
BG,2043,3684.762182505452,7969.168369226161,4284.406186720709,2142.2030933603546
BG,2044,3457.705707204621,7969.168369226161,4511.46266202154,2255.73133101077
BG,2045,3230.6492319037907,7969.168369226161,4738.519137322371,2369.2595686611853
BG,2046,3003.5927566029604,7969.168369226161,4965.575612623201,2482.7878063116004
BG,2047,2776.53628130213,7969.168369226161,5192.632087924031,2596.3160439620156
BG,2048,2549.4798060012995,7969.168369226161,5419.688563224861,2709.8442816124307
BG,2049,2322.4233307004693,7969.168369226161,5646.7450385256925,2823.3725192628463
BG,2050,2095.3668553996386,7969.168369226161,5873.801513826523,2936.9007569132614
CY,2025,0.0,0.0,0.0,0.0
CY,2026,0.0,0.0,0.0,0.0
CY,2027,0.0,0.0,0.0,0.0
CY,2028,0.0,0.0,0.0,0.0
CY,2029,0.0,0.0,0.0,0.0
CY,2030,0.0,0.0,0.0,0.0
CY,2031,0.0,0.0,0.0,0.0
CY,2032,0.0,0.0,0.0,0.0
CY,2033,0.0,0.0,0.0,0.0
CY,2034,0.0,0.0,0.0,0.0
CY,2035,0.0,0.0,0.0,0.0
CY,2036,0.0,0.0,0.0,0.0
CY,2037,0.0,0.0,0.0,0.0
CY,2038,0.0,0.0,0.0,0.0
CY,2039,0.0,0.0,0.0,0.0
CY,2040,0.0,0.0,0.0,0.0
CY,2041,0.0,0.0,0.0,0.0
CY,2042,0.0,0.0,0.0,0.0
CY,2043,0.0,0.0,0.0,0.0
CY,2044,0.0,0.0,0.0,0.0
CY,2045,0.0,0.0,0.0,0.0
CY,2046,0.0,0.0,0.0,0.0
CY,2047,0.0,0.0,0.0,0.0
CY,2048,0.0,0.0,0.0,0.0
CY,2049,0.0,0.0,0.0,0.0
CY,2050,0.0,0.0,0.0,0.0
CZ,2025,4147.287434189459,4147.287434189459,0.0,0.0
CZ,2026,4147.287434189459,4147.287434189459,0.0,0.0
CZ,2027,4147.287434189459,4147.287434189459,0.0,0.0
CZ,2028,4147.287434189459,4147.287434189459,0.0,0.0
CZ,2029,4147.287434189459,4147.287434189459,0.0,0.0
CZ,2030,4147.287434189459,4147.287434189459,0.0,0.0
CZ,2031,4147.287434189459,4147.287434189459,0.0,0.0
CZ,2032,4147.287434189459,4147.287434189459,0.0,0.0
CZ,2033,4033.621488096329,4147.287434189459,113.66594609313051,56.83297304656526
CZ,2034,3781.9760245532498,4147.287434189459,365.31140963620965,182.65570481810482
CZ,2035,3530.330561010169,4147.287434189459,616.9568731792906,308.4784365896453
CZ,2036,3278.685097467089,4147.287434189459,868.6023367223706,434.3011683611853
CZ,2037,3027.0396339240083,4147.287434189459,1120.2478002654511,560.1239001327256
CZ,2038,2775.394170380928,4147.287434189459,1371.8932638085316,685.9466319042658
CZ,2039,2523.7487068378477,4147.287434189459,1623.5387273516117,811.7693636758058
CZ,2040,2272.1032432947677,4147.287434189459,1875.1841908946917,937.5920954473459
CZ,2041,2153.9392865006257,4147.287434189459,1993.3481476888337,996.6740738444169
CZ,2042,2035.775329706484,4147.287434189459,2111.5121044829757,1055.7560522414879
