country,year,jet_fossil_kt_per_yr,jet_total_kt_per_yr,jet_esaf_kt_per_yr,h2_esaf_kt_per_yr
AT,2025,5719.466957312922,5719.466957312922,0.0,0.0
AT,2026,5662.272287739793,5662.272287739793,0.0,0.0
AT,2027,5605.649564862395,5605.649564862395,0.0,0.0
AT,2028,5549.593069213771,5549.593069213771,0.0,0.0
AT,2029,5494.0971385216335,5494.0971385216335,0.0,0.0
AT,2030,5439.156167136416,5439.156167136416,0.0,0.0
AT,2031,5384.764605465053,5384.764605465053,0.0,0.0
AT,2032,5330.916959410401,5330.916959410401,0.0,0.0
AT,2033,5277.6077898162985,5277.6077898162985,0.0,0.0
AT,2034,5215.671025707315,5224.831711918135,9.160686210820131,4.580343105410066
AT,2035,4868.630234218592,5172.583394798953,303.9531605803613,151.97658029018066
AT,2036,4521.589442729871,5120.857560850965,599.2681181210937,299.63405906054686
AT,2037,4174.548651241148,5069.648985242455,895.1003340013067,447.55016700065335
AT,2038,3827.507859752426,5018.952495390029,1191.444635637603,595.7223178188015
AT,2039,3480.467068263704,4968.76297043613,1488.295902172426,744.147951086213
AT,2040,3133.4262767749824,4919.075340731768,1785.6490639567855,892.8245319783928
AT,2041,2970.4679920759304,4869.88458732445,1899.4165952485196,949.7082976242598
AT,2042,2807.509707376879,4821.185741451206,2013.6760340743272,1006.8380170371636
AT,2043,2644.551422677827,4772.973884036694,2128.4224613588667,1064.2112306794334
AT,2044,2481.593137978774,4725.244145196327,2243.651007217553,1121.8255036087764
AT,2045,2318.634853279722,4677.991703744364,2359.356850464642,1179.678425232321
AT,2046,2155.67656858067,4631.21178670692,2475.53521812625,1237.767609063125
AT,2047,1992.7182838816184,4584.899668839851,2592.1813849582327,1296.0906924791163
AT,2048,1829.759999182566,4539.050672151452,2709.290672968886,1354.645336484443
AT,2049,1666.801714483514,4493.6601654299375,2826.8584509464235,1413.4292254732118
AT,2050,1503.843429784462,4448.7235637756385,2944.8801339911765,1472.4400669955883
BE,2025,56724.26361667727,56724.26361667727,0.0,0.0
BE,2026,56157.0209805105,56157.0209805105,0.0,0.0
BE,2027,55595.45077070539,55595.45077070539,0.0,0.0
