country,year,jet_fossil_kt_per_yr,jet_total_kt_per_yr,jet_esaf_kt_per_yr,h2_esaf_kt_per_yr
AT,2025,5719.466957312922,5719.466957312922,0.0,0.0
AT,2026,5891.05096603231,5891.05096603231,0.0,0.0
AT,2027,6067.782495013279,6067.782495013279,0.0,0.0
AT,2028,6249.815969863677,6249.815969863677,0.0,0.0
AT,2029,6426.960744792345,6437.310448959589,10.349704167243544,5.174852083621772
AT,2030,6603.834191662201,6630.429762428376,26.595570766175115,13.297785383087557
AT,2031,6256.793400173481,6829.342655301228,572.5492551277466,286.2746275638733
AT,2032,5909.752608684757,7034.222934960265,1124.4703262755074,562.2351631377537
AT,2033,5562.7118171960365,7245.249623009073,1682.5378058130364,841.2689029065182
AT,2034,5215.671025707315,7462.607111699345,2246.9360859920307,1123.4680429960154
AT,2035,4868.630234218592,7686.485325050326,2817.855090831734,1408.927545415867
AT,2036,4521.589442729871,7917.079884801836,3395.490442071965,1697.7452210359825
AT,2037,4174.548651241148,8154.592281345891,3980.043630104743,1990.0218150523715
AT,2038,3827.507859752426,8399.230049786269,4571.722190033843,2285.8610950169214
AT,2039,3480.467068263704,8651.206951279857,5170.739883016153,2585.3699415080764
AT,2040,3133.4262767749824,8910.743159818252,5777.31688304327,2888.658441521635
AT,2041,2970.4679920759304,9178.0654546128,6207.597462536871,3103.7987312684354
AT,2042,2807.509707376879,9453.407418251183,6645.897710874304,3322.948855437152
AT,2043,2644.551422677827,9737.00964079872,7092.458218120893,3546.2291090604467
AT,2044,2481.593137978774,10029.119930022682,7547.526792043907,3773.7633960219537
AT,2045,2318.634853279722,10329.993527923363,8011.358674643641,4005.6793373218206
AT,2046,2155.67656858067,10639.893333761063,8484.216765180394,4242.108382590197
AT,2047,1992.7182838816184,10959.090133773896,8966.371849892277,4483.185924946139
AT,2048,1829.759999182566,11287.862837787114,9458.102838604547,4729.051419302274
AT,2049,1666.801714483514,11626.498722920727,9959.697008437213,4979.848504218607
AT,2050,1503.843429784462,11975.293684608348,10471.450254823887,5235.7251274119435
BE,2025,56724.26361667727,56724.26361667727,0.0,0.0
BE,2026,58425.99152517759,58425.99152517759,0.0,0.0
BE,2027,60178.77127093291,60178.77127093291,0.0,0.0
BE,2028,61984.134409060905,61984.134409060905,0.0,0.0
BE,2029,63741.01262627358,63843.658441332744,102.6458150591643,51.32290752958215
BE,2030,65495.199878672654,65758.96819457272,263.7683159000662,131.8841579500331
BE,2031,62053.334843159784,67731.7372404099,5678.402397250116,2839.201198625058
