country,year,refinery_scenario,demand_scenario,marine_fossil_proxy_t_per_yr,marine_total_t_per_yr,marine_fossil_used_t_per_yr,marine_methanol_eq_t_per_yr,methanol_t_per_yr,h2_for_methanol_t_per_yr,methanol_share
AT,2025,max-electron,constant-demand,7051.047385525082,7051.047385525082,7051.047385525082,0.0,0.0,0.0,0.0
AT,2026,max-electron,constant-demand,6572.818468751375,7051.047385525082,6572.818468751375,478.22891677370717,1026.1494847355425,194.96840209975306,0.032
AT,2027,max-electron,constant-demand,6094.589551977664,7051.047385525082,6094.589551977664,956.457833547418,2052.2989694710927,389.9368041995076,0.064
AT,2028,max-electron,constant-demand,5616.360635203953,7051.047385525082,5616.360635203953,1434.6867503211288,3078.4484542066434,584.9052062992622,0.09600000000000002
AT,2029,max-electron,constant-demand,5138.131718430245,7051.047385525082,5138.131718430245,1912.9156670948369,4104.597938942188,779.8736083990158,0.128
AT,2030,max-electron,constant-demand,4659.902801656534,7051.047385525082,4659.902801656534,2391.1445838685477,5130.747423677738,974.8420104987703,0.16
AT,2031,max-electron,constant-demand,4385.287914478502,7051.047385525082,4385.287914478502,2665.75947104658,5719.9964529491945,1086.7993260603469,0.19200000000000003
AT,2032,max-electron,constant-demand,4110.6730273004705,7051.047385525082,4110.6730273004705,2940.3743582246116,6309.245482220649,1198.7566416219233,0.22400000000000003
AT,2033,max-electron,constant-demand,3836.058140122439,7051.047385525082,3836.058140122439,3214.989245402643,6898.494511492104,1310.7139571834998,0.256
AT,2034,max-electron,constant-demand,3561.4432529444066,7051.047385525082,3561.4432529444066,3489.6041325806755,7487.74354076356,1422.6712727450765,0.28800000000000003
AT,2035,max-electron,constant-demand,3286.8283657663737,7051.047385525082,3286.8283657663737,3764.2190197587083,8076.992570035018,1534.6285883066535,0.32
AT,2036,max-electron,constant-demand,3012.213478588342,7051.047385525082,3012.213478588342,4038.8339069367403,8666.241599306473,1646.58590386823,0.35200000000000004
AT,2037,max-electron,constant-demand,2737.59859141031,7051.047385525082,2737.59859141031,4313.448794114773,9255.490628577929,1758.5432194298064,0.38400000000000006
AT,2038,max-electron,constant-demand,2462.9837042322774,7051.047385525082,2462.9837042322774,4588.063681292804,9844.739657849384,1870.5005349913831,0.41600000000000004
AT,2039,max-electron,constant-demand,2188.3688170542455,7051.047385525082,2188.3688170542455,4862.678568470837,10433.98868712084,1982.4578505529596,0.44800000000000006
AT,2040,max-electron,constant-demand,1913.753929876213,7051.047385525082,1913.753929876213,5137.293455648869,11023.237716392297,2094.4151661145365,0.48
AT,2041,max-electron,constant-demand,1797.8221872122267,7051.047385525082,1797.8221872122267,5253.225198312855,11271.995777284368,2141.67919768403,0.512
AT,2042,max-electron,constant-demand,1681.8904445482408,7051.047385525082,1681.8904445482408,5369.156940976842,11520.753838176439,2188.9432292535234,0.544
AT,2043,max-electron,constant-demand,1565.9587018842544,7051.047385525082,1565.9587018842544,5485.088683640828,11769.511899068511,2236.2072608230174,0.5760000000000001
AT,2044,max-electron,constant-demand,1450.026959220269,7051.047385525082,1450.026959220269,5601.020426304813,12018.269959960578,2283.47129239251,0.6080000000000001
AT,2045,max-electron,constant-demand,1334.0952165562824,7051.047385525082,1334.0952165562824,5716.9521689688,12267.028020852651,2330.735323962004,0.64
AT,2046,max-electron,constant-demand,1218.1634738922965,7051.047385525082,1218.1634738922965,5832.883911632785,12515.786081744722,2377.9993555314973,0.672
AT,2047,max-electron,constant-demand,1102.23173122831,7051.047385525082,1102.23173122831,5948.815654296772,12764.544142636792,2425.2633871009907,0.7040000000000001
AT,2048,max-electron,constant-demand,986.2999885643239,7051.047385525082,986.2999885643239,6064.747396960758,13013.302203528863,2472.527418670484,0.7360000000000001
AT,2049,max-electron,constant-demand,870.3682459003381,7051.047385525082,870.3682459003381,6180.679139624744,13262.060264420932,2519.791450239977,0.7680000000000001
AT,2050,max-electron,constant-demand,754.436503236352,7051.047385525082,754.436503236352,6296.61088228873,13510.818325313005,2567.055481809471,0.8
BE,2025,max-electron,constant-demand,69930.55011163431,69930.55011163431,69930.55011163431,0.0,0.0,0.0,0.0
BE,2026,max-electron,constant-demand,65187.59358322828,69930.55011163431,65187.59358322828,4742.95652840603,10177.097676529522,1933.6485585406092,0.032
BE,2027,max-electron,constant-demand,60444.63705482223,69930.55011163431,60444.63705482223,9485.913056812075,20354.195353059076,3867.2971170812243,0.064
BE,2028,max-electron,constant-demand,55701.680526416196,69930.55011163431,55701.680526416196,14228.869585218112,30531.293029588614,5800.945675621837,0.09600000000000002
BE,2029,max-electron,constant-demand,50958.72399801016,69930.55011163431,50958.72399801016,18971.82611362415,40708.39070611815,7734.594234162449,0.128
BE,2030,max-electron,constant-demand,46215.76746960414,69930.55011163431,46215.76746960414,23714.782642030164,50885.48838264764,9668.242792703053,0.16
BE,2031,max-electron,constant-demand,43492.204702372204,69930.55011163431,43492.204702372204,26438.345409262103,56729.51502389406,10778.607854539872,0.19200000000000003
BE,2032,max-electron,constant-demand,40768.641935140266,69930.55011163431,40768.641935140266,29161.908176494042,62573.54166514048,11888.972916376692,0.22400000000000003
BE,2033,max-electron,constant-demand,38045.07916790834,69930.55011163431,38045.07916790834,31885.470943725966,68417.56830638688,12999.337978213507,0.256
BE,2034,max-electron,constant-demand,35321.5164006764,69930.55011163431,35321.5164006764,34609.033710957905,74261.59494763329,14109.703040050324,0.28800000000000003
BE,2035,max-electron,constant-demand,32597.953633444467,69930.55011163431,32597.953633444467,37332.59647818984,80105.6215888797,15220.068101887144,0.32
BE,2036,max-electron,constant-demand,29874.390866212532,69930.55011163431,29874.390866212532,40056.159245421775,85949.64823012613,16330.433163723965,0.35200000000000004
BE,2037,max-electron,constant-demand,27150.8280989806,69930.55011163431,27150.8280989806,42779.72201265371,91793.67487137252,17440.79822556078,0.38400000000000006
BE,2038,max-electron,constant-demand,24427.26533174867,69930.55011163431,24427.26533174867,45503.28477988564,97637.70151261894,18551.163287397598,0.41600000000000004
BE,2039,max-electron,constant-demand,21703.702564516734,69930.55011163431,21703.702564516734,48226.84754711758,103481.72815386536,19661.52834923442,0.44800000000000006
BE,2040,max-electron,constant-demand,18980.139797284803,69930.55011163431,18980.139797284803,50950.4103143495,109325.75479511174,20771.893411071233,0.48
BE,2041,max-electron,constant-demand,17830.357347015644,69930.55011163431,17830.357347015644,52100.19276461867,111792.87593212146,21240.646427103078,0.512
BE,2042,max-electron,constant-demand,16680.574896746486,69930.55011163431,16680.574896746486,53249.97521488782,114259.99706913115,21709.399443134917,0.544
BE,2043,max-electron,constant-demand,15530.792446477331,69930.55011163431,15530.792446477331,54399.757665156976,116727.11820614085,22178.152459166762,0.5760000000000001
BE,2044,max-electron,constant-demand,14381.009996208171,69930.55011163431,14381.009996208171,55549.540115426134,119194.23934315055,22646.905475198604,0.6080000000000001
BE,2045,max-electron,constant-demand,13231.227545939015,69930.55011163431,13231.227545939015,56699.32256569529,121661.36048016025,23115.658491230446,0.64
BE,2046,max-electron,constant-demand,12081.445095669855,69930.55011163431,12081.445095669855,57849.10501596445,124128.48161716996,23584.41150726229,0.672
BE,2047,max-electron,constant-demand,10931.662645400695,69930.55011163431,10931.662645400695,58998.88746623362,126595.60275417968,24053.16452329414,0.7040000000000001
BE,2048,max-electron,constant-demand,9781.880195131536,69930.55011163431,9781.880195131536,60148.66991650277,129062.72389118937,24521.91753932598,0.7360000000000001
BE,2049,max-electron,constant-demand,8632.09774486238,69930.55011163431,8632.09774486238,61298.452366771926,131529.84502819905,24990.67055535782,0.7680000000000001
BE,2050,max-electron,constant-demand,7482.315294593221,69930.55011163431,7482.315294593221,62448.234817041084,133996.96616520875,25459.423571389663,0.8
BG,2025,max-electron,constant-demand,9824.514104901928,9824.514104901928,9824.514104901928,0.0,0.0,0.0,0.0
BG,2026,max-electron,constant-demand,9158.178100996973,9824.514104901928,9158.178100996973,666.3360039049549,1429.7762495850036,271.6574874211507,0.032
BG,2027,max-electron,constant-demand,8491.842097092012,9824.514104901928,8491.842097092012,1332.6720078099152,2859.552499170019,543.3149748423036,0.064
BG,2028,max-electron,constant-demand,7825.506093187056,9824.514104901928,7825.506093187056,1999.0080117148718,4289.328748755027,814.9724622634551,0.09600000000000002
BG,2029,max-electron,constant-demand,7159.170089282099,9824.514104901928,7159.170089282099,2665.3440156198285,5719.104998340034,1086.6299496846066,0.128
BG,2030,max-electron,constant-demand,6492.8340853771415,9824.514104901928,6492.8340853771415,3331.680019524786,7148.881247925044,1358.2874371057583,0.16
BG,2031,max-electron,constant-demand,6110.201876999816,9824.514104901928,6110.201876999816,3714.3122279021118,7969.906137257295,1514.2821660788861,0.19200000000000003
BG,2032,max-electron,constant-demand,5727.569668622491,9824.514104901928,5727.569668622491,4096.944436279437,8790.931026589546,1670.2768950520137,0.22400000000000003
BG,2033,max-electron,constant-demand,5344.937460245166,9824.514104901928,5344.937460245166,4479.576644656761,9611.955915921795,1826.2716240251411,0.256
BG,2034,max-electron,constant-demand,4962.3052518678405,9824.514104901928,4962.3052518678405,4862.208853034087,10432.980805254047,1982.266352998269,0.28800000000000003
BG,2035,max-electron,constant-demand,4579.673043490514,9824.514104901928,4579.673043490514,5244.841061411414,11254.0056945863,2138.261081971397,0.32
BG,2036,max-electron,constant-demand,4197.040835113189,9824.514104901928,4197.040835113189,5627.473269788738,12075.03058391855,2294.2558109445245,0.35200000000000004
BG,2037,max-electron,constant-demand,3814.408626735864,9824.514104901928,3814.408626735864,6010.105478166064,12896.0554732508,2450.250539917652,0.38400000000000006
BG,2038,max-electron,constant-demand,3431.776418358538,9824.514104901928,3431.776418358538,6392.737686543389,13717.08036258305,2606.2452688907797,0.41600000000000004
BG,2039,max-electron,constant-demand,3049.1442099812134,9824.514104901928,3049.1442099812134,6775.369894920714,14538.1052519153,2762.239997863907,0.44800000000000006
BG,2040,max-electron,constant-demand,2666.5120016038877,9824.514104901928,2666.5120016038877,7158.00210329804,15359.130141247555,2918.2347268370354,0.48
BG,2041,max-electron,constant-demand,2504.979540008698,9824.514104901928,2504.979540008698,7319.534564893229,15705.734970901553,2984.089644471295,0.512
BG,2042,max-electron,constant-demand,2343.4470784135087,9824.514104901928,2343.4470784135087,7481.067026488419,16052.339800555554,3049.944562105555,0.544
BG,2043,max-electron,constant-demand,2181.9146168183192,9824.514104901928,2181.9146168183192,7642.599488083608,16398.94463020955,3115.7994797398146,0.5760000000000001
