country,year,refinery_scenario,demand_scenario,marine_fossil_proxy_t_per_yr,marine_total_t_per_yr,marine_fossil_used_t_per_yr,marine_methanol_eq_t_per_yr,methanol_t_per_yr,h2_for_methanol_t_per_yr,methanol_share
AT,2025,max-electron,decline-1pct,7051.047385525082,7051.047385525082,7051.047385525082,0.0,0.0,0.0,0.0
AT,2026,max-electron,decline-1pct,6572.818468751375,6980.536911669831,6572.818468751375,407.7184429184563,874.8531413375921,166.2220968541425,0.032
AT,2027,max-electron,decline-1pct,6094.589551977664,6910.731542553132,6094.589551977664,816.1419905754683,1751.2192461091706,332.7316567607424,0.064
AT,2028,max-electron,decline-1pct,5616.360635203953,6841.624227127601,5616.360635203953,1225.2635919236482,2629.083184680391,499.52580508927423,0.09600000000000002
AT,2029,max-electron,decline-1pct,5138.131718430245,6773.207984856325,5138.131718430245,1635.07626642608,3508.4299787132472,666.601695955517,0.128
AT,2030,max-electron,decline-1pct,4659.902801656534,6705.475905007762,4659.902801656534,2045.5731033512275,4389.244799653136,833.9565119340959,0.16
AT,2031,max-electron,decline-1pct,4385.287914478502,6638.4211459576845,4385.287914478502,2253.1332314791825,4834.612511766889,918.576377235709,0.19200000000000003
AT,2032,max-electron,decline-1pct,4110.6730273004705,6572.036934498107,4110.6730273004705,2461.3639071976368,5281.419037052216,1003.469617039921,0.22400000000000003
AT,2033,max-electron,decline-1pct,3836.058140122439,6506.316565153126,3836.058140122439,2670.2584250306872,5729.649987377405,1088.633497601707,0.256
AT,2034,max-electron,decline-1pct,3561.4432529444066,6441.253399501595,3561.4432529444066,2879.810146557188,6179.291118492057,1174.0653125134909,0.28800000000000003
AT,2035,max-electron,decline-1pct,3286.8283657663737,6376.840865506579,3286.8283657663737,3090.012499740205,6630.328328588279,1259.762382431773,0.32
AT,2036,max-electron,decline-1pct,3012.213478588342,6313.072456851513,3012.213478588342,3300.8589782631716,7082.747656876253,1345.7220548064881,0.35200000000000004
AT,2037,max-electron,decline-1pct,2737.59859141031,6249.941732282999,2737.59859141031,3512.3431408726888,7536.535282174061,1431.9417036130715,0.38400000000000006
AT,2038,max-electron,decline-1pct,2462.9837042322774,6187.442314960168,2462.9837042322774,3724.4586107278906,7991.677521511605,1518.418729087205,0.41600000000000004
AT,2039,max-electron,decline-1pct,2188.3688170542455,6125.567891810566,2188.3688170542455,3937.1990747563204,8448.160828748487,1605.1505574622124,0.44800000000000006
AT,2040,max-electron,decline-1pct,1913.753929876213,6064.312212892461,1913.753929876213,4150.5582830162475,8905.971793205717,1692.1346407090864,0.48
AT,2041,max-electron,decline-1pct,1797.8221872122267,6003.669090763536,1797.8221872122267,4205.846903551309,9024.606169931703,1714.6751722870235,0.512
AT,2042,max-electron,decline-1pct,1681.8904445482408,5943.6323998559,1681.8904445482408,4261.74195530766,9144.541783499351,1737.4629388648768,0.544
AT,2043,max-electron,decline-1pct,1565.9587018842544,5884.196075857341,1565.9587018842544,4318.2373739730865,9265.76562154024,1760.4954680926458,0.5760000000000001
AT,2044,max-electron,decline-1pct,1450.026959220269,5825.3541150987685,1450.026959220269,4375.3271558785,9388.264801809646,1783.7703123438328,0.6080000000000001
AT,2045,max-electron,decline-1pct,1334.0952165562824,5767.1005739477805,1334.0952165562824,4433.005357391498,9512.026570885275,1807.2850484682021,0.64
AT,2046,max-electron,decline-1pct,1218.1634738922965,5709.429568208302,1218.1634738922965,4491.266094316005,9637.038302879067,1831.0372775470228,0.672
AT,2047,max-electron,decline-1pct,1102.23173122831,5652.335272526219,1102.23173122831,4550.103541297909,9763.287498161846,1855.0246246507509,0.7040000000000001
AT,2048,max-electron,decline-1pct,986.2999885643239,5595.811919800957,986.2999885643239,4609.511931236633,9890.761782100715,1879.2447385991359,0.7360000000000001
AT,2049,max-electron,decline-1pct,870.3682459003381,5539.853800602948,870.3682459003381,4669.485554702609,10019.448903809116,1903.695291723732,0.7680000000000001
AT,2050,max-electron,decline-1pct,754.436503236352,5484.455262596918,754.436503236352,4730.018759360566,10149.336734909355,1928.3739796327775,0.8
BE,2025,max-electron,decline-1pct,69930.55011163431,69930.55011163431,69930.55011163431,0.0,0.0,0.0,0.0
BE,2026,max-electron,decline-1pct,65187.59358322828,69231.24461051797,65187.59358322828,4043.651027289692,8676.57783242562,1648.549788160868,0.032
BE,2027,max-electron,decline-1pct,60444.63705482223,68538.93216441278,60444.63705482223,8094.295109590545,17368.160863292276,3299.9505640255325,0.064
BE,2028,max-electron,decline-1pct,55701.680526416196,67853.54284276866,55701.680526416196,12151.86231635246,26074.599040615583,4954.173817716961,0.09600000000000002
BE,2029,max-electron,decline-1pct,50958.72399801016,67175.00741434097,50958.72399801016,16216.283416330814,34795.743812930945,6611.19132445688,0.128
BE,2030,max-electron,decline-1pct,46215.76746960414,66503.25734019755,46215.76746960414,20287.48987059341,43531.448114288374,8270.97514171479,0.16
BE,2031,max-electron,decline-1pct,43492.204702372204,65838.22476679558,43492.204702372204,22346.020064423377,47948.49531411449,9110.214109681752,0.19200000000000003
BE,2032,max-electron,decline-1pct,40768.641935140266,65179.842519127626,40768.641935140266,24411.20058398736,52379.81230835479,9952.16433858741,0.22400000000000003
BE,2033,max-electron,decline-1pct,38045.07916790834,64528.04409393635,38045.07916790834,26482.964926028006,56825.25639906512,10796.798715822373,0.256
BE,2034,max-electron,decline-1pct,35321.5164006764,63882.76365299698,35321.5164006764,28561.24725232058,61284.686315280844,11644.09039990336,0.28800000000000003
BE,2035,max-electron,decline-1pct,32597.953633444467,63243.936016467014,32597.953633444467,30645.982383022547,65757.96219874687,12494.012817761906,0.32
BE,2036,max-electron,decline-1pct,29874.390866212532,62611.49665630235,29874.390866212532,32737.105790089816,70244.94558979072,13346.539662060237,0.35200000000000004
BE,2037,max-electron,decline-1pct,27150.8280989806,61985.38168973932,27150.8280989806,34834.55359075872,74745.49941333655,14201.644888533945,0.38400000000000006
BE,2038,max-electron,decline-1pct,24427.26533174867,61365.52787284192,24427.26533174867,36938.26254109325,79259.4879650594,15059.302713361285,0.41600000000000004
BE,2039,max-electron,decline-1pct,21703.702564516734,60751.872594113505,21703.702564516734,39048.170029596775,83786.77689767751,15919.487610558728,0.44800000000000006
BE,2040,max-electron,decline-1pct,18980.139797284803,60144.35386817237,18980.139797284803,41164.21407088757,88327.23320738187,16782.174309402555,0.48
BE,2041,max-electron,decline-1pct,17830.357347015644,59542.910329490645,17830.357347015644,41712.552982475,89503.81971616494,17005.72574607134,0.512
BE,2042,max-electron,decline-1pct,16680.574896746486,58947.48122619574,16680.574896746486,42266.90632944925,90693.31157123031,17231.729198533758,0.544
BE,2043,max-electron,decline-1pct,15530.792446477331,58358.006413933785,15530.792446477331,42827.21396745645,91895.5797191151,17460.16014663187,0.5760000000000001
BE,2044,max-electron,decline-1pct,14381.009996208171,57774.42634979445,14381.009996208171,43393.416353586275,93110.49639689116,17690.99431540932,0.6080000000000001
BE,2045,max-electron,decline-1pct,13231.227545939015,57196.6820862965,13231.227545939015,43965.45454035749,94337.93511925953,17924.20767265931,0.64
BE,2046,max-electron,decline-1pct,12081.445095669855,56624.71526543353,12081.445095669855,44543.27016976367,95577.77066577431,18159.77642649712,0.672
BE,2047,max-electron,decline-1pct,10931.662645400695,56058.4681127792,10931.662645400695,45126.80546737851,96829.87906819409,18397.677022956876,0.7040000000000001
BE,2048,max-electron,decline-1pct,9781.880195131536,55497.883431651404,9781.880195131536,45716.00323651987,98094.13759795972,18637.886143612348,0.7360000000000001
BE,2049,max-electron,decline-1pct,8632.09774486238,54942.904597334884,8632.09774486238,46310.8068524725,99370.42475379778,18880.380703221577,0.7680000000000001
BE,2050,max-electron,decline-1pct,7482.315294593221,54393.475551361546,7482.315294593221,46911.16025676832,100658.62024944762,19125.137847395046,0.8
BG,2025,max-electron,decline-1pct,9824.514104901928,9824.514104901928,9824.514104901928,0.0,0.0,0.0,0.0
BG,2026,max-electron,decline-1pct,9158.178100996973,9726.268963852908,9158.178100996973,568.0908628559355,1218.9688363793189,231.60407891207058,0.032
BG,2027,max-electron,decline-1pct,8491.842097092012,9629.006274214378,8491.842097092012,1137.1641771223658,2440.045746890705,463.6086919092339,0.064
BG,2028,max-electron,decline-1pct,7825.506093187056,9532.716211472236,7825.506093187056,1707.2101182851802,3663.209650792824,696.0098336506366,0.09600000000000002
BG,2029,max-electron,decline-1pct,7159.170089282099,9437.389049357513,7159.170089282099,2278.2189600754136,4888.439678151767,928.8035388488357,0.128
BG,2030,max-electron,decline-1pct,6492.8340853771415,9343.015158863936,6492.8340853771415,2850.181073486795,6115.715167732972,1161.9858818692646,0.16
BG,2031,max-electron,decline-1pct,6110.201876999816,9249.585007275298,6110.201876999816,3139.3831302754825,6736.264304661463,1279.8902178856779,0.19200000000000003
BG,2032,max-electron,decline-1pct,5727.569668622491,9157.089157202545,5727.569668622491,3429.519488580054,7358.818199113985,1398.1754578316572,0.22400000000000003
BG,2033,max-electron,decline-1pct,5344.937460245166,9065.51826563052,5344.937460245166,3720.5808053853543,7983.3568035153085,1516.8377926679086,0.256
BG,2034,max-electron,decline-1pct,4962.3052518678405,8974.863082974214,4962.3052518678405,4012.5578311063737,8609.860270765937,1635.8734514455282,0.28800000000000003
BG,2035,max-electron,decline-1pct,4579.673043490514,8885.114452144471,4579.673043490514,4305.441408653957,9238.308952237387,1755.2787009251035,0.32
BG,2036,max-electron,decline-1pct,4197.040835113189,8796.263307623027,4197.040835113189,4599.222472509838,9868.68339578744,1875.0498451996136,0.35200000000000004
BG,2037,max-electron,decline-1pct,3814.408626735864,8708.300674546797,3814.408626735864,4893.892047810934,10500.964343795322,1995.1832253211112,0.38400000000000006
BG,2038,max-electron,decline-1pct,3431.776418358538,8621.217667801327,3431.776418358538,5189.441249442789,11135.132731216438,2115.6752189311233,0.41600000000000004
BG,2039,max-electron,decline-1pct,3049.1442099812134,8535.005491123316,3049.1442099812134,5485.861281142103,11771.169683656673,2236.522239894768,0.44800000000000006
BG,2040,max-electron,decline-1pct,2666.5120016038877,8449.655436212082,2666.5120016038877,5783.143434608195,12409.056515465825,2357.7207379385068,0.48
BG,2041,max-electron,decline-1pct,2504.979540008698,8365.158881849962,2504.979540008698,5860.1793418412635,12574.354668171958,2389.127386952672,0.512
BG,2042,max-electron,decline-1pct,2343.4470784135087,8281.507293031462,2343.4470784135087,5938.0602146179535,12741.46588764757,2420.878518653038,0.544
BG,2043,max-electron,decline-1pct,2181.9146168183192,8198.692220101148,2181.9146168183192,6016.777603282828,12910.372043224963,2452.970688212743,0.5760000000000001
BG,2044,max-electron,decline-1pct,2020.3821552231298,8116.7052979001355,2020.3821552231298,6096.323142677005,13081.055185543122,2485.4004852531934,0.6080000000000001
BG,2045,max-electron,decline-1pct,1858.84969362794,8035.538244921135,1858.84969362794,6176.688551293195,13253.497544734644,2518.1645334995824,0.64
BG,2046,max-electron,decline-1pct,1697.3172320327512,7955.182862471923,1697.3172320327512,6257.865630439172,13427.681528630786,2551.2594904398493,0.672
BG,2047,max-electron,decline-1pct,1535.7847704375608,7875.631033847204,1535.7847704375608,6339.846263409643,13603.589720984512,2584.682046987057,0.7040000000000001
BG,2048,max-electron,decline-1pct,1374.2523088423716,7796.874723508731,1374.2523088423716,6422.62241466636,13781.204879711235,2618.428927145135,0.7360000000000001
BG,2049,max-electron,decline-1pct,1212.719847247182,7718.905976273643,1212.719847247182,6506.1861290264615,13960.509935147233,2652.4968876779744,0.7680000000000001
BG,2050,max-electron,decline-1pct,1051.1873856519926,7641.716916510908,1051.1873856519926,6590.529530858916,14141.487988325413,2686.8827177818284,0.8
CY,2025,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CY,2026,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.032
CY,2027,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.064
CY,2028,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.09600000000000002
CY,2029,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.128
CY,2030,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.16
CY,2031,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.19200000000000003
CY,2032,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.22400000000000003
CY,2033,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.256
CY,2034,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.28800000000000003
CY,2035,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.32
CY,2036,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.35200000000000004
CY,2037,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.38400000000000006
CY,2038,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.41600000000000004
CY,2039,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.44800000000000006
CY,2040,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.48
CY,2041,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.512
CY,2042,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.544
CY,2043,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.5760000000000001
CY,2044,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.6080000000000001
CY,2045,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.64
CY,2046,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.672
CY,2047,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.7040000000000001
CY,2048,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.7360000000000001
CY,2049,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.7680000000000001
CY,2050,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.8
CZ,2025,max-electron,decline-1pct,5112.8401366971475,5112.8401366971475,5112.8401366971475,0.0,0.0,0.0,0.0
CZ,2026,max-electron,decline-1pct,4766.067825220512,5061.7117353301755,4766.067825220512,295.6439101096639,634.371606114706,120.53060516179414,0.032
CZ,2027,max-electron,decline-1pct,4419.295513743876,5011.094617976874,4419.295513743876,591.7991042329986,1269.840288982364,241.26965490664915,0.064
CZ,2028,max-electron,decline-1pct,4072.523202267239,4960.983671797106,4072.523202267239,888.4604695298667,1906.3950778354426,362.2150647887341,0.09600000000000002
CZ,2029,max-electron,decline-1pct,3725.7508907906044,4911.373835079135,3725.7508907906044,1185.62294428853,2544.025111614082,483.3647712066756,0.128
CZ,2030,max-electron,decline-1pct,3378.978579313969,4862.260096728342,3378.978579313969,1483.2815174143734,3182.7196378690323,604.7167311951162,0.16
CZ,2031,max-electron,decline-1pct,3179.8504299016176,4813.63749576106,3179.8504299016176,1633.787065859442,3505.6637041305617,666.0761037848067,0.19200000000000003
CZ,2032,max-electron,decline-1pct,2980.7222804892676,4765.501120803448,2980.7222804892676,1784.7788403141808,3829.6510794681167,727.6337050989422,0.22400000000000003
CZ,2033,max-electron,decline-1pct,2781.5941310769176,4717.846109595414,2781.5941310769176,1936.2519785184968,4154.671330790946,789.3875528502797,0.256
CZ,2034,max-electron,decline-1pct,2582.465981664567,4670.6676484994605,2582.465981664567,2088.2016668348933,4480.714129339193,851.3356845744468,0.28800000000000003
CZ,2035,max-electron,decline-1pct,2383.3378322522162,4623.960972014465,2383.3378322522162,2240.623139762249,4807.769249640605,913.476157431715,0.32
CZ,2036,max-electron,decline-1pct,2184.2096828398658,4577.721362294321,2184.2096828398658,2393.511679454455,5135.82656847765,975.8070480107534,0.35200000000000004
CZ,2037,max-electron,decline-1pct,1985.081533427515,4531.944148671378,1985.081533427515,2546.862615243863,5464.876063864972,1038.3264521343447,0.38400000000000006
CZ,2038,max-electron,decline-1pct,1785.953384015165,4486.624707184664,1785.953384015165,2700.6713231694985,5794.907814037065,1101.0324846670424,0.41600000000000004
CZ,2039,max-electron,decline-1pct,1586.8252346028146,4441.758460112817,1586.8252346028146,2854.9332255100026,6125.911996446086,1163.9232793247563,0.44800000000000006
CZ,2040,max-electron,decline-1pct,1387.6970851904641,4397.340875511689,1387.6970851904641,3009.6437903212245,6457.878886769663,1226.996988486236,0.48
CZ,2041,max-electron,decline-1pct,1303.632912224261,4353.367466756572,1303.632912224261,3049.734554532311,6543.9027878658135,1243.3415296945045,0.512
CZ,2042,max-electron,decline-1pct,1219.568739258058,4309.833792089006,1219.568739258058,3090.265052830948,6630.8702389890195,1259.8653454079138,0.544
CZ,2043,max-electron,decline-1pct,1135.5045662918553,4266.735454168116,1135.5045662918553,3131.2308878762606,6718.771804639012,1276.5666428814122,0.5760000000000001
CZ,2044,max-electron,decline-1pct,1051.4403933256524,4224.0680996264355,1051.4403933256524,3172.627706300783,6807.598143670524,1293.4436472973996,0.6080000000000001
CZ,2045,max-electron,decline-1pct,967.3762203594497,4181.8274186301705,967.3762203594497,3214.451198270721,6897.340008349738,1310.4946015864502,0.64
CZ,2046,max-electron,decline-1pct,883.3120473932468,4140.0091444438685,883.3120473932468,3256.697097050622,6987.988243420179,1327.717766249834,0.672
CZ,2047,max-electron,decline-1pct,799.2478744270437,4098.60905299943,799.2478744270437,3299.361178572386,7079.533785177934,1345.1114191838076,0.7040000000000001
CZ,2048,max-electron,decline-1pct,715.183701460841,4057.6229624694356,715.183701460841,3342.4392610085947,7171.967660556131,1362.673855505665,0.7360000000000001
CZ,2049,max-electron,decline-1pct,631.1195284946381,4017.046732844741,631.1195284946381,3385.9272043501032,7265.280986218563,1380.403387381527,0.7680000000000001
CZ,2050,max-electron,decline-1pct,547.0553555284351,3976.876265516294,547.0553555284351,3429.820909987859,7359.464967662391,1398.2983438558545,0.8
DE,2025,max-electron,decline-1pct,313511.2838206451,313511.2838206451,313511.2838206451,0.0,0.0,0.0,0.0
DE,2026,max-electron,decline-1pct,292247.75324706396,310376.17098243866,292247.75324706396,18128.417735374707,38898.665190979904,7390.746386286181,0.032
DE,2027,max-electron,decline-1pct,270984.2226734827,307272.4092726143,270984.2226734827,36288.18659913156,77864.60139612651,14794.274265264037,0.064
DE,2028,max-electron,decline-1pct,249720.6920999016,304199.68517988815,249720.6920999016,54478.99307998657,116897.13590529782,22210.45582200659,0.09600000000000002
DE,2029,max-electron,decline-1pct,228457.16152632041,301157.68832808925,228457.16152632041,72700.52680176884,155995.60273545375,29639.164519736212,0.128
DE,2030,max-electron,decline-1pct,207193.63095273927,298146.11144480837,207193.63095273927,90952.4804920691,195159.34256338445,37080.27508704305,0.16
DE,2031,max-electron,decline-1pct,194983.40726140677,295164.6503303603,194983.40726140677,100181.24306895351,214961.76276604598,40842.734925548735,0.19200000000000003
DE,2032,max-electron,decline-1pct,182773.18357007427,292213.0038270567,182773.18357007427,109439.8202569824,234828.15703382657,44617.34983642705,0.22400000000000003
DE,2033,max-electron,decline-1pct,170562.95987874176,289290.8737887861,170562.95987874176,118727.91391004436,254757.8856260751,48403.99826895427,0.256
DE,2034,max-electron,decline-1pct,158352.73618740926,286397.96505089826,158352.73618740926,128045.228863489,274750.31519954675,52202.559887913885,0.28800000000000003
DE,2035,max-electron,decline-1pct,146142.51249607673,283533.98540038924,146142.51249607673,137391.4729043125,294804.8187444294,56012.91556144159,0.32
DE,2036,max-electron,decline-1pct,133932.28880474422,280698.6455463854,133932.28880474422,146766.35674164115,314920.77552100894,59834.9473489917,0.35200000000000004
DE,2037,max-electron,decline-1pct,121722.06511341174,277891.6590909215,121722.06511341174,156169.59397750976,335097.5709969682,63668.538489423954,0.38400000000000006
DE,2038,max-electron,decline-1pct,109511.84142207923,275112.7425000123,109511.84142207923,165600.90107793303,355334.59678531357,67513.57338920957,0.41600000000000004
DE,2039,max-electron,decline-1pct,97301.61773074673,272361.61507501215,97301.61773074673,175059.9973442654,375631.25058292126,71369.93761075503,0.44800000000000006
DE,2040,max-electron,decline-1pct,85091.39403941423,269637.99892426206,85091.39403941423,184546.60488484782,395986.9361096986,75237.51786084274,0.48
DE,2041,max-electron,decline-1pct,79936.7116935312,266941.6189350194,79936.7116935312,187004.90724148822,401261.78589002753,76239.73931910523,0.512
DE,2042,max-electron,decline-1pct,74782.02934764813,264272.20274566923,74782.02934764813,189490.17339802108,406594.4926681156,77252.95360694197,0.544
DE,2043,max-electron,decline-1pct,69627.34700176508,261629.48071821252,69627.34700176508,192002.13371644745,411984.47787398525,78277.0507960572,0.5760000000000001
DE,2044,max-electron,decline-1pct,64472.66465588205,259013.1859110304,64472.66465588205,194540.52125514834,417431.16872335854,79311.92205743812,0.6080000000000001
DE,2045,max-electron,decline-1pct,59317.98230999902,256423.0540519201,59317.98230999902,197105.07174192107,422933.9981598005,80357.4596503621,0.64
DE,2046,max-electron,decline-1pct,54163.29996411597,253858.82351140087,54163.29996411597,199695.5235472849,428492.40479744045,81413.55691151369,0.672
DE,2047,max-electron,decline-1pct,49008.617618232915,251320.2352762869,49008.617618232915,202311.617658054,434105.83286426665,82480.10824421067,0.7040000000000001
DE,2048,max-electron,decline-1pct,43853.93527234989,248807.032923524,43853.93527234989,204953.09765117412,439773.7321459867,83557.00910773747,0.7360000000000001
DE,2049,max-electron,decline-1pct,38699.252926466834,246318.96259428875,38699.252926466834,207619.7096678219,445495.55793045205,84644.1560067859,0.7680000000000001
DE,2050,max-electron,decline-1pct,33544.57058058379,243855.77296834587,33544.57058058379,210311.20238776208,451270.7709526352,85741.44648100069,0.8
DK,2025,max-electron,decline-1pct,54938.150519914205,54938.150519914205,54938.150519914205,0.0,0.0,0.0,0.0
DK,2026,max-electron,decline-1pct,51212.03569240294,54388.769014715064,51212.03569240294,3176.733322312124,6816.407681544106,1295.11745949338,0.032
DK,2027,max-electron,decline-1pct,47485.92086489167,53844.88132456791,47485.92086489167,6358.960459676244,13644.60359940581,2592.4746838871038,0.064
DK,2028,max-electron,decline-1pct,43759.80603738039,53306.43251132224,43759.80603738039,9546.626473941848,20484.469871221954,3892.0492755321716,0.09600000000000002
DK,2029,max-electron,decline-1pct,40033.691209869125,52773.36818620901,40033.691209869125,12739.676976339884,27335.88979345292,5193.819060756055,0.128
DK,2030,max-electron,decline-1pct,36307.57638235786,52245.63450434692,36307.57638235786,15938.05812198906,34198.74782959461,6497.762087622977,0.16
DK,2031,max-electron,decline-1pct,34167.91780655997,51723.178159303454,34167.91780655997,17555.260352743484,37668.82497799733,7157.076745819492,0.19200000000000003
DK,2032,max-electron,decline-1pct,32028.259230762087,51205.94637771041,32028.259230762087,19177.687146948323,41150.11262184389,7818.521398150338,0.22400000000000003
DK,2033,max-electron,decline-1pct,29888.600654964208,50693.88691393331,29888.600654964208,20805.286258969103,44642.49865617994,8482.074744674188,0.256
DK,2034,max-electron,decline-1pct,27748.942079166325,50186.94804479398,27748.942079166325,22438.005965627653,48145.872097100546,9147.715698449103,0.28800000000000003
DK,2035,max-electron,decline-1pct,25609.28350336844,49685.07856434603,25609.28350336844,24075.795060977594,51660.12307053986,9815.423383402574,0.32
DK,2036,max-electron,decline-1pct,23469.624927570552,49188.227778702574,23469.624927570552,25718.602851132022,55185.14280117273,10485.17713222282,0.35200000000000004
DK,2037,max-electron,decline-1pct,21329.966351772673,48696.34550091555,21329.966351772673,27366.37914914288,58720.82360142718,11156.956484271164,0.38400000000000006
DK,2038,max-electron,decline-1pct,19190.307775974783,48209.382045906386,19190.307775974783,29019.074269931603,62267.05886060701,11830.741183515333,0.41600000000000004
DK,2039,max-electron,decline-1pct,17050.649200176904,47727.28822544733,17050.649200176904,30676.639025270426,65823.74303412298,12506.511176483365,0.44800000000000006
