country,year,refinery_scenario,demand_scenario,marine_fossil_proxy_t_per_yr,marine_total_t_per_yr,marine_fossil_used_t_per_yr,marine_methanol_eq_t_per_yr,methanol_t_per_yr,h2_for_methanol_t_per_yr,methanol_share
AT,2025,max-electron,growth-3pct,7051.047385525082,7051.047385525082,7051.047385525082,0.0,0.0,0.0,0.0
AT,2026,max-electron,growth-3pct,6572.818468751375,7262.578807090835,6572.818468751375,689.7603383394598,1480.0385149293938,281.2073178365848,0.032
AT,2027,max-electron,growth-3pct,6094.589551977664,7480.456171303559,6094.589551977664,1385.866619325895,2973.6937007646093,565.0018031452757,0.064
AT,2028,max-electron,growth-3pct,5616.360635203953,7704.869856442667,5616.360635203953,2088.5092212387135,4481.374057632817,851.4610709502354,0.09600000000000002
AT,2029,max-electron,growth-3pct,5138.131718430245,7936.015952135947,5138.131718430245,2797.884233705702,6003.500340664999,1140.6650647263498,0.128
AT,2030,max-electron,growth-3pct,4659.902801656534,8174.096430700025,4659.902801656534,3514.1936290434905,7540.505927646083,1432.696126252756,0.16
AT,2031,max-electron,growth-3pct,4385.287914478502,8419.319323621026,4385.287914478502,4034.0314091425244,8655.936742230442,1644.627981023784,0.19200000000000003
AT,2032,max-electron,growth-3pct,4110.6730273004705,8671.898903329658,4110.6730273004705,4561.225876029188,9787.153010374188,1859.5590719710958,0.22400000000000003
AT,2033,max-electron,growth-3pct,3836.058140122439,8932.055870429547,3836.058140122439,5095.997730307108,10934.628295684097,2077.579376179978,0.256
AT,2034,max-electron,growth-3pct,3561.4432529444066,9200.017546542435,3561.4432529444066,5638.574293598028,12098.850368675166,2298.7815700482815,0.28800000000000003
AT,2035,max-electron,growth-3pct,3286.8283657663737,9476.018072938707,3286.8283657663737,6189.189707172332,13280.321632977819,2523.2611102657856,0.32
AT,2036,max-electron,growth-3pct,3012.213478588342,9760.298615126869,3012.213478588342,6748.085136538527,14479.559564331412,2751.116317222968,0.35200000000000004
AT,2037,max-electron,growth-3pct,2737.59859141031,10053.107573580675,2737.59859141031,7315.508982170366,15697.097162747468,2982.448460922019,0.38400000000000006
AT,2038,max-electron,growth-3pct,2462.9837042322774,10354.700800788096,2462.9837042322774,7891.717096555818,16933.48341823786,3217.3618494651937,0.41600000000000004
