country,year,refinery_scenario,demand_scenario,marine_fossil_proxy_t_per_yr,marine_total_t_per_yr,marine_fossil_used_t_per_yr,marine_methanol_eq_t_per_yr,methanol_t_per_yr,h2_for_methanol_t_per_yr,methanol_share
AT,2025,more-molecule,constant-demand,7065.297852808437,7065.297852808437,7065.297852808437,0.0,0.0,0.0,0.0
AT,2026,more-molecule,constant-demand,6601.319403318081,7065.297852808437,6601.319403318081,463.97844949035607,995.5718489064425,189.15865129222408,0.032
AT,2027,more-molecule,constant-demand,6137.340953827723,7065.297852808437,6137.340953827723,927.956898980714,1991.1436978128888,378.3173025844489,0.064
AT,2028,more-molecule,constant-demand,5673.362504337366,7065.297852808437,5673.362504337366,1391.935348471071,2986.7155467193334,567.4759538766733,0.09600000000000002
AT,2029,more-molecule,constant-demand,5209.384054847011,7065.297852808437,5209.384054847011,1855.913797961426,3982.2873956257736,756.634605168897,0.128
AT,2030,more-molecule,constant-demand,4745.405605356654,7065.297852808437,4745.405605356654,2319.892247451783,4977.859244532218,945.7932564611215,0.16
AT,2031,more-molecule,constant-demand,4466.968239895558,7065.297852808437,4466.968239895558,2598.3296129128785,5575.310274943714,1059.3089522393057,0.19200000000000003
AT,2032,more-molecule,constant-demand,4188.530874434461,7065.297852808437,4188.530874434461,2876.7669783739757,6172.761305355214,1172.8246480174907,0.22400000000000003
AT,2033,more-molecule,constant-demand,3910.093508973365,7065.297852808437,3910.093508973365,3155.204343835072,6770.212335766712,1286.3403437956754,0.256
AT,2034,more-molecule,constant-demand,3631.6561435122685,7065.297852808437,3631.6561435122685,3433.6417092961683,7367.663366178211,1399.85603957386,0.28800000000000003
AT,2035,more-molecule,constant-demand,3353.218778051172,7065.297852808437,3353.218778051172,3712.0790747572646,7965.114396589709,1513.3717353520447,0.32
AT,2036,more-molecule,constant-demand,3074.781412590077,7065.297852808437,3074.781412590077,3990.51644021836,8562.565427001206,1626.887431130229,0.35200000000000004
AT,2037,more-molecule,constant-demand,2796.34404712898,7065.297852808437,2796.34404712898,4268.953805679457,9160.016457412705,1740.403126908414,0.38400000000000006
AT,2038,more-molecule,constant-demand,2517.9066816678837,7065.297852808437,2517.9066816678837,4547.391171140553,9757.4674878242,1853.918822686598,0.41600000000000004
AT,2039,more-molecule,constant-demand,2239.469316206787,7065.297852808437,2239.469316206787,4825.82853660165,10354.918518235701,1967.4345184647832,0.44800000000000006
AT,2040,more-molecule,constant-demand,1961.0319507456916,7065.297852808437,1961.0319507456916,5104.265902062745,10952.369548647197,2080.9502142429674,0.48
AT,2041,more-molecule,constant-demand,1831.067689121509,7065.297852808437,1831.067689121509,5234.230163686928,11231.237587408634,2133.9351416076406,0.512
AT,2042,more-molecule,constant-demand,1701.1034274973272,7065.297852808437,1701.1034274973272,5364.19442531111,11510.10562617007,2186.9200689723134,0.544
AT,2043,more-molecule,constant-demand,1571.1391658731445,7065.297852808437,1571.1391658731445,5494.158686935292,11788.973664931507,2239.904996336986,0.5760000000000001
AT,2044,more-molecule,constant-demand,1441.174904248962,7065.297852808437,1441.174904248962,5624.122948559475,12067.841703692944,2292.8899237016594,0.6080000000000001
AT,2045,more-molecule,constant-demand,1311.21064262478,7065.297852808437,1311.21064262478,5754.087210183657,12346.709742454379,2345.874851066332,0.64
AT,2046,more-molecule,constant-demand,1181.2463810005972,7065.297852808437,1181.2463810005972,5884.051471807839,12625.577781215816,2398.859778431005,0.672
AT,2047,more-molecule,constant-demand,1051.2821193764155,7065.297852808437,1051.2821193764155,6014.015733432021,12904.445819977253,2451.8447057956782,0.7040000000000001
AT,2048,more-molecule,constant-demand,921.317857752233,7065.297852808437,921.317857752233,6143.979995056204,13183.31385873869,2504.829633160351,0.7360000000000001
AT,2049,more-molecule,constant-demand,791.3535961280509,7065.297852808437,791.3535961280509,6273.944256680386,13462.181897500126,2557.814560525024,0.7680000000000001
AT,2050,more-molecule,constant-demand,661.3893345038687,7065.297852808437,661.3893345038687,6403.908518304568,13741.049936261561,2610.7994878896966,0.8
BE,2025,more-molecule,constant-demand,70071.88273386551,70071.88273386551,70071.88273386551,0.0,0.0,0.0,0.0
BE,2026,more-molecule,constant-demand,65470.25882769069,70071.88273386551,65470.25882769069,4601.62390617482,9873.836220787178,1876.0288819495638,0.032
BE,2027,more-molecule,constant-demand,60868.634921515855,70071.88273386551,60868.634921515855,9203.247812349655,19747.672441574385,3752.057763899133,0.064
BE,2028,more-molecule,constant-demand,56267.01101534101,70071.88273386551,56267.01101534101,13804.871718524497,29621.508662361608,5628.086645848705,0.09600000000000002
BE,2029,more-molecule,constant-demand,51665.387109166186,70071.88273386551,51665.387109166186,18406.495624699324,39495.344883148806,7504.115527798273,0.128
BE,2030,more-molecule,constant-demand,47063.76320299135,70071.88273386551,47063.76320299135,23008.11953087416,49369.18110393601,9380.144409747842,0.16
BE,2031,more-molecule,constant-demand,44302.29003826682,70071.88273386551,44302.29003826682,25769.592695598687,55294.55317095799,10505.965102482018,0.19200000000000003
BE,2032,more-molecule,constant-demand,41540.81687354228,70071.88273386551,41540.81687354228,28531.06586032323,61219.925237979995,11631.7857952162,0.22400000000000003
BE,2033,more-molecule,constant-demand,38779.34370881774,70071.88273386551,38779.34370881774,31292.539025047772,67145.29730500201,12757.606487950381,0.256
BE,2034,more-molecule,constant-demand,36017.8705440932,70071.88273386551,36017.8705440932,34054.01218977231,73070.669372024,13883.42718068456,0.28800000000000003
BE,2035,more-molecule,constant-demand,33256.39737936867,70071.88273386551,33256.39737936867,36815.48535449684,78996.04143904599,15009.247873418739,0.32
BE,2036,more-molecule,constant-demand,30494.924214644132,70071.88273386551,30494.924214644132,39576.95851922138,84921.41350606798,16135.068566152917,0.35200000000000004
BE,2037,more-molecule,constant-demand,27733.451049919597,70071.88273386551,27733.451049919597,42338.43168394591,90846.78557308998,17260.889258887095,0.38400000000000006
BE,2038,more-molecule,constant-demand,24971.977885195054,70071.88273386551,24971.977885195054,45099.904848670456,96772.15764011198,18386.709951621277,0.41600000000000004
BE,2039,more-molecule,constant-demand,22210.504720470515,70071.88273386551,22210.504720470515,47861.37801339499,102697.52970713397,19512.530644355455,0.44800000000000006
BE,2040,more-molecule,constant-demand,19449.03155574598,70071.88273386551,19449.03155574598,50622.85117811953,108622.90177415598,20638.351337089636,0.48
BE,2041,more-molecule,constant-demand,18160.078040997385,70071.88273386551,18160.078040997385,51911.80469286813,111388.64625052609,21163.842787599955,0.512
BE,2042,more-molecule,constant-demand,16871.124526248797,70071.88273386551,16871.124526248797,53200.75820761672,114154.39072689618,21689.334238110274,0.544
BE,2043,more-molecule,constant-demand,15582.1710115002,70071.88273386551,15582.1710115002,54489.71172236531,116920.13520326627,22214.825688620593,0.5760000000000001
BE,2044,more-molecule,constant-demand,14293.217496751611,70071.88273386551,14293.217496751611,55778.6652371139,119685.87967963636,22740.317139130908,0.6080000000000001
BE,2045,more-molecule,constant-demand,13004.263982003018,70071.88273386551,13004.263982003018,57067.618751862494,122451.62415600647,23265.80858964123,0.64
BE,2046,more-molecule,constant-demand,11715.310467254425,70071.88273386551,11715.310467254425,58356.57226661108,125217.36863237654,23791.300040151542,0.672
BE,2047,more-molecule,constant-demand,10426.356952505834,70071.88273386551,10426.356952505834,59645.525781359676,127983.11310874665,24316.791490661864,0.7040000000000001
BE,2048,more-molecule,constant-demand,9137.40343775724,70071.88273386551,9137.40343775724,60934.47929610827,130748.85758511674,24842.28294117218,0.7360000000000001
BE,2049,more-molecule,constant-demand,7848.4499230086485,70071.88273386551,7848.4499230086485,62223.43281085686,133514.60206148683,25367.7743916825,0.7680000000000001
BE,2050,more-molecule,constant-demand,6559.496408260056,70071.88273386551,6559.496408260056,63512.386325605454,136280.34653785694,25893.265842192817,0.8
BG,2025,more-molecule,constant-demand,9844.36986663091,9844.36986663091,9844.36986663091,0.0,0.0,0.0,0.0
BG,2026,more-molecule,constant-demand,9197.889624454938,9844.36986663091,9197.889624454938,646.4802421759723,1387.1711729102522,263.5625228529479,0.032
