country,year,refinery_scenario,demand_scenario,marine_fossil_proxy_t_per_yr,marine_total_t_per_yr,marine_fossil_used_t_per_yr,marine_methanol_eq_t_per_yr,methanol_t_per_yr,h2_for_methanol_t_per_yr,methanol_share
AT,2025,more-molecule,decline-1pct,7065.297852808437,7065.297852808437,7065.297852808437,0.0,0.0,0.0,0.0
AT,2026,more-molecule,decline-1pct,6601.319403318081,6994.644874280352,6601.319403318081,393.32547096227154,843.9697291502008,160.35424853853814,0.032
AT,2027,more-molecule,decline-1pct,6137.340953827723,6924.698425537549,6137.340953827723,787.3574717098263,1689.455479497969,320.9965411046141,0.064
AT,2028,more-molecule,decline-1pct,5673.362504337366,6855.451441282174,5673.362504337366,1182.0889369448078,2536.4420908313214,481.92399725795104,0.09600000000000002
AT,2029,more-molecule,decline-1pct,5209.384054847011,6786.896926869351,5209.384054847011,1577.5128720223402,3384.9145545403985,643.1337653626757,0.128
AT,2030,more-molecule,decline-1pct,4745.405605356654,6719.027957600658,4745.405605356654,1973.622352244004,4234.858012101457,804.6230222992767,0.16
AT,2031,more-molecule,decline-1pct,4466.968239895558,6651.837678024652,4466.968239895558,2184.8694381290934,4688.13693508102,890.7460176653938,0.19200000000000003
AT,2032,more-molecule,decline-1pct,4188.530874434461,6585.319301244404,4188.530874434461,2396.7884268099433,5142.857579134904,977.1429400356318,0.22400000000000003
AT,2033,more-molecule,decline-1pct,3910.093508973365,6519.466108231961,3910.093508973365,2609.372599258596,5599.005527052364,1063.8110501399492,0.256
AT,2034,more-molecule,decline-1pct,3631.6561435122685,6454.271447149641,3631.6561435122685,2822.6153036373726,6056.566505794764,1150.7476361010054,0.28800000000000003
AT,2035,more-molecule,decline-1pct,3353.218778051172,6389.728732678144,3353.218778051172,3036.509954626972,6515.526385053855,1237.9500131602324,0.32
AT,2036,more-molecule,decline-1pct,3074.781412590077,6325.831445351363,3074.781412590077,3251.0500327612863,6975.871175824469,1325.415523406649,0.35200000000000004
AT,2037,more-molecule,decline-1pct,2796.34404712898,6262.573130897849,2796.34404712898,3466.2290837688693,7437.587028991494,1413.1415355083839,0.38400000000000006
AT,2038,more-molecule,decline-1pct,2517.9066816678837,6199.94739958887,2517.9066816678837,3682.0407179209865,7900.660233930961,1501.1254444468827,0.41600000000000004
AT,2039,more-molecule,decline-1pct,2239.469316206787,6137.947925592982,2239.469316206787,3898.478609386195,8365.077217125152,1589.3646712537789,0.44800000000000006
AT,2040,more-molecule,decline-1pct,1961.0319507456916,6076.568446337053,1961.0319507456916,4115.536495591361,8830.824540791513,1677.8566627503874,0.48
