country,year,refinery_scenario,demand_scenario,marine_fossil_proxy_t_per_yr,marine_total_t_per_yr,marine_fossil_used_t_per_yr,marine_methanol_eq_t_per_yr,methanol_t_per_yr,h2_for_methanol_t_per_yr,methanol_share
AT,2025,more-molecule,growth-3pct,7065.297852808437,7065.297852808437,7065.297852808437,0.0,0.0,0.0,0.0
AT,2026,more-molecule,growth-3pct,6601.319403318081,7277.25678839269,6601.319403318081,675.9373850746097,1450.3782081751676,275.57185955328185,0.032
AT,2027,more-molecule,growth-3pct,6137.340953827723,7495.57449204447,6137.340953827723,1358.2335382167475,2914.400607128398,553.7361153543956,0.064
AT,2028,more-molecule,growth-3pct,5673.362504337366,7720.441726805805,5673.362504337366,2047.0792224684392,4392.476522583033,834.5705392907763,0.09600000000000002
AT,2029,more-molecule,growth-3pct,5209.384054847011,7952.05497860998,5209.384054847011,2742.6709237629693,5885.02756003411,1118.155236406481,0.128
AT,2030,more-molecule,growth-3pct,4745.405605356654,8190.616627968278,4745.405605356654,3445.2110226116247,7392.487973141527,1404.5727148968901,0.16
AT,2031,more-molecule,growth-3pct,4466.968239895558,8436.335126807327,4466.968239895558,3969.366886911769,8517.184224680028,1618.2650026892054,0.19200000000000003
AT,2032,more-molecule,growth-3pct,4188.530874434461,8689.425180611548,4188.530874434461,4500.894306177087,9657.697832852342,1834.962588241945,0.22400000000000003
AT,2033,more-molecule,growth-3pct,3910.093508973365,8950.107936029895,3910.093508973365,5040.014427056531,10814.503318357481,2054.7556304879213,0.256
AT,2034,more-molecule,growth-3pct,3631.6561435122685,9218.611174110792,3631.6561435122685,5586.955030598524,11988.089437515426,2277.736993127931,0.28800000000000003
AT,2035,more-molecule,growth-3pct,3353.218778051172,9495.169509334115,3353.218778051172,6141.950731282943,13178.959609335761,2504.002325773795,0.32
AT,2036,more-molecule,growth-3pct,3074.781412590077,9780.024594614139,3074.781412590077,6705.243182024062,14387.632355398364,2733.650147525689,0.35200000000000004
AT,2037,more-molecule,growth-3pct,2796.34404712898,10073.425332452563,2796.34404712898,7277.081285323584,15614.641752930505,2966.781933056796,0.38400000000000006
AT,2038,more-molecule,growth-3pct,2517.9066816678837,10375.628092426141,2517.9066816678837,7857.721410758257,16860.53790147626,3203.5022012804893,0.41600000000000004
AT,2039,more-molecule,growth-3pct,2239.469316206787,10686.896935198927,2239.469316206787,8447.42761899214,18125.887403566052,3443.91860667755,0.44800000000000006
AT,2040,more-molecule,growth-3pct,1961.0319507456916,11007.503843254894,1961.0319507456916,9046.471892509202,19411.273859806177,3688.1420333631736,0.48
AT,2041,more-molecule,growth-3pct,1831.067689121509,11337.728958552541,1831.067689121509,9506.661269431032,20398.71538717111,3875.755923562511,0.512
AT,2042,more-molecule,growth-3pct,1701.1034274973272,11677.860827309116,1701.1034274973272,9976.757399811788,21407.414119194138,4067.408682646886,0.544
AT,2043,more-molecule,growth-3pct,1571.1391658731445,12028.196652128392,1571.1391658731445,10457.057486255248,22438.00777201503,4263.221476682856,0.5760000000000001
