country,scenario,year,naphta_total,naphta_domestic,naphta_imported,electricity_demand_from_naphta,ch4_demand_from_naphta,h2_demand_from_naphta,demand_factor,import_share
AT,import-eu-naphta,2019,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2020,10428290.544999998,10428290.544999998,0.0,611723.5233696998,166018.38547639997,93228.91747229999,0.985,0.0
AT,import-eu-naphta,2021,10271866.186824998,10169147.524956748,102718.66186825,596522.1938139627,161892.82859731143,90912.17887311333,0.970225,0.010000000000000002
AT,import-eu-naphta,2022,10117788.194022624,9916444.208961572,201343.98506105132,581698.6172976858,157869.79180666825,88653.01122811646,0.955671625,0.01990000000000011
AT,import-eu-naphta,2023,9966021.371112283,9670020.570368879,296000.8007434048,567243.4066578384,153946.72748027256,86449.98389909777,0.941336550625,0.029700999999999884
AT,import-eu-naphta,2024,9816531.0505456,9429720.559195211,386810.49135038815,553147.4080023911,150121.15130238776,84301.70179920518,0.927216502365625,0.039403989999999986
AT,import-eu-naphta,2025,9669283.084787415,9195392.003299208,473891.081488207,539401.6949135315,146390.6406925234,82206.80450949492,0.9133082548301407,0.04900995010000017
AT,import-eu-naphta,2026,9524243.838515604,8966886.512017224,557357.3264983799,525997.5627949303,142752.83327131422,80163.96541743398,0.8996086310076885,0.058519850599000056
AT,import-eu-naphta,2027,9381380.180937871,8744059.382193597,637320.7987442743,512926.52335947636,139205.42536452206,78171.89087681076,0.8861145015425732,0.06793465209301008
AT,import-eu-naphta,2028,9240659.478223803,8526769.506546086,713889.9716777168,500180.2992539934,135746.17054421367,76229.31938852201,0.8728227840194346,0.07725530557207996
AT,import-eu-naphta,2029,9102049.586050445,8314879.284308415,787170.3017420303,487750.8188175316,132372.87820618995,74335.02080171723,0.8597304422591431,0.0864827525163592
AT,import-eu-naphta,2030,8965518.842259688,6486603.627274681,2478915.2149850074,380504.16877593275,103266.72974621292,57990.23642783565,0.8468344856252559,0.2764943399929564
AT,import-eu-naphta,2031,8831036.059625791,6325411.527136903,2505624.532488888,371048.6401818507,100700.5515120195,56549.17905260392,0.834131968340877,0.28372939659302693
AT,import-eu-naphta,2032,8698570.518731406,6168225.050687553,2530345.4680438526,361828.08147333184,98198.14280694585,55143.931953146726,0.8216199888157638,0.2908921026270965
AT,import-eu-naphta,2033,8568091.960950434,6014944.658177966,2553147.302772468,352836.6536487195,95757.91895819323,53773.605244111015,0.8092956889835273,0.2979831816008257
AT,import-eu-naphta,2034,8439570.581536178,5865473.283422244,2574097.2981139338,344068.6628055488,93378.33467208213,52437.33115379486,0.7971562536487744,0.3050033497848174
AT,import-eu-naphta,2035,8312977.022813134,5004751.7382880505,3308225.2845250834,293578.736967977,79675.64767354577,44742.480540295175,0.7851989098440427,0.3979591517510981
AT,import-eu-naphta,2036,8188282.367470936,4880383.657591592,3307898.7098793443,286283.3053543228,77695.70782885814,43630.62989886883,0.773420926196382,0.4039795602335871
AT,import-eu-naphta,2037,8065458.131958872,4759106.12370044,3306352.008258432,279169.1652162678,75764.969489311,42546.408745881934,0.7618196123034363,0.40993976463125137
AT,import-eu-naphta,2038,7944476.259979489,4640842.336526484,3303633.923453005,272231.81146064354,73882.20999750163,41489.13048854677,0.7503923181188847,0.4158403669849388
