country,scenario,year,naphta_total,naphta_domestic,naphta_imported,electricity_demand_from_naphta,ch4_demand_from_naphta,h2_demand_from_naphta,demand_factor,import_share
AT,intermediary-eu-naphta,2019,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,intermediary-eu-naphta,2020,10544748.611999998,10544748.611999998,0.0,618554.9535799199,167872.39790303996,94270.05259127998,0.996,0.0
AT,intermediary-eu-naphta,2021,10502569.617552,10450056.76946424,52512.84808775969,613000.3300967723,166364.9037698707,93423.5075190103,0.992016,0.004999999999999971
AT,intermediary-eu-naphta,2022,10460559.33908179,10356215.25967445,104344.07940733992,607495.5871325033,164870.94693401727,92584.56442148959,0.988047936,0.00997499999999991
AT,intermediary-eu-naphta,2023,10418717.101725463,10263216.446642572,155500.65508289076,602040.2767600532,163390.40583054975,91753.15503298459,0.984095744256,0.01492512500000005
AT,intermediary-eu-naphta,2024,10377042.23331856,10171052.76295172,205989.47036683932,596633.9550747479,161923.1599861914,90929.21170078838,0.980159361278976,0.019850499375000063
AT,intermediary-eu-naphta,2025,10335534.064385286,10079716.709140414,255817.35524487123,591276.1821581767,160469.0900095154,90112.6673797153,0.97623872383386,0.024751246878125032
AT,intermediary-eu-naphta,2026,10294191.928127745,9989200.853092335,304991.07503541,585966.5220423964,159028.07758122997,89303.45562664547,0.9723337689385245,0.02962749064373431
AT,intermediary-eu-naphta,2027,10253015.160415234,9899497.829431565,353517.33098366857,580704.5426744556,157600.00544455054,88501.51059511819,0.9684444338627705,0.03447935319051567
AT,intermediary-eu-naphta,2028,10212003.099773573,9810600.33892327,401402.7608503029,575489.815881239,156184.75739565847,87706.76702997403,0.9645706561273194,0.039306956424563076
AT,intermediary-eu-naphta,2029,10171155.087374479,9722501.147879738,448653.9394947402,570321.9173346254,154782.21827424545,86919.16026204487,0.9607123735028101,0.04411042164244033
AT,intermediary-eu-naphta,2030,9117423.420322483,8671673.7788146,445749.6415078826,508680.3838652645,138053.04655872844,77524.76358260254,0.861182571607919,0.04888986953422818
AT,intermediary-eu-naphta,2031,8935074.951916033,8455749.101722118,479325.8501939159,496014.24230701936,134615.52569941612,75594.39696939573,0.8439589201757606,0.053645420186556964
AT,intermediary-eu-naphta,2032,8756373.452877712,8245200.949089235,511172.5037884768,483663.4876735745,131263.59910950062,73712.09648485776,0.8270797417722453,0.058377193085624286
AT,intermediary-eu-naphta,2033,8581245.983820157,8039895.445456913,541350.5383632444,471620.2668305025,127995.13549167405,71876.6652823848,0.8105381469368004,0.06308530712019615
AT,intermediary-eu-naphta,2034,8409621.064143755,7839702.048865037,569919.0152787175,459876.92218642303,124808.05661793139,70086.93631685343,0.7943273839980644,0.06776988058459506
AT,intermediary-eu-naphta,2035,8241428.642860878,7644493.467848296,596935.175012582,448425.98682398105,121700.33600814488,68341.77160256376,0.778440836318103,0.07243103118167211
AT,intermediary-eu-naphta,2036,7994185.7835750505,7378082.870493781,616102.9130812697,432798.34118316515,117459.07929826099,65960.0608622144,0.7550876112285598,0.07706887602576389
AT,intermediary-eu-naphta,2037,7754360.210067799,7120956.682457074,633403.5276107257,417715.3189929319,113365.63038471661,63661.352741166236,0.7324349828917031,0.08168353164563497
AT,intermediary-eu-naphta,2038,7521729.403765765,6872791.342073444,648938.0616923207,403157.9401260282,109414.83816580924,61442.75459813659,0.7104619334049519,0.0862751139874068
AT,intermediary-eu-naphta,2039,7296077.521652793,6633274.563802185,662802.957850608,389107.8859126361,105601.73105573078,59301.47460039153,0.6891480754028034,0.09084373841746986
AT,intermediary-eu-naphta,2040,6290840.174225074,5690759.951336603,600080.2228884716,333819.9787454051,90596.89842527872,50875.39396494923,0.5941987850139727,0.09538951972538252
AT,intermediary-eu-naphta,2041,6102114.968998322,5492436.967032523,609678.0019657994,322186.35248612775,87439.59651515777,49102.386485270756,0.5763728214635535,0.09991257212675551
AT,intermediary-eu-naphta,2042,5919051.5199283715,5301025.538731438,618025.9811969334,310958.15810198616,84392.3265766045,47391.168316259056,0.5590816368196468,0.1044130092661218
AT,intermediary-eu-naphta,2043,5741479.97433052,5116284.798706648,625195.1756238723,300121.266292132,81451.25399540983,45739.58610043743,0.5423091877150574,0.1088909442197911
AT,intermediary-eu-naphta,2044,5569235.575100604,4937982.2734717205,631253.3016288839,289662.0401618511,78612.67779366979,44145.56152483718,0.5260399120836057,0.11334648949869225
AT,intermediary-eu-naphta,2045,5402158.507847587,4765893.591241231,636264.9166063555,279567.31806221063,75873.0259725604,42607.08870569661,0.5102587147210975,0.11777975705119881
AT,intermediary-eu-naphta,2046,5213082.960072921,4576091.878970049,636991.0811028713,268433.54962038307,72851.38271320319,40910.26139799224,0.4923996597058591,0.12219085826594271
AT,intermediary-eu-naphta,2047,5030625.056470369,4393849.019890067,636776.0365803018,257743.18350675132,69950.07639664986,39281.0102378172,0.4751656716161541,0.12657990397461308
AT,intermediary-eu-naphta,2048,4854553.179493906,4218863.982672946,635689.1968209604,247478.56122359497,67164.31460415329,37716.64400509613,0.4585348731095887,0.13094700445473992
AT,intermediary-eu-naphta,2049,4684643.81821162,4050847.7245629956,633796.0936486241,237622.72752286532,64489.49577504289,36214.57865759318,0.4424861525507531,0.1352922694324663
AT,intermediary-eu-naphta,2050,4520681.2845742125,3889522.713932274,631158.5706419386,228159.4023992672,61921.2016058018,34772.33306255453,0.4269991372114767,0.13961580808530397
BE,intermediary-eu-naphta,2019,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
