country,year,olefins_proxy_refinery_t_per_yr,olefins_refinery_t_per_yr,olefins_total_t_per_yr,olefins_nonrefinery_t_per_yr,olefins_e_t_per_yr,olefins_bio_e_t_per_yr,olefins_bio_t_per_yr,h2_refinery_t_per_yr,h2_nonrefinery_t_per_yr,h2_total_t_per_yr,refinery_scenario,demand_scenario
AT,2025,484.2644087996007,484.2644087996007,484.2644087996007,0.0,0.0,0.0,0.0,24.213220439980034,0.0,24.213220439980034,max-electron,constant-demand
AT,2026,440.9262230025792,440.9262230025792,484.2644087996007,43.33818579702148,30.336730057915034,4.3338185797021485,8.667637159404297,22.04631115012896,14.859797146082723,36.906108296211684,max-electron,constant-demand
AT,2027,397.58803720555755,397.58803720555755,484.2644087996007,86.67637159404313,60.67346011583019,8.667637159404313,17.335274318808626,19.87940186027788,29.719594292165507,49.59899615244339,max-electron,constant-demand
AT,2028,354.24985140853596,354.24985140853596,484.2644087996007,130.01455739106473,91.0101901737453,13.001455739106474,26.002911478212948,17.7124925704268,44.57939143824827,62.29188400867507,max-electron,constant-demand
AT,2029,310.9116656115145,310.9116656115145,484.2644087996007,173.3527431880862,121.34692023166033,17.335274318808622,34.670548637617244,15.545583280575725,59.43918858433099,74.98477186490672,max-electron,constant-demand
AT,2030,267.5734798144928,267.5734798144928,484.2644087996007,216.69092898510786,151.6836502895755,21.669092898510787,43.33818579702157,13.378673990724643,74.29898573041378,87.67765972113841,max-electron,constant-demand
AT,2031,264.95809993660686,264.95809993660686,484.2644087996007,219.30630886299383,153.51441620409568,21.930630886299383,43.861261772598766,13.247904996830343,75.19574718294332,88.44365217977366,max-electron,constant-demand
AT,2032,262.34272005872083,262.34272005872083,484.2644087996007,221.92168874087986,155.3451821186159,22.192168874087987,44.38433774817597,13.117136002936043,76.09250863547288,89.20964463840892,max-electron,constant-demand
AT,2033,259.7273401808348,259.7273401808348,484.2644087996007,224.5370686187659,157.1759480331361,22.45370686187659,44.90741372375318,12.986367009041741,76.98927008800244,89.97563709704418,max-electron,constant-demand
AT,2034,257.1119603029488,257.1119603029488,484.2644087996007,227.1524484966519,159.00671394765632,22.715244849665194,45.43048969933039,12.85559801514744,77.886031540532,90.74162955567944,max-electron,constant-demand
AT,2035,254.49658042506277,254.49658042506277,484.2644087996007,229.7678283745379,160.83747986217654,22.976782837453793,45.95356567490759,12.72482902125314,78.78279299306155,91.50762201431469,max-electron,constant-demand
AT,2036,251.88120054717675,251.88120054717675,484.2644087996007,232.38320825242394,162.66824577669675,23.238320825242397,46.476641650484794,12.594060027358838,79.67955444559111,92.27361447294994,max-electron,constant-demand
AT,2037,249.2658206692907,249.2658206692907,484.2644087996007,234.99858813031,164.499011691217,23.499858813031,46.999717626062,12.463291033464536,80.5763158981207,93.03960693158524,max-electron,constant-demand
