country,scenario,year,olefins_activity,h2_intensity,h2_demand_t_per_yr,scope
AT,bau-eu,2019,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,bau-eu,2020,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,bau-eu,2021,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,bau-eu,2022,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,bau-eu,2023,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,bau-eu,2024,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,bau-eu,2025,715361.3046799296,0.02,14307.226093598592,petrochem_olefins
AT,bau-eu,2026,674501.3950741455,0.02,13490.02790148291,petrochem_olefins
AT,bau-eu,2027,633641.4854683611,0.02,12672.82970936722,petrochem_olefins
AT,bau-eu,2028,592781.5758625767,0.02,11855.631517251535,petrochem_olefins
AT,bau-eu,2029,551921.6662567924,0.02,11038.433325135848,petrochem_olefins
AT,bau-eu,2030,511061.7566510081,0.02,10221.235133020162,petrochem_olefins
AT,bau-eu,2031,480788.69783939136,0.019950000000000002,9591.734521895858,petrochem_olefins
AT,bau-eu,2032,450515.6390277745,0.0199,8965.261216652712,petrochem_olefins
AT,bau-eu,2033,420242.5802161577,0.01985,8341.81521729073,petrochem_olefins
AT,bau-eu,2034,389969.5214045409,0.0198,7721.396523809911,petrochem_olefins
AT,bau-eu,2035,359696.4625929242,0.01975,7104.005136210253,petrochem_olefins
AT,bau-eu,2036,329423.4037813074,0.0197,6489.641054491755,petrochem_olefins
AT,bau-eu,2037,299150.34496969066,0.019649999999999997,5878.304278654421,petrochem_olefins
AT,bau-eu,2038,268877.28615807387,0.0196,5269.994808698248,petrochem_olefins
AT,bau-eu,2039,238604.22734645705,0.01955,4664.712644623236,petrochem_olefins
AT,bau-eu,2040,208331.16853484028,0.0195,4062.4577864293856,petrochem_olefins
AT,bau-eu,2041,195247.38025685446,0.01945,3797.561545995819,petrochem_olefins
AT,bau-eu,2042,182163.5919788687,0.0194,3533.9736843900528,petrochem_olefins
AT,bau-eu,2043,169079.8037008829,0.019350000000000003,3271.6942016120847,petrochem_olefins
AT,bau-eu,2044,155996.01542289712,0.0193,3010.723097661915,petrochem_olefins
AT,bau-eu,2045,142912.22714491136,0.01925,2751.0603725395436,petrochem_olefins
AT,bau-eu,2046,129828.43886692556,0.0192,2492.7060262449704,petrochem_olefins
AT,bau-eu,2047,116744.65058893978,0.01915,2235.660058778197,petrochem_olefins
AT,bau-eu,2048,103660.86231095396,0.0191,1979.9224701392206,petrochem_olefins
AT,bau-eu,2049,90577.07403296822,0.019049999999999997,1725.4932603280442,petrochem_olefins
AT,bau-eu,2050,77493.28575498245,0.019,1472.3724293446667,petrochem_olefins
BE,bau-eu,2019,4033928.571428571,0.02,80678.57142857142,petrochem_olefins
BE,bau-eu,2020,4033928.571428571,0.02,80678.57142857142,petrochem_olefins
BE,bau-eu,2021,4033928.571428571,0.02,80678.57142857142,petrochem_olefins
BE,bau-eu,2022,4033928.571428571,0.02,80678.57142857142,petrochem_olefins
