country,year,olefins_proxy_refinery_t_per_yr,olefins_refinery_t_per_yr,olefins_total_t_per_yr,olefins_nonrefinery_t_per_yr,olefins_e_t_per_yr,olefins_bio_e_t_per_yr,olefins_bio_t_per_yr,h2_refinery_t_per_yr,h2_nonrefinery_t_per_yr,h2_total_t_per_yr,refinery_scenario,demand_scenario
AT,2025,484.2644087996007,484.2644087996007,484.2644087996007,0.0,0.0,0.0,0.0,24.213220439980034,0.0,24.213220439980034,max-electron,decline-1pct
AT,2026,440.9262230025792,440.9262230025792,479.4217647116047,38.495541709025474,26.94687919631783,3.8495541709025476,7.699108341805095,22.04631115012896,13.199351341190653,35.245662491319614,max-electron,decline-1pct
AT,2027,397.58803720555755,397.58803720555755,474.6275470644886,77.03950985893107,53.927656901251744,7.7039509858931075,15.407901971786215,19.87940186027788,26.415307140430283,46.29470900070817,max-electron,decline-1pct
AT,2028,354.24985140853596,354.24985140853596,469.88127159384373,115.63142018530777,80.94199412971544,11.563142018530778,23.126284037061556,17.7124925704268,39.64770135313833,57.360193923565134,max-electron,decline-1pct
AT,2029,310.9116656115145,310.9116656115145,465.1824588779053,154.2707932663908,107.98955528647355,15.427079326639081,30.854158653278162,15.545583280575725,52.89636959518007,68.44195287575579,max-electron,decline-1pct
AT,2030,267.5734798144928,267.5734798144928,460.5306342891262,192.9571544746334,135.07000813224337,19.29571544746334,38.59143089492668,13.378673990724643,66.1611491262623,79.53982311698695,max-electron,decline-1pct
AT,2031,264.95809993660686,264.95809993660686,455.925327946235,190.96722800962812,133.67705960673968,19.096722800962812,38.193445601925625,13.247904996830343,65.47884313994129,78.72674813677163,max-electron,decline-1pct
AT,2032,262.34272005872083,262.34272005872083,451.3660746667726,189.02335460805176,132.31634822563623,18.902335460805176,37.80467092161035,13.117136002936043,64.81232782800879,77.92946383094483,max-electron,decline-1pct
AT,2033,259.7273401808348,259.7273401808348,446.8524139201049,187.12507373927008,130.98755161748906,18.712507373927007,37.425014747854014,12.986367009041741,64.16144528372092,77.14781229276267,max-electron,decline-1pct
AT,2034,257.1119603029488,257.1119603029488,442.3838897809038,185.27192947795504,129.69035063456852,18.527192947795506,37.05438589559101,12.85559801514744,63.52603917940122,76.38163719454866,max-electron,decline-1pct
AT,2035,254.49658042506277,254.49658042506277,437.96005088309477,183.463470458032,128.42442932062238,18.3463470458032,36.6926940916064,12.72482902125314,62.905954750650004,75.63078377190314,max-electron,decline-1pct
AT,2036,251.88120054717675,251.88120054717675,433.5804503742639,181.69924982708713,127.18947487896098,18.169924982708714,36.33984996541743,12.594060027358838,62.30103878071162,74.89509880807046,max-electron,decline-1pct
AT,2037,249.2658206692907,249.2658206692907,429.2446458705212,179.9788252012305,125.98517764086135,17.997882520123053,35.995765040246106,12.463291033464536,61.71113958499791,74.17443061846245,max-electron,decline-1pct
AT,2038,246.65044079140466,246.65044079140466,424.95219941181597,178.3017586204113,124.8112310342879,17.83017586204113,35.66035172408226,12.332522039570234,61.136106995766625,73.46862903533686,max-electron,decline-1pct
AT,2039,244.0350609135187,244.0350609135187,420.7026774176978,176.66761650417914,123.66733155292539,17.666761650417914,35.33352330083583,12.201753045675936,60.575792346952944,72.77754539262888,max-electron,decline-1pct
AT,2040,241.41968103563264,241.41968103563264,416.49565064352083,175.0759696078882,122.55317872552173,17.50759696078882,35.01519392157764,12.070984051781632,60.0300484591527,72.10103251093433,max-electron,decline-1pct
AT,2041,223.36350072484257,223.36350072484257,412.33069413708563,188.96719341224306,132.27703538857014,18.89671934122431,37.79343868244862,11.168175036242129,64.7930712771899,75.96124631343203,max-electron,decline-1pct
AT,2042,205.30732041405264,205.30732041405264,408.2073871957148,202.90006678166213,142.03004674716348,20.290006678166215,40.58001335633243,10.265366020702633,69.5703748980963,79.83574091879893,max-electron,decline-1pct
AT,2043,187.25114010326257,187.25114010326257,404.1253133237576,216.87417322049504,151.81192125434652,21.687417322049505,43.37483464409901,9.36255700516313,74.36181651384332,83.72437351900645,max-electron,decline-1pct
AT,2044,169.19495979247256,169.19495979247256,400.08406019052006,230.8891003980475,161.62237027863324,23.08891003980475,46.1778200796095,8.459747989623628,79.16725474448252,87.62700273410614,max-electron,decline-1pct
AT,2045,151.13877948168255,151.13877948168255,396.08321958861484,244.9444401069323,171.4611080748526,24.49444401069323,48.98888802138646,7.556938974084128,83.98654962386495,91.54348859794908,max-electron,decline-1pct
