country,year,olefins_proxy_refinery_t_per_yr,olefins_refinery_t_per_yr,olefins_total_t_per_yr,olefins_nonrefinery_t_per_yr,olefins_e_t_per_yr,olefins_bio_e_t_per_yr,olefins_bio_t_per_yr,h2_refinery_t_per_yr,h2_nonrefinery_t_per_yr,h2_total_t_per_yr,refinery_scenario,demand_scenario
AT,2025,484.2644087996007,484.2644087996007,484.2644087996007,0.0,0.0,0.0,0.0,24.213220439980034,0.0,24.213220439980034,max-electron,growth-3pct
AT,2026,440.9262230025792,440.9262230025792,498.7923410635887,57.8661180610095,40.50628264270665,5.78661180610095,11.5732236122019,22.04631115012896,19.841134560758938,41.8874457108879,max-electron,growth-3pct
AT,2027,397.58803720555755,397.58803720555755,513.7561112954963,116.16807408993878,81.31765186295715,11.616807408993878,23.233614817987757,19.87940186027788,39.83170924395821,59.71111110423609,max-electron,growth-3pct
AT,2028,354.24985140853596,354.24985140853596,529.1687946343612,174.91894322582527,122.44326025807769,17.491894322582528,34.983788645165056,17.7124925704268,59.97620725327097,77.68869982369777,max-electron,growth-3pct
AT,2029,310.9116656115145,310.9116656115145,545.0438584733922,234.13219286187774,163.8925350033144,23.413219286187775,46.82643857237555,15.545583280575725,80.27924628848064,95.82482956905636,max-electron,growth-3pct
AT,2030,267.5734798144928,267.5734798144928,561.3951742275939,293.82169441310106,205.67518608917072,29.382169441310108,58.764338882620216,13.378673990724643,100.74558258036409,114.12425657108872,max-electron,growth-3pct
AT,2031,264.95809993660686,264.95809993660686,578.2370294544218,313.2789295178149,219.2952506624704,31.327892951781493,62.655785903562986,13.247904996830343,107.41707935306836,120.6649843498987,max-electron,growth-3pct
AT,2032,262.34272005872083,262.34272005872083,595.5841403380545,333.2414202793336,233.2689941955335,33.32414202793336,66.64828405586672,13.117136002936043,114.2618181853779,127.37895418831394,max-electron,growth-3pct
AT,2033,259.7273401808348,259.7273401808348,613.451664548196,353.72432436736125,247.60702705715286,35.372432436736126,70.74486487347225,12.986367009041741,121.28499633908082,134.27136334812255,max-electron,growth-3pct
AT,2034,257.1119603029488,257.1119603029488,631.855214484642,374.74325418169326,262.32027792718526,37.47432541816933,74.94865083633866,12.85559801514744,128.49196699381898,141.34756500896643,max-electron,growth-3pct
AT,2035,254.49658042506277,254.49658042506277,650.8108709191812,396.3142904941184,277.42000334588283,39.63142904941184,79.26285809882368,12.72482902125314,135.88824392462328,148.6130729458764,max-electron,growth-3pct
AT,2036,251.88120054717675,251.88120054717675,670.3351970467567,418.45399649957994,292.91779754970594,41.845399649958,83.690799299916,12.594060027358838,143.47950631977594,156.07356634713477,max-electron,growth-3pct
AT,2037,249.2658206692907,249.2658206692907,690.4452529581594,441.17943228886867,308.82560260220805,44.11794322888687,88.23588645777374,12.463291033464536,151.27160374320727,163.7348947766718,max-electron,growth-3pct
AT,2038,246.65044079140466,246.65044079140466,711.1586105469042,464.5081697554996,325.1557188288497,46.45081697554996,92.90163395109992,12.332522039570234,159.2705612457657,171.6030832853359,max-electron,growth-3pct
AT,2039,244.0350609135187,244.0350609135187,732.4933688633114,488.4583079497927,341.9208155648549,48.84583079497927,97.69166158995854,12.201753045675936,167.4825846298249,179.68433767550084,max-electron,growth-3pct
AT,2040,241.41968103563264,241.41968103563264,754.4681699292107,513.0484888935781,359.13394222550465,51.304848889357814,102.60969777871563,12.070984051781632,175.91406587183005,187.98504992361168,max-electron,growth-3pct
