country,year,olefins_proxy_refinery_t_per_yr,olefins_refinery_t_per_yr,olefins_total_t_per_yr,olefins_nonrefinery_t_per_yr,olefins_e_t_per_yr,olefins_bio_e_t_per_yr,olefins_bio_t_per_yr,h2_refinery_t_per_yr,h2_nonrefinery_t_per_yr,h2_total_t_per_yr,refinery_scenario,demand_scenario
AT,2025,483.0908409056774,483.0908409056774,483.0908409056774,0.0,0.0,0.0,0.0,24.154542045283872,0.0,24.154542045283872,more-molecule,growth-3pct
AT,2026,438.5790872147327,438.5790872147327,497.58356613284775,59.00447891811507,41.30313524268055,5.900447891811507,11.800895783623014,21.928954360736636,20.231455731443294,42.16041009217993,more-molecule,growth-3pct
AT,2027,394.06733352378785,394.06733352378785,512.5110731168331,118.44373959304528,82.91061771513169,11.844373959304528,23.688747918609057,19.703366676189393,40.61198943166337,60.315356107852764,more-molecule,growth-3pct
AT,2028,349.5555798328431,349.5555798328431,527.8864053103381,178.330825477495,124.8315778342465,17.833082547749502,35.666165095499004,17.477778991642154,61.14607343972349,78.62385243136563,more-molecule,growth-3pct
AT,2029,305.04382614189825,305.04382614189825,543.7229974696484,238.6791713277501,167.07541992942507,23.867917132775013,47.735834265550025,15.252191307094913,81.83831426485895,97.09050557195387,more-molecule,growth-3pct
AT,2030,260.53207245095354,260.53207245095354,560.0346873937377,299.5026149427842,209.6518304599489,29.950261494278422,59.900522988556844,13.026603622547677,102.69345661158182,115.7200602341295,more-molecule,growth-3pct
AT,2031,260.93443858601296,260.93443858601296,576.83572801555,315.90128942953703,221.1309026006759,31.590128942953704,63.18025788590741,13.046721929300649,108.31623411959964,121.36295604890029,more-molecule,growth-3pct
AT,2032,261.3368047210724,261.3368047210724,594.1407998560164,332.80399513494405,232.96279659446083,33.28039951349441,66.56079902698882,13.06684023605362,114.1118338518696,127.17867408792323,more-molecule,growth-3pct
AT,2033,261.7391708561317,261.7391708561317,611.965023851697,350.2258529955653,245.1580970968957,35.02258529955653,70.04517059911306,13.086958542806585,120.08544047511941,133.172399017926,more-molecule,growth-3pct
AT,2034,262.1415369911912,262.1415369911912,630.3239745672479,368.1824375760567,257.7277063032397,36.81824375760567,73.63648751521134,13.10707684955956,126.24239419607832,139.34947104563787,more-molecule,growth-3pct
AT,2035,262.5439031262505,262.5439031262505,649.2336938042654,386.6897906780149,270.6828534746104,38.668979067801494,77.33795813560299,13.127195156312524,132.58819542767773,145.71539058399026,more-molecule,growth-3pct
AT,2036,262.9462692613099,262.9462692613099,668.7107046183933,405.76443535708336,284.03510474995835,40.576443535708336,81.15288707141667,13.147313463065496,139.12850959523672,152.27582305830222,more-molecule,growth-3pct
AT,2037,263.3486353963692,263.3486353963692,688.7720257569451,425.4233903605759,297.7963732524031,42.5423390360576,85.0846780721152,13.167431769818462,145.86917208683423,159.03660385665268,more-molecule,growth-3pct
AT,2038,263.7510015314287,263.7510015314287,709.4351865296535,445.6841849982248,311.97892949875734,44.568418499822485,89.13683699964497,13.187550076571435,152.8161933521913,166.00374342876273,more-molecule,growth-3pct
AT,2039,264.153367666488,264.153367666488,730.7182421255432,466.56487445905515,326.5954121213386,46.65648744590552,93.31297489181104,13.207668383324402,159.97576415452082,173.18343253784522,more-molecule,growth-3pct
AT,2040,264.5557338015475,264.5557338015475,752.6397893893094,488.0840555877619,341.6588389114333,48.808405558776194,97.61681111755239,13.227786690077375,167.35426097993178,180.58204767000916,more-molecule,growth-3pct
AT,2041,243.83387784598895,243.83387784598895,775.2189830709888,531.3851052249998,371.9695736574999,53.138510522499985,106.27702104499997,12.191693892299448,182.20132487954794,194.39301877184738,more-molecule,growth-3pct
AT,2042,223.11202189043053,223.11202189043053,798.4755525631184,575.3635306726878,402.75447147088147,57.536353067268784,115.07270613453757,11.155601094521527,197.2806473970512,208.43624849157274,more-molecule,growth-3pct
AT,2043,202.39016593487202,202.39016593487202,822.4298191400121,620.0396532051401,434.02775724359805,62.00396532051401,124.00793064102803,10.119508296743602,212.59919629097843,222.71870458772202,more-molecule,growth-3pct
AT,2044,181.66830997931353,181.66830997931353,847.1027137142124,665.4344037348989,465.80408261442915,66.54344037348989,133.08688074697977,9.083415498965676,228.1641483526221,237.24756385158778,more-molecule,growth-3pct
AT,2045,160.94645402375508,160.94645402375508,872.5157951256389,711.5693411018838,498.0985387713186,71.15693411018837,142.31386822037675,8.047322701187754,243.9828956770139,252.03021837820165,more-molecule,growth-3pct
AT,2046,140.22459806819663,140.22459806819663,898.6912689794079,758.4666709112113,530.9266696378479,75.84666709112113,151.69333418224227,7.0112299034098315,260.06305212203614,267.074282025446,more-molecule,growth-3pct
AT,2047,119.50274211263816,119.50274211263816,925.6520070487903,806.1492649361521,564.3044854553065,80.61492649361522,161.22985298723043,5.975137105631909,276.41245996130783,282.38759706693975,more-molecule,growth-3pct
AT,2048,98.78088615707966,98.78088615707966,953.421567260254,854.6406811031744,598.248476772222,85.46406811031744,170.92813622063488,4.939044307853983,293.03919673665644,297.9782410445104,more-molecule,growth-3pct
AT,2049,78.05903020152122,78.05903020152122,982.0242142780617,903.9651840765405,632.7756288535783,90.39651840765406,180.7930368153081,3.9029515100760612,309.95158231616415,313.8545338262402,more-molecule,growth-3pct
AT,2050,57.33717424596276,57.33717424596276,1011.4849407064034,954.1477664604407,667.9034365223084,95.41477664604407,190.82955329208815,2.866858712298138,327.15818616395586,330.025044876254,more-molecule,growth-3pct
BE,2025,4791.17589363786,4791.17589363786,4791.17589363786,0.0,0.0,0.0,0.0,239.558794681893,0.0,239.558794681893,more-molecule,growth-3pct
BE,2026,4349.71929125686,4349.71929125686,4934.911170446996,585.1918791901362,409.6343154330953,58.519187919013625,117.03837583802725,217.485964562843,200.65059153671388,418.13655609955686,more-molecule,growth-3pct
