country,base_scenario,tech_scenario,year,coal_share,biomass_share,h2_share,ccs_capture_rate
AT,GA,full-bf-bof-ccus,2019,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2020,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2021,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2022,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2023,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2024,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2025,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2026,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2027,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2028,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2029,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2030,1.0,0.0,0.0,0.0
AT,GA,full-bf-bof-ccus,2031,0.9533333333333334,0.03333333333333333,0.013333333333333334,0.06999999999999999
AT,GA,full-bf-bof-ccus,2032,0.9066666666666667,0.06666666666666667,0.02666666666666667,0.13999999999999999
AT,GA,full-bf-bof-ccus,2033,0.86,0.1,0.04000000000000001,0.21
AT,GA,full-bf-bof-ccus,2034,0.8133333333333334,0.13333333333333333,0.05333333333333334,0.27999999999999997
AT,GA,full-bf-bof-ccus,2035,0.7666666666666667,0.16666666666666666,0.06666666666666667,0.35
AT,GA,full-bf-bof-ccus,2036,0.72,0.2,0.08000000000000002,0.42
AT,GA,full-bf-bof-ccus,2037,0.6733333333333332,0.23333333333333334,0.09333333333333334,0.48999999999999994
AT,GA,full-bf-bof-ccus,2038,0.6266666666666667,0.26666666666666666,0.10666666666666667,0.5599999999999999
AT,GA,full-bf-bof-ccus,2039,0.58,0.3,0.12,0.63
AT,GA,full-bf-bof-ccus,2040,0.5333333333333334,0.3333333333333333,0.13333333333333333,0.7
AT,GA,full-bf-bof-ccus,2041,0.48666666666666664,0.36666666666666664,0.14666666666666667,0.7
AT,GA,full-bf-bof-ccus,2042,0.43999999999999995,0.4,0.16000000000000003,0.7
AT,GA,full-bf-bof-ccus,2043,0.3933333333333333,0.43333333333333335,0.17333333333333334,0.7
AT,GA,full-bf-bof-ccus,2044,0.3466666666666667,0.4666666666666667,0.18666666666666668,0.7
AT,GA,full-bf-bof-ccus,2045,0.3,0.5,0.2,0.7
AT,GA,full-bf-bof-ccus,2046,0.3,0.5,0.2,0.7
AT,GA,full-bf-bof-ccus,2047,0.3,0.5,0.2,0.7
AT,GA,full-bf-bof-ccus,2048,0.3,0.5,0.2,0.7
AT,GA,full-bf-bof-ccus,2049,0.3,0.5,0.2,0.7
AT,GA,full-bf-bof-ccus,2050,0.3,0.5,0.2,0.7
BE,GA,full-bf-bof-ccus,2019,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2020,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2021,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2022,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2023,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2024,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2025,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2026,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2027,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2028,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2029,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2030,1.0,0.0,0.0,0.0
BE,GA,full-bf-bof-ccus,2031,0.9533333333333334,0.03333333333333333,0.013333333333333334,0.06999999999999999
BE,GA,full-bf-bof-ccus,2032,0.9066666666666667,0.06666666666666667,0.02666666666666667,0.13999999999999999
BE,GA,full-bf-bof-ccus,2033,0.86,0.1,0.04000000000000001,0.21
BE,GA,full-bf-bof-ccus,2034,0.8133333333333334,0.13333333333333333,0.05333333333333334,0.27999999999999997
BE,GA,full-bf-bof-ccus,2035,0.7666666666666667,0.16666666666666666,0.06666666666666667,0.35
BE,GA,full-bf-bof-ccus,2036,0.72,0.2,0.08000000000000002,0.42
BE,GA,full-bf-bof-ccus,2037,0.6733333333333332,0.23333333333333334,0.09333333333333334,0.48999999999999994
BE,GA,full-bf-bof-ccus,2038,0.6266666666666667,0.26666666666666666,0.10666666666666667,0.5599999999999999
BE,GA,full-bf-bof-ccus,2039,0.58,0.3,0.12,0.63
BE,GA,full-bf-bof-ccus,2040,0.5333333333333334,0.3333333333333333,0.13333333333333333,0.7
BE,GA,full-bf-bof-ccus,2041,0.48666666666666664,0.36666666666666664,0.14666666666666667,0.7
BE,GA,full-bf-bof-ccus,2042,0.43999999999999995,0.4,0.16000000000000003,0.7
BE,GA,full-bf-bof-ccus,2043,0.3933333333333333,0.43333333333333335,0.17333333333333334,0.7
BE,GA,full-bf-bof-ccus,2044,0.3466666666666667,0.4666666666666667,0.18666666666666668,0.7
BE,GA,full-bf-bof-ccus,2045,0.3,0.5,0.2,0.7
BE,GA,full-bf-bof-ccus,2046,0.3,0.5,0.2,0.7
BE,GA,full-bf-bof-ccus,2047,0.3,0.5,0.2,0.7
BE,GA,full-bf-bof-ccus,2048,0.3,0.5,0.2,0.7
BE,GA,full-bf-bof-ccus,2049,0.3,0.5,0.2,0.7
BE,GA,full-bf-bof-ccus,2050,0.3,0.5,0.2,0.7
BG,GA,full-bf-bof-ccus,2019,1.0,0.0,0.0,0.0
BG,GA,full-bf-bof-ccus,2020,1.0,0.0,0.0,0.0
BG,GA,full-bf-bof-ccus,2021,1.0,0.0,0.0,0.0
