country,scenario,year,steel_production,eaf_production,dri_network_gas_production,dri_hydrogen_production,blastfurnace_bof_production,blastfurnace_bof_ccs_production,h2_demand,ch4_demand
AT,GA|full-bf-bof-ccus,2019,7592214.0,728852.5439999998,,,6863361.456,0.0,,
AT,GA|full-bf-bof-ccus,2020,7592214.0,827796.2361290321,,,6764417.763870968,0.0,,
AT,GA|full-bf-bof-ccus,2021,7592214.0,926739.9282580644,,,6665474.071741936,0.0,,
AT,GA|full-bf-bof-ccus,2022,7592214.0,1025683.6203870967,,,6566530.379612903,0.0,,
AT,GA|full-bf-bof-ccus,2023,7592214.0,1124627.3125161289,,,6467586.687483871,0.0,,
AT,GA|full-bf-bof-ccus,2024,7592214.0,1223571.0046451613,,,6368642.995354839,0.0,,
AT,GA|full-bf-bof-ccus,2025,7592214.0,1322514.6967741933,,,6269699.303225807,0.0,,
AT,GA|full-bf-bof-ccus,2026,7592214.0,1421458.3889032255,,,6170755.611096774,0.0,,
AT,GA|full-bf-bof-ccus,2027,7592214.0,1520402.081032258,,,6071811.9189677425,0.0,,
AT,GA|full-bf-bof-ccus,2028,7592214.0,1619345.7731612902,,,5972868.22683871,0.0,,
AT,GA|full-bf-bof-ccus,2029,7592214.0,1718289.4652903224,,,5873924.534709677,0.0,,
AT,GA|full-bf-bof-ccus,2030,7592214.0,1817233.157419355,,,5774980.842580645,0.0,,
AT,GA|full-bf-bof-ccus,2031,7592214.0,1916176.8495483869,,,5676037.150451614,0.0,,
AT,GA|full-bf-bof-ccus,2032,7592214.0,2015120.5416774196,,,5577093.458322581,0.0,,
AT,GA|full-bf-bof-ccus,2033,7592214.0,2114064.2338064513,,,5478149.766193548,0.0,,
AT,GA|full-bf-bof-ccus,2034,7592214.0,2213007.9259354835,,,5379206.074064516,0.0,,
AT,GA|full-bf-bof-ccus,2035,7592214.0,2311951.618064516,,,5280262.381935484,0.0,,
AT,GA|full-bf-bof-ccus,2036,7592214.0,2410895.310193548,120897.43609548386,0.0,4723059.836796904,337361.41691406455,0.0,27576.70517337987
AT,GA|full-bf-bof-ccus,2037,7592214.0,2509839.0023225807,237177.49989161288,0.0,4199171.164747699,646026.3330381075,0.0,54100.1877252769
AT,GA|full-bf-bof-ccus,2038,7592214.0,2608782.694451613,348840.19138838706,0.0,3707672.8913279995,926918.2228319999,0.0,79570.44765569108
AT,GA|full-bf-bof-ccus,2039,7592214.0,2707726.386580645,455885.5105858064,0.0,3247641.5420779353,1180960.560755613,0.0,103987.48496462243
AT,GA|full-bf-bof-ccus,2040,7592214.0,2806670.078709677,558313.457483871,0.0,2818153.642537635,1409076.8212688174,0.0,127351.29965207099
AT,GA|full-bf-bof-ccus,2041,7592214.0,2905613.77083871,590511.6288743225,65612.40320825807,2418285.718247226,1612190.478831484,5052.155047035871,134695.70254623296
AT,GA|full-bf-bof-ccus,2042,7592214.0,3004557.4629677422,599453.7875055483,149863.44687638708,2047114.2947468385,1791225.0079034837,11539.485409481806,136735.40893001558
AT,GA|full-bf-bof-ccus,2043,7592214.0,3103501.155096774,586525.1450673548,251367.91931458062,1703715.8975766022,1947103.8829446882,19355.32978722271,133786.3855898636
