country,scenario,year,steel_production,eaf_production,dri_network_gas_production,dri_hydrogen_production,blastfurnace_bof_production,h2_demand,ch4_demand
AT,GA|full-dri-eaf,2019,7592214.0,728852.5439999998,,,6863361.456,,
AT,GA|full-dri-eaf,2020,7592214.0,827796.2361290321,,,6764417.763870968,,
AT,GA|full-dri-eaf,2021,7592214.0,926739.9282580644,,,6665474.071741936,,
AT,GA|full-dri-eaf,2022,7592214.0,1025683.6203870967,,,6566530.379612903,,
AT,GA|full-dri-eaf,2023,7592214.0,1124627.3125161289,,,6467586.687483871,,
AT,GA|full-dri-eaf,2024,7592214.0,1223571.0046451613,,,6368642.995354839,,
AT,GA|full-dri-eaf,2025,7592214.0,1322514.6967741933,,,6269699.303225807,,
AT,GA|full-dri-eaf,2026,7592214.0,1421458.3889032255,246830.22444387097,0.0,5923925.386652904,0.0,56301.974195646966
AT,GA|full-dri-eaf,2027,7592214.0,1520402.081032258,485744.9535174194,0.0,5586066.965450323,0.0,110798.42389732336
AT,GA|full-dri-eaf,2028,7592214.0,1619345.7731612902,716744.1872206451,0.0,5256124.039618065,0.0,163489.34910502916
AT,GA|full-dri-eaf,2029,7592214.0,1718289.4652903224,939827.9255535484,0.0,4934096.609156129,0.0,214374.7498187644
AT,GA|full-dri-eaf,2030,7592214.0,1817233.157419355,1154996.168516129,0.0,4619984.674064516,0.0,263454.62603852904
AT,GA|full-dri-eaf,2031,7592214.0,1916176.8495483869,1226024.0244975486,136224.89161083873,4313788.234343226,10489.316654034583,279656.07998789084
AT,GA|full-dri-eaf,2032,7592214.0,2015120.5416774196,1249268.9346642583,312317.23366606457,4015507.289992258,24048.42699228697,284958.2439969173
AT,GA|full-dri-eaf,2033,7592214.0,2114064.2338064513,1227105.5476273547,525902.3775545807,3725141.8410116127,40494.483071702714,279902.7754137996
AT,GA|full-dri-eaf,2034,7592214.0,2213007.9259354835,1161908.5119979354,774605.6746652904,3442691.8874012907,59644.63694922736,265031.33158672904
AT,GA|full-dri-eaf,2035,7592214.0,2311951.618064516,1056052.4763870968,1056052.4763870968,3168157.42916129,81316.04068180645,240885.5698638968
AT,GA|full-dri-eaf,2036,7592214.0,2410895.310193548,911912.0894059357,1367868.1341089034,2901538.466291613,105325.84632638555,208007.14759349392
AT,GA|full-dri-eaf,2037,7592214.0,2509839.0023225807,731861.9996655484,1707677.9992196127,2642834.998792258,131491.20593991017,166937.7221237116
AT,GA|full-dri-eaf,2038,7592214.0,2608782.694451613,518276.8557770321,2073107.4231081288,2392047.0266632256,159629.27157932593,118218.95080274102
AT,GA|full-dri-eaf,2039,7592214.0,2707726.386580645,273531.30635148386,2461781.757163355,2149174.549904516,189557.19530157835,62392.490978773465
AT,GA|full-dri-eaf,2040,7592214.0,2806670.078709677,0.0,2871326.352774194,1914217.5685161292,221092.12916361293,0.0
AT,GA|full-dri-eaf,2041,7592214.0,2905613.77083871,0.0,2999424.1466632257,1687176.0824980647,230955.65929306837,0.0
AT,GA|full-dri-eaf,2042,7592214.0,3004557.4629677422,0.0,3119606.4451819356,1468050.0918503222,240209.69627900905,0.0
AT,GA|full-dri-eaf,2043,7592214.0,3103501.155096774,0.0,3231873.2483303226,1256839.5965729035,248854.24012143482,0.0
AT,GA|full-dri-eaf,2044,7592214.0,3202444.847225806,0.0,3336224.5561083877,1053544.5966658066,256889.29082034584,0.0
AT,GA|full-dri-eaf,2045,7592214.0,3301388.539354839,0.0,3432660.3685161294,858165.0921290321,264314.848375742,0.0
AT,GA|full-dri-eaf,2046,7592214.0,3400332.2314838707,0.0,3521180.6855535484,670701.082962581,271130.91278762324,0.0
AT,GA|full-dri-eaf,2047,7592214.0,3499275.9236129033,0.0,3601785.507220645,491152.5691664517,277337.48405598965,0.0
AT,GA|full-dri-eaf,2048,7592214.0,3598219.6157419356,0.0,3674474.8335174196,319519.5507406448,282934.5621808413,0.0
AT,GA|full-dri-eaf,2049,7592214.0,3697163.307870968,0.0,3739248.664443871,155802.0276851612,287922.14716217807,0.0
AT,GA|full-dri-eaf,2050,7592214.0,3796107.0,0.0,3796107.0,0.0,292300.239,0.0
BE,GA|full-dri-eaf,2019,7759543.0,2521851.4749999996,,,5237691.525,,
BE,GA|full-dri-eaf,2020,7759543.0,2565655.3467741935,,,5193887.653225807,,
BE,GA|full-dri-eaf,2021,7759543.0,2609459.218548387,,,5150083.781451613,,
BE,GA|full-dri-eaf,2022,7759543.0,2653263.0903225807,,,5106279.90967742,,
BE,GA|full-dri-eaf,2023,7759543.0,2697066.962096774,,,5062476.037903226,,
BE,GA|full-dri-eaf,2024,7759543.0,2740870.833870968,,,5018672.166129032,,
BE,GA|full-dri-eaf,2025,7759543.0,2784674.7056451607,,,4974868.294354839,,
BE,GA|full-dri-eaf,2026,7759543.0,2828478.5774193546,197242.57690322582,0.0,4733821.84567742,0.0,44991.031791625814
BE,GA|full-dri-eaf,2027,7759543.0,2872282.449193548,390980.84406451613,0.0,4496279.706741936,0.0,89182.73053111613
BE,GA|full-dri-eaf,2028,7759543.0,2916086.320967742,581214.8014838711,0.0,4262241.877548387,0.0,132575.09621847098
BE,GA|full-dri-eaf,2029,7759543.0,2959890.192741935,767944.4491612904,0.0,4031708.3580967747,0.0,175168.12885369034
BE,GA|full-dri-eaf,2030,7759543.0,3003694.064516129,951169.7870967742,0.0,3804679.148387097,0.0,216961.8284367742
BE,GA|full-dri-eaf,2031,7759543.0,3047497.9362903223,1017801.7337612906,113089.08152903228,3581154.2484193556,8707.859277735486,232160.57547095037
BE,GA|full-dri-eaf,2032,7759543.0,3091301.808064516,1045686.0269935484,261421.5067483871,3361133.658193548,20129.456019625806,238520.98275722837
BE,GA|full-dri-eaf,2033,7759543.0,3135105.6798387095,1035873.959716129,443945.9827354839,3144617.3777096774,34183.840670632264,236282.85021124902
BE,GA|full-dri-eaf,2034,7759543.0,3178909.5516129034,989416.8248516128,659611.2165677419,2931605.406967742,50790.06367571613,225685.97774865286
BE,GA|full-dri-eaf,2035,7759543.0,3222713.4233870963,907365.9153225808,907365.9153225808,2722097.745967742,69867.17547983873,206970.1652850807
BE,GA|full-dri-eaf,2036,7759543.0,3266517.29516129,790772.524051613,1186158.7860774195,2516094.3947096774,91334.2265279613,180375.21273617295
BE,GA|full-dri-eaf,2037,7759543.0,3310321.166935484,640687.9439612904,1494938.5359096772,2313595.3531935485,115110.26726504514,146140.92001757034
BE,GA|full-dri-eaf,2038,7759543.0,3354125.0387096773,458163.4679741934,1832653.871896774,2114600.621419355,141114.3481360516,104507.08704491351
BE,GA|full-dri-eaf,2039,7759543.0,3397928.9104838707,244250.3890129032,2198253.5011161296,1919110.1993870968,169265.51958594198,55713.51373384322
BE,GA|full-dri-eaf,2040,7759543.0,3441732.7822580645,0.0,2590686.130645161,1727124.0870967745,199482.8320596774,0.0
BE,GA|full-dri-eaf,2041,7759543.0,3485536.6540322583,0.0,2735364.0614193548,1538642.284548387,210623.0327292903,0.0
BE,GA|full-dri-eaf,2042,7759543.0,3529340.5258064517,0.0,2876537.6824516132,1353664.7917419355,221493.4015487742,0.0
BE,GA|full-dri-eaf,2043,7759543.0,3573144.397580645,0.0,3014206.9937419356,1172191.6086774194,232093.93851812903,0.0
BE,GA|full-dri-eaf,2044,7759543.0,3616948.2693548384,0.0,3148371.9952903227,994222.7353548389,242424.64363735483,0.0
BE,GA|full-dri-eaf,2045,7759543.0,3660752.1411290322,0.0,3279032.6870967746,819758.1717741932,252485.51690645164,0.0
BE,GA|full-dri-eaf,2046,7759543.0,3704556.0129032256,0.0,3406189.0691612903,648797.9179354841,262276.5583254194,0.0
BE,GA|full-dri-eaf,2047,7759543.0,3748359.884677419,0.0,3529841.1414838713,481341.97383870976,271797.7678942581,0.0
BE,GA|full-dri-eaf,2048,7759543.0,3792163.756451613,0.0,3649988.9040645165,317390.33948387066,281049.1456129678,0.0
BE,GA|full-dri-eaf,2049,7759543.0,3835967.6282258066,0.0,3766632.3569032256,156943.01487096772,290030.69148154836,0.0
BE,GA|full-dri-eaf,2050,7759543.0,3879771.5,0.0,3879771.5,0.0,298742.4055,0.0
BG,GA|full-dri-eaf,2019,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2020,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2021,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2022,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2023,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2024,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2025,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2026,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2027,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2028,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2029,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2030,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2031,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2032,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2033,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2034,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2035,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2036,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2037,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2038,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2039,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2040,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2041,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2042,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2043,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2044,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2045,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2046,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2047,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2048,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2049,565900.0,565900.0,,,0.0,,
BG,GA|full-dri-eaf,2050,565900.0,565900.0,,,0.0,,
CY,GA|full-dri-eaf,2019,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2020,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2021,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2022,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2023,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2024,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2025,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2026,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2027,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2028,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2029,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2030,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2031,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2032,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2033,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2034,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2035,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2036,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2037,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2038,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2039,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2040,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2041,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2042,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2043,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2044,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2045,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2046,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2047,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2048,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2049,0.0,0.0,,,0.0,,
CY,GA|full-dri-eaf,2050,0.0,0.0,,,0.0,,
CZ,GA|full-dri-eaf,2019,4436832.0,235152.0959999999,,,4201679.904,,
CZ,GA|full-dri-eaf,2020,4436832.0,299128.35096774186,,,4137703.649032258,,
CZ,GA|full-dri-eaf,2021,4436832.0,363104.60593548376,,,4073727.3940645163,,
CZ,GA|full-dri-eaf,2022,4436832.0,427080.86090322566,,,4009751.139096774,,
CZ,GA|full-dri-eaf,2023,4436832.0,491057.1158709676,,,3945774.8841290325,,
CZ,GA|full-dri-eaf,2024,4436832.0,555033.3708387095,,,3881798.6291612904,,
