country,base_scenario,tech_scenario,year,ch4_share,h2_share,dri_total,steel_production,dri_share_of_steel
AT,GA,import-dri,2019,,,0.0,7592214.0,0.0
AT,GA,import-dri,2020,,,0.0,7592214.0,0.0
AT,GA,import-dri,2021,,,0.0,7592214.0,0.0
AT,GA,import-dri,2022,,,0.0,7592214.0,0.0
AT,GA,import-dri,2023,,,0.0,7592214.0,0.0
AT,GA,import-dri,2024,,,0.0,7592214.0,0.0
AT,GA,import-dri,2025,,,0.0,7592214.0,0.0
AT,GA,import-dri,2026,1.0,0.0,246830.22444387097,7592214.0,0.03251096774193549
AT,GA,import-dri,2027,1.0,0.0,485744.9535174194,7592214.0,0.06397935483870969
AT,GA,import-dri,2028,1.0,0.0,716744.1872206451,7592214.0,0.09440516129032257
AT,GA,import-dri,2029,1.0,0.0,939827.9255535484,7592214.0,0.1237883870967742
AT,GA,import-dri,2030,1.0,0.0,1154996.168516129,7592214.0,0.1521290322580645
AT,GA,import-dri,2031,1.0,0.0,1362248.9161083873,7592214.0,0.17942709677419358
AT,GA,import-dri,2032,1.0,0.0,1561586.1683303227,7592214.0,0.20568258064516132
AT,GA,import-dri,2033,1.0,0.0,1753007.9251819355,7592214.0,0.23089548387096775
AT,GA,import-dri,2034,1.0,0.0,1936514.1866632258,7592214.0,0.2550658064516129
AT,GA,import-dri,2035,1.0,0.0,2112104.9527741936,7592214.0,0.27819354838709676
AT,GA,import-dri,2036,1.0,0.0,2279780.223514839,7592214.0,0.3002787096774194
AT,GA,import-dri,2037,1.0,0.0,2439539.9988851612,7592214.0,0.32132129032258067
AT,GA,import-dri,2038,1.0,0.0,2591384.278885161,7592214.0,0.34132129032258063
AT,GA,import-dri,2039,1.0,0.0,2735313.063514839,7592214.0,0.3602787096774194
AT,GA,import-dri,2040,1.0,0.0,2871326.352774194,7592214.0,0.37819354838709685
AT,GA,import-dri,2041,1.0,0.0,2999424.1466632257,7592214.0,0.3950658064516129
AT,GA,import-dri,2042,1.0,0.0,3119606.4451819356,7592214.0,0.41089548387096775
AT,GA,import-dri,2043,1.0,0.0,3231873.2483303226,7592214.0,0.4256825806451613
AT,GA,import-dri,2044,1.0,0.0,3336224.5561083877,7592214.0,0.4394270967741936
AT,GA,import-dri,2045,1.0,0.0,3432660.3685161294,7592214.0,0.45212903225806456
