country,scenario,year,steel_production,eaf_production,dri_network_gas_production,dri_hydrogen_production,blastfurnace_bof_production,h2_demand,ch4_demand
AT,GA|import-dri,2019,7592214.0,728852.5439999998,0.0,0.0,6863361.456,0.0,0.0
AT,GA|import-dri,2020,7592214.0,827796.2361290321,0.0,0.0,6764417.763870968,0.0,0.0
AT,GA|import-dri,2021,7592214.0,926739.9282580644,0.0,0.0,6665474.071741936,0.0,0.0
AT,GA|import-dri,2022,7592214.0,1025683.6203870967,0.0,0.0,6566530.379612903,0.0,0.0
AT,GA|import-dri,2023,7592214.0,1124627.3125161289,0.0,0.0,6467586.687483871,0.0,0.0
AT,GA|import-dri,2024,7592214.0,1223571.0046451613,0.0,0.0,6368642.995354839,0.0,0.0
AT,GA|import-dri,2025,7592214.0,1322514.6967741933,0.0,0.0,6269699.303225807,0.0,0.0
AT,GA|import-dri,2026,7592214.0,1421458.3889032255,246830.22444387097,0.0,5923925.386652904,0.0,56301.974195646966
AT,GA|import-dri,2027,7592214.0,1520402.081032258,485744.9535174194,0.0,5586066.965450323,0.0,110798.42389732336
AT,GA|import-dri,2028,7592214.0,1619345.7731612902,716744.1872206451,0.0,5256124.039618065,0.0,163489.34910502916
AT,GA|import-dri,2029,7592214.0,1718289.4652903224,939827.9255535484,0.0,4934096.609156129,0.0,214374.7498187644
AT,GA|import-dri,2030,7592214.0,1817233.157419355,1154996.168516129,0.0,4619984.674064516,0.0,263454.62603852904
AT,GA|import-dri,2031,7592214.0,1916176.8495483869,1362248.9161083873,0.0,4313788.234343226,0.0,310728.9777643231
AT,GA|import-dri,2032,7592214.0,2015120.5416774196,1561586.1683303227,0.0,4015507.289992258,0.0,356197.8049961466
AT,GA|import-dri,2033,7592214.0,2114064.2338064513,1753007.9251819355,0.0,3725141.8410116127,0.0,399861.1077339995
AT,GA|import-dri,2034,7592214.0,2213007.9259354835,1936514.1866632258,0.0,3442691.8874012907,0.0,441718.8859778818
AT,GA|import-dri,2035,7592214.0,2311951.618064516,2112104.9527741936,0.0,3168157.42916129,0.0,481771.1397277936
AT,GA|import-dri,2036,7592214.0,2410895.310193548,2279780.223514839,0.0,2901538.466291613,0.0,520017.8689837348
AT,GA|import-dri,2037,7592214.0,2509839.0023225807,2439539.9988851612,0.0,2642834.998792258,0.0,556459.0737457053
AT,GA|import-dri,2038,7592214.0,2608782.694451613,2591384.278885161,0.0,2392047.0266632256,0.0,591094.7540137052
AT,GA|import-dri,2039,7592214.0,2707726.386580645,2735313.063514839,0.0,2149174.549904516,0.0,623924.9097877347
AT,GA|import-dri,2040,7592214.0,2806670.078709677,2871326.352774194,0.0,1914217.5685161292,0.0,654949.5410677936
AT,GA|import-dri,2041,7592214.0,2905613.77083871,2999424.1466632257,0.0,1687176.0824980647,0.0,684168.6478538818
AT,GA|import-dri,2042,7592214.0,3004557.4629677422,3119606.4451819356,0.0,1468050.0918503222,0.0,711582.2301459995
AT,GA|import-dri,2043,7592214.0,3103501.155096774,3231873.2483303226,0.0,1256839.5965729035,0.0,737190.2879441465
AT,GA|import-dri,2044,7592214.0,3202444.847225806,3336224.5561083877,0.0,1053544.5966658066,0.0,760992.8212483232
AT,GA|import-dri,2045,7592214.0,3301388.539354839,3432660.3685161294,0.0,858165.0921290321,0.0,782989.8300585292
AT,GA|import-dri,2046,7592214.0,3400332.2314838707,3521180.6855535484,0.0,670701.082962581,0.0,803181.3143747643
AT,GA|import-dri,2047,7592214.0,3499275.9236129033,3601785.507220645,0.0,491152.5691664517,0.0,821567.2741970291
AT,GA|import-dri,2048,7592214.0,3598219.6157419356,3674474.8335174196,0.0,319519.5507406448,0.0,838147.7095253234
AT,GA|import-dri,2049,7592214.0,3697163.307870968,3739248.664443871,0.0,155802.0276851612,0.0,852922.620359647
AT,GA|import-dri,2050,7592214.0,3796107.0,3796107.0,0.0,0.0,0.0,865892.0067
BE,GA|import-dri,2019,7759543.0,2521851.4749999996,0.0,0.0,5237691.525,0.0,0.0
BE,GA|import-dri,2020,7759543.0,2565655.3467741935,0.0,0.0,5193887.653225807,0.0,0.0
BE,GA|import-dri,2021,7759543.0,2609459.218548387,0.0,0.0,5150083.781451613,0.0,0.0
BE,GA|import-dri,2022,7759543.0,2653263.0903225807,0.0,0.0,5106279.90967742,0.0,0.0
BE,GA|import-dri,2023,7759543.0,2697066.962096774,0.0,0.0,5062476.037903226,0.0,0.0
BE,GA|import-dri,2024,7759543.0,2740870.833870968,0.0,0.0,5018672.166129032,0.0,0.0
BE,GA|import-dri,2025,7759543.0,2784674.7056451607,0.0,0.0,4974868.294354839,0.0,0.0
BE,GA|import-dri,2026,7759543.0,2828478.5774193546,197242.57690322582,0.0,4733821.84567742,0.0,44991.031791625814
BE,GA|import-dri,2027,7759543.0,2872282.449193548,390980.84406451613,0.0,4496279.706741936,0.0,89182.73053111613
BE,GA|import-dri,2028,7759543.0,2916086.320967742,581214.8014838711,0.0,4262241.877548387,0.0,132575.09621847098
BE,GA|import-dri,2029,7759543.0,2959890.192741935,767944.4491612904,0.0,4031708.3580967747,0.0,175168.12885369034
BE,GA|import-dri,2030,7759543.0,3003694.064516129,951169.7870967742,0.0,3804679.148387097,0.0,216961.8284367742
