country,base_scenario,tech_scenario,year,ch4_share,h2_share,dri_total,steel_production,dri_share_of_steel
AT,GA,intermerdiary,2019,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2020,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2021,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2022,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2023,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2024,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2025,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2026,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2027,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2028,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2029,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2030,,,0.0,7592214.0,0.0
AT,GA,intermerdiary,2031,1.0,0.0,184471.20738967744,7592214.0,0.02429741935483871
AT,GA,intermerdiary,2032,1.0,0.0,362511.07479096774,7592214.0,0.047747741935483874
AT,GA,intermerdiary,2033,1.0,0.0,534119.602203871,7592214.0,0.07035096774193549
AT,GA,intermerdiary,2034,1.0,0.0,699296.7896283872,7592214.0,0.09210709677419356
AT,GA,intermerdiary,2035,1.0,0.0,858042.6370645162,7592214.0,0.11301612903225808
AT,GA,intermerdiary,2036,0.9333333333333333,0.06666666666666667,1010357.1445122581,7592214.0,0.13307806451612905
AT,GA,intermerdiary,2037,0.8666666666666667,0.13333333333333333,1156240.3119716127,7592214.0,0.15229290322580644
AT,GA,intermerdiary,2038,0.8,0.2,1295692.1394425805,7592214.0,0.17066064516129031
AT,GA,intermerdiary,2039,0.7333333333333334,0.26666666666666666,1428712.6269251616,7592214.0,0.18818129032258069
AT,GA,intermerdiary,2040,0.6666666666666667,0.3333333333333333,1555301.774419355,7592214.0,0.20485483870967744
AT,GA,intermerdiary,2041,0.6,0.4,1675459.5819251614,7592214.0,0.22068129032258066
AT,GA,intermerdiary,2042,0.5333333333333333,0.4666666666666667,1789186.0494425807,7592214.0,0.23566064516129032
AT,GA,intermerdiary,2043,0.4666666666666667,0.5333333333333333,1896481.1769716132,7592214.0,0.2497929032258065
AT,GA,intermerdiary,2044,0.4,0.6,1997344.9645122583,7592214.0,0.2630780645161291
AT,GA,intermerdiary,2045,0.33333333333333337,0.6666666666666666,2091777.4120645165,7592214.0,0.2755161290322581
AT,GA,intermerdiary,2046,0.2666666666666667,0.7333333333333333,2179778.5196283874,7592214.0,0.2871070967741936
AT,GA,intermerdiary,2047,0.19999999999999996,0.8,2261348.2872038707,7592214.0,0.2978509677419354
AT,GA,intermerdiary,2048,0.1333333333333333,0.8666666666666667,2336486.714790968,7592214.0,0.30774774193548393
AT,GA,intermerdiary,2049,0.06666666666666665,0.9333333333333333,2405193.802389677,7592214.0,0.3167974193548387
AT,GA,intermerdiary,2050,0.0,1.0,2467469.5500000003,7592214.0,0.325
BE,GA,intermerdiary,2019,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2020,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2021,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2022,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2023,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2024,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2025,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2026,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2027,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2028,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2029,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2030,,,0.0,7759543.0,0.0
BE,GA,intermerdiary,2031,1.0,0.0,153141.46457056454,7759543.0,0.019735887096774197
BE,GA,intermerdiary,2032,1.0,0.0,303435.67747580644,7759543.0,0.03910483870967742
BE,GA,intermerdiary,2033,1.0,0.0,450882.63871572586,7759543.0,0.058106854838709684
BE,GA,intermerdiary,2034,1.0,0.0,595482.3482903226,7759543.0,0.07674193548387097
BE,GA,intermerdiary,2035,1.0,0.0,737234.8061995968,7759543.0,0.0950100806451613
BE,GA,intermerdiary,2036,0.9333333333333333,0.06666666666666667,876140.0124435484,7759543.0,0.11291129032258065
BE,GA,intermerdiary,2037,0.8666666666666667,0.13333333333333333,1012197.9670221773,7759543.0,0.13044556451612901
BE,GA,intermerdiary,2038,0.8,0.2,1145408.6699354837,7759543.0,0.14761290322580642
