country,scenario,year,steel_production,eaf_production,dri_network_gas_production,dri_hydrogen_production,blastfurnace_bof_production,h2_demand,ch4_demand
AT,GA|intermerdiary,2019,7592214.0,728852.5439999998,,,6863361.456,,
AT,GA|intermerdiary,2020,7592214.0,827796.2361290321,,,6764417.763870968,,
AT,GA|intermerdiary,2021,7592214.0,926739.9282580644,,,6665474.071741936,,
AT,GA|intermerdiary,2022,7592214.0,1025683.6203870967,,,6566530.379612903,,
AT,GA|intermerdiary,2023,7592214.0,1124627.3125161289,,,6467586.687483871,,
AT,GA|intermerdiary,2024,7592214.0,1223571.0046451613,,,6368642.995354839,,
AT,GA|intermerdiary,2025,7592214.0,1322514.6967741933,,,6269699.303225807,,
AT,GA|intermerdiary,2026,7592214.0,1421458.3889032255,,,6170755.611096774,,
AT,GA|intermerdiary,2027,7592214.0,1520402.081032258,,,6071811.9189677425,,
AT,GA|intermerdiary,2028,7592214.0,1619345.7731612902,,,5972868.22683871,,
AT,GA|intermerdiary,2029,7592214.0,1718289.4652903224,,,5873924.534709677,,
AT,GA|intermerdiary,2030,7592214.0,1817233.157419355,,,5774980.842580645,,
AT,GA|intermerdiary,2031,7592214.0,1916176.8495483869,184471.20738967744,0.0,5491565.943061936,0.0,42077.88240558542
AT,GA|intermerdiary,2032,7592214.0,2015120.5416774196,362511.07479096774,0.0,5214582.383531613,0.0,82688.77615981974
AT,GA|intermerdiary,2033,7592214.0,2114064.2338064513,534119.602203871,0.0,4944030.163989677,0.0,121832.68126270297
AT,GA|intermerdiary,2034,7592214.0,2213007.9259354835,699296.7896283872,0.0,4679909.284436129,0.0,159509.5977142351
AT,GA|intermerdiary,2035,7592214.0,2311951.618064516,858042.6370645162,0.0,4422219.744870967,0.0,195719.52551441613
AT,GA|intermerdiary,2036,7592214.0,2410895.310193548,943000.0015447743,67357.14296748387,4170961.545294194,5186.5000084962585,215098.300352363
AT,GA|intermerdiary,2037,7592214.0,2509839.0023225807,1002074.9370420644,154165.37492954836,3926134.6857058066,11870.733869575224,228573.2931392949
AT,GA|intermerdiary,2038,7592214.0,2608782.694451613,1036553.7115540644,259138.4278885161,3687739.166105806,19953.65894741574,236437.9016054821
AT,GA|intermerdiary,2039,7592214.0,2707726.386580645,1047722.5930784519,380990.03384670976,3455774.9864941933,29336.232606196652,238985.5234811949
AT,GA|intermerdiary,2040,7592214.0,2806670.078709677,1036867.8496129034,518433.92480645166,3230242.146870968,39919.41221009678,236509.55649670327
AT,GA|intermerdiary,2041,7592214.0,2905613.77083871,1005275.7491550968,670183.8327700646,3011140.6472361293,51604.15512329497,229303.39838227758
AT,GA|intermerdiary,2042,7592214.0,3004557.4629677422,954232.5597027097,834953.489739871,2798470.487589677,64291.418709970065,217660.44686818807
AT,GA|intermerdiary,2043,7592214.0,3103501.155096774,885024.5492534195,1011456.6277181937,2592231.6679316126,77882.16033430092,201874.099684705
AT,GA|intermerdiary,2044,7592214.0,3202444.847225806,798937.9858049033,1198406.978707355,2392424.188261936,92277.33736046634,182237.75456209845
AT,GA|intermerdiary,2045,7592214.0,3301388.539354839,697259.1373548389,1394518.2747096776,2199048.048580645,107377.90715264517,159044.80923063876
AT,GA|intermerdiary,2046,7592214.0,3400332.2314838707,581274.2719009034,1598504.247727484,2012103.248887742,123084.82707501626,132588.66142059606
AT,GA|intermerdiary,2047,7592214.0,3499275.9236129033,452269.657440774,1809078.6297630966,1831589.789183226,139299.05449175843,103162.70886224056
AT,GA|intermerdiary,2048,7592214.0,3598219.6157419356,311531.56197212904,2024955.1528188393,1657507.6694670962,155921.54676705063,71060.34928584263
AT,GA|intermerdiary,2049,7592214.0,3697163.307870968,160346.2534926451,2244847.548897032,1489856.889739355,172853.2612650715,36574.98042167235
AT,GA|intermerdiary,2050,7592214.0,3796107.0,0.0,2467469.5500000003,1328637.4499999997,189995.15535000002,0.0
BE,GA|intermerdiary,2019,7759543.0,2521851.4749999996,,,5237691.525,,
BE,GA|intermerdiary,2020,7759543.0,2565655.3467741935,,,5193887.653225807,,
BE,GA|intermerdiary,2021,7759543.0,2609459.218548387,,,5150083.781451613,,
BE,GA|intermerdiary,2022,7759543.0,2653263.0903225807,,,5106279.90967742,,
BE,GA|intermerdiary,2023,7759543.0,2697066.962096774,,,5062476.037903226,,
BE,GA|intermerdiary,2024,7759543.0,2740870.833870968,,,5018672.166129032,,
BE,GA|intermerdiary,2025,7759543.0,2784674.7056451607,,,4974868.294354839,,
BE,GA|intermerdiary,2026,7759543.0,2828478.5774193546,,,4931064.422580645,,
BE,GA|intermerdiary,2027,7759543.0,2872282.449193548,,,4887260.550806452,,
BE,GA|intermerdiary,2028,7759543.0,2916086.320967742,,,4843456.679032259,,
BE,GA|intermerdiary,2029,7759543.0,2959890.192741935,,,4799652.807258065,,
BE,GA|intermerdiary,2030,7759543.0,3003694.064516129,,,4755848.935483871,,
BE,GA|intermerdiary,2031,7759543.0,3047497.9362903223,153141.46457056454,0.0,4558903.599139114,0.0,34931.56806854577
BE,GA|intermerdiary,2032,7759543.0,3091301.808064516,303435.67747580644,0.0,4364805.514459677,0.0,69213.67803223144
BE,GA|intermerdiary,2033,7759543.0,3135105.6798387095,450882.63871572586,0.0,4173554.6814455646,0.0,102846.32989105707
BE,GA|intermerdiary,2034,7759543.0,3178909.5516129034,595482.3482903226,0.0,3985151.1000967743,0.0,135829.5236450226
BE,GA|intermerdiary,2035,7759543.0,3222713.4233870963,737234.8061995968,0.0,3799594.770413307,0.0,168163.25929412805
BE,GA|intermerdiary,2036,7759543.0,3266517.29516129,817730.6782806452,58409.33416290323,3616885.6923951614,4497.518730543548,186524.36771581517
BE,GA|intermerdiary,2037,7759543.0,3310321.166935484,877238.238085887,134959.7289362903,3437023.866042339,10391.899128094354,200098.04210739082
BE,GA|intermerdiary,2038,7759543.0,3354125.0387096773,916326.935948387,229081.73398709676,3260009.2913548388,17639.29351700645,209014.17408982708
BE,GA|intermerdiary,2039,7759543.0,3397928.9104838707,935566.22220121,340205.89898225816,3085841.9683326613,26195.85422163388,213402.655284096
BE,GA|intermerdiary,2040,7759543.0,3441732.7822580645,935525.5471774195,467762.77358870965,2914521.8969758064,36017.733566330644,213393.3773111694
BE,GA|intermerdiary,2041,7759543.0,3485536.6540322583,916774.3612100807,611182.9074733871,2746049.0772842737,47061.08387545081,209116.2317920194
BE,GA|intermerdiary,2042,7759543.0,3529340.5258064517,879882.1146322582,769896.8503032259,2580423.5092580644,59282.057473348395,200701.1103476181
BE,GA|intermerdiary,2043,7759543.0,3573144.397580645,825418.2577770163,943335.1517451614,2417645.1928971773,72636.80668437743,188277.9045989374
BE,GA|intermerdiary,2044,7759543.0,3616948.2693548384,753952.2409774194,1130928.361466129,2257714.128201613,87081.48383289194,171976.50616694937
BE,GA|intermerdiary,2045,7759543.0,3660752.1411290322,666053.5145665325,1332107.0291330647,2100630.3151713707,102572.24124324598,151926.80667262606
BE,GA|intermerdiary,2046,7759543.0,3704556.0129032256,562291.5288774194,1546301.7044129032,1946393.7538064518,119065.23123979355,128258.69773693937
BE,GA|intermerdiary,2047,7759543.0,3748359.884677419,443235.7342431451,1772942.9369725809,1795004.444106855,136516.60614688872,101102.07098086139
BE,GA|intermerdiary,2048,7759543.0,3792163.756451613,309455.5809967742,2011461.2764790328,1646462.3860725802,154882.51828888553,70586.81802536419
BE,GA|intermerdiary,2049,7759543.0,3835967.6282258066,161520.51947137094,2261287.2725991933,1500767.579703629,174119.11999013787,36842.83049141971
BE,GA|intermerdiary,2050,7759543.0,3879771.5,0.0,2521851.475,1357920.025,194182.563575,0.0
BG,GA|intermerdiary,2019,565900.0,565900.0,,,0.0,,
BG,GA|intermerdiary,2020,565900.0,565900.0,,,0.0,,
BG,GA|intermerdiary,2021,565900.0,565900.0,,,0.0,,
BG,GA|intermerdiary,2022,565900.0,565900.0,,,0.0,,
