DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2024-12,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-01,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-02,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-03,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-04,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-05,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-06,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-07,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-08,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-09,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-10,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Albania,2025-11,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2024-12,72.579,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-01,66.001,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-02,66.187,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-03,75.341,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-04,84.124,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-05,93.811,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-06,94.638,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-07,95.627,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-08,99.498,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-09,90.265,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-10,91.035,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Austria,2025-11,80.140,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2024-12,155.800,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-01,132.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-02,128.700,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-03,152.800,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-04,162.700,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-05,167.700,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-06,168.800,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-07,184.400,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-08,180.100,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-09,177.200,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-10,174.100,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-11,159.800,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2024-12,18.940,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-01,15.097,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-02,14.979,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-03,14.809,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-04,16.597,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-05,22.577,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-06,24.012,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-07,28.712,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-08,30.122,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-09,26.278,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-10,18.762,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-11,12.762,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2024-12,15.021,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-01,13.569,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-02,12.568,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-03,16.896,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-04,28.611,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-05,34.214,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-06,38.914,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-07,40.675,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-08,41.283,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-09,38.987,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-10,37.871,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-11,22.731,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2024-12,31.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-01,27.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-02,26.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-03,32.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-04,31.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-05,35.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-06,50.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-07,51.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-08,49.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-09,52.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-10,42.000,,
