country,scenario,year,methanol_production
AT,DE,2019,0.0
AT,DE,2030,0.0
AT,DE,2040,0.0
AT,DE,2050,0.0
AT,GA,2019,0.0
AT,GA,2030,0.0
AT,GA,2040,0.0
AT,GA,2050,0.0
BE,DE,2019,4900.0
BE,DE,2030,4969.299999999999
BE,DE,2040,5032.300000000001
BE,DE,2050,5056.8
BE,GA,2019,4900.0
BE,GA,2030,4969.299999999999
BE,GA,2040,5032.300000000001
BE,GA,2050,5056.8
BG,DE,2019,0.0
BG,DE,2030,0.0
BG,DE,2040,0.0
BG,DE,2050,0.0
BG,GA,2019,0.0
BG,GA,2030,0.0
BG,GA,2040,0.0
BG,GA,2050,0.0
CY,DE,2019,0.0
CY,DE,2030,0.0
CY,DE,2040,0.0
CY,DE,2050,0.0
CY,GA,2019,0.0
CY,GA,2030,0.0
CY,GA,2040,0.0
CY,GA,2050,0.0
CZ,DE,2019,0.0
CZ,DE,2030,0.0
CZ,DE,2040,0.0
CZ,DE,2050,0.0
CZ,GA,2019,0.0
CZ,GA,2030,0.0
CZ,GA,2040,0.0
CZ,GA,2050,0.0
DE,DE,2019,1128000.0
DE,DE,2030,1104365.714285714
DE,DE,2040,1082880.0
DE,DE,2050,1082880.0
DE,GA,2019,1128000.0
DE,GA,2030,1104365.714285714
DE,GA,2040,1082880.0
DE,GA,2050,1082880.0
DK,DE,2019,154.0
DK,DE,2030,158.03333333333333
DK,DE,2040,161.70000000000002
DK,DE,2050,169.4
DK,GA,2019,154.0
DK,GA,2030,154.0
DK,GA,2040,154.0
DK,GA,2050,161.70000000000002
EE,DE,2019,0.0
EE,DE,2030,0.0
EE,DE,2040,0.0
EE,DE,2050,0.0
EE,GA,2019,0.0
EE,GA,2030,0.0
EE,GA,2040,0.0
EE,GA,2050,0.0
ES,DE,2019,974.0
ES,DE,2030,999.5095238095237
ES,DE,2040,1022.7
ES,DE,2050,1071.4
ES,GA,2019,974.0
ES,GA,2030,974.0
ES,GA,2040,974.0
ES,GA,2050,1022.7
FI,DE,2019,24.0
FI,DE,2030,26.514285714285716
FI,DE,2040,28.799999999999997
FI,DE,2050,32.400000000000006
FI,GA,2019,24.0
FI,GA,2030,24.0
FI,GA,2040,24.0
FI,GA,2050,24.0
FR,DE,2019,10000.0
FR,DE,2030,10000.0
FR,DE,2040,10000.0
FR,DE,2050,9500.0
FR,GA,2019,10000.0
FR,GA,2030,10000.0
FR,GA,2040,10000.0
FR,GA,2050,9500.0
GR,DE,2019,0.0
GR,DE,2030,0.0
GR,DE,2040,0.0
GR,DE,2050,0.0
GR,GA,2019,0.0
GR,GA,2030,0.0
GR,GA,2040,0.0
GR,GA,2050,0.0
HR,DE,2019,0.8
HR,DE,2030,0.8209523809523809
HR,DE,2040,0.8400000000000001
HR,DE,2050,0.8800000000000001
HR,GA,2019,0.8
HR,GA,2030,0.8
HR,GA,2040,0.8
HR,GA,2050,0.8400000000000001
HU,DE,2019,143.0
HU,DE,2030,146.74523809523808
HU,DE,2040,150.15
HU,DE,2050,157.3
HU,GA,2019,143.0
HU,GA,2030,143.0
HU,GA,2040,143.0
HU,GA,2050,150.15
IE,DE,2019,0.0
IE,DE,2030,0.0
IE,DE,2040,0.0
IE,DE,2050,0.0
IE,GA,2019,0.0
IE,GA,2030,0.0
IE,GA,2040,0.0
IE,GA,2050,0.0
IT,DE,2019,0.0
IT,DE,2030,0.0
IT,DE,2040,0.0
IT,DE,2050,0.0
IT,GA,2019,0.0
IT,GA,2030,0.0
IT,GA,2040,0.0
IT,GA,2050,0.0
LT,DE,2019,0.0
LT,DE,2030,0.0
LT,DE,2040,0.0
LT,DE,2050,0.0
LT,GA,2019,0.0
LT,GA,2030,0.0
LT,GA,2040,0.0
LT,GA,2050,0.0
LU,DE,2019,0.0
LU,DE,2030,0.0
LU,DE,2040,0.0
LU,DE,2050,0.0
LU,GA,2019,0.0
LU,GA,2030,0.0
LU,GA,2040,0.0
LU,GA,2050,0.0
LV,DE,2019,0.0
LV,DE,2030,0.0
LV,DE,2040,0.0
LV,DE,2050,0.0
LV,GA,2019,0.0
LV,GA,2030,0.0
LV,GA,2040,0.0
LV,GA,2050,0.0
MT,DE,2019,0.0
MT,DE,2030,0.0
MT,DE,2040,0.0
MT,DE,2050,0.0
MT,GA,2019,0.0
MT,GA,2030,0.0
MT,GA,2040,0.0
MT,GA,2050,0.0
NL,DE,2019,477000.0
NL,DE,2030,227142.85714285716
NL,DE,2040,0.0
NL,DE,2050,0.0
NL,GA,2019,477000.0
NL,GA,2030,227142.85714285716
NL,GA,2040,0.0
NL,GA,2050,0.0
PL,DE,2019,0.0
PL,DE,2030,0.0
PL,DE,2040,0.0
PL,DE,2050,0.0
PL,GA,2019,0.0
PL,GA,2030,0.0
PL,GA,2040,0.0
PL,GA,2050,0.0
PT,DE,2019,0.0
PT,DE,2030,0.0
PT,DE,2040,0.0
PT,DE,2050,0.0
PT,GA,2019,0.0
PT,GA,2030,0.0
PT,GA,2040,0.0
PT,GA,2050,0.0
RO,DE,2019,10.0
RO,DE,2030,10.261904761904761
RO,DE,2040,10.5
RO,DE,2050,11.0
RO,GA,2019,10.0
RO,GA,2030,10.0
RO,GA,2040,10.0
RO,GA,2050,10.5
SE,DE,2019,3000.0
SE,DE,2030,3157.1428571428573
SE,DE,2040,3300.0000000000005
SE,DE,2050,3300.0000000000005
SE,GA,2019,3000.0
SE,GA,2030,3157.1428571428573
SE,GA,2040,3300.0000000000005
SE,GA,2050,3300.0000000000005
SI,DE,2019,0.0
SI,DE,2030,0.0
SI,DE,2040,0.0
SI,DE,2050,0.0
SI,GA,2019,0.0
SI,GA,2030,0.0
SI,GA,2040,0.0
SI,GA,2050,0.0
SK,DE,2019,0.0
SK,DE,2030,0.0
SK,DE,2040,0.0
SK,DE,2050,0.0
SK,GA,2019,0.0
SK,GA,2030,0.0
SK,GA,2040,0.0
SK,GA,2050,0.0
