country,scenario,year,olefins_activity,h2_intensity,h2_demand_t_per_yr,scope
AT,decarbo-eu,2019,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,decarbo-eu,2020,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,decarbo-eu,2021,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,decarbo-eu,2022,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,decarbo-eu,2023,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,decarbo-eu,2024,756221.2142857142,0.02,15124.424285714284,petrochem_olefins
AT,decarbo-eu,2025,716773.5686909088,0.02,14335.471373818176,petrochem_olefins
AT,decarbo-eu,2026,677325.9230961037,0.02,13546.518461922074,petrochem_olefins
AT,decarbo-eu,2027,637878.2775012985,0.02,12757.565550025969,petrochem_olefins
AT,decarbo-eu,2028,598430.631906493,0.02,11968.61263812986,petrochem_olefins
AT,decarbo-eu,2029,558982.9863116879,0.02,11179.659726233758,petrochem_olefins
AT,decarbo-eu,2030,519535.34071688243,0.02,10390.70681433765,petrochem_olefins
AT,decarbo-eu,2031,487464.9793285815,0.0198,9651.806590705914,petrochem_olefins
AT,decarbo-eu,2032,455394.61794028047,0.0196,8925.734511629496,petrochem_olefins
AT,decarbo-eu,2033,423324.2565519792,0.0194,8212.490577108398,petrochem_olefins
AT,decarbo-eu,2034,391253.89516367833,0.0192,7512.074787142623,petrochem_olefins
AT,decarbo-eu,2035,359183.5337753774,0.019,6824.48714173217,petrochem_olefins
AT,decarbo-eu,2036,327113.1723870762,0.0188,6149.727640877033,petrochem_olefins
AT,decarbo-eu,2037,295042.8109987752,0.018600000000000002,5487.796284577219,petrochem_olefins
AT,decarbo-eu,2038,262972.44961047417,0.0184,4838.693072832724,petrochem_olefins
AT,decarbo-eu,2039,230902.08822217313,0.0182,4202.418005643552,petrochem_olefins
AT,decarbo-eu,2040,198831.72683387206,0.018000000000000002,3578.9710830096974,petrochem_olefins
AT,decarbo-eu,2041,186106.98872816906,0.0178,3312.7043993614093,petrochem_olefins
AT,decarbo-eu,2042,173382.2506224661,0.0176,3051.5276109554034,petrochem_olefins
AT,decarbo-eu,2043,160657.51251676315,0.0174,2795.4407177916787,petrochem_olefins
AT,decarbo-eu,2044,147932.7744110602,0.017200000000000003,2544.4437198702362,petrochem_olefins
AT,decarbo-eu,2045,135208.03630535727,0.017,2298.5366171910737,petrochem_olefins
AT,decarbo-eu,2046,122483.29819965424,0.016800000000000002,2057.7194097541915,petrochem_olefins
AT,decarbo-eu,2047,109758.5600939513,0.0166,1821.9920975595915,petrochem_olefins
AT,decarbo-eu,2048,97033.82198824831,0.0164,1591.3546806072725,petrochem_olefins
AT,decarbo-eu,2049,84309.08388254538,0.016200000000000003,1365.8071588972355,petrochem_olefins
AT,decarbo-eu,2050,71584.34577684238,0.016,1145.3495324294781,petrochem_olefins
BE,decarbo-eu,2019,4033928.571428571,0.02,80678.57142857142,petrochem_olefins
BE,decarbo-eu,2020,4033928.571428571,0.02,80678.57142857142,petrochem_olefins
BE,decarbo-eu,2021,4033928.571428571,0.02,80678.57142857142,petrochem_olefins
BE,decarbo-eu,2022,4033928.571428571,0.02,80678.57142857142,petrochem_olefins
BE,decarbo-eu,2023,4033928.571428571,0.02,80678.57142857142,petrochem_olefins
BE,decarbo-eu,2024,4033928.571428571,0.02,80678.57142857142,petrochem_olefins
BE,decarbo-eu,2025,3823502.069719309,0.02,76470.04139438618,petrochem_olefins
BE,decarbo-eu,2026,3613075.568010046,0.02,72261.51136020092,petrochem_olefins
BE,decarbo-eu,2027,3402649.066300784,0.02,68052.98132601568,petrochem_olefins
BE,decarbo-eu,2028,3192222.5645915205,0.02,63844.45129183041,petrochem_olefins
BE,decarbo-eu,2029,2981796.062882258,0.02,59635.92125764516,petrochem_olefins
BE,decarbo-eu,2030,2771369.5611729953,0.02,55427.391223459905,petrochem_olefins
BE,decarbo-eu,2031,2600295.879746983,0.0198,51485.85841899026,petrochem_olefins
BE,decarbo-eu,2032,2429222.1983209695,0.0196,47612.755087091,petrochem_olefins
BE,decarbo-eu,2033,2258148.516894955,0.0194,43808.08122776213,petrochem_olefins
BE,decarbo-eu,2034,2087074.8354689425,0.0192,40071.83684100369,petrochem_olefins
BE,decarbo-eu,2035,1916001.1540429294,0.019,36404.02192681566,petrochem_olefins
BE,decarbo-eu,2036,1744927.4726169151,0.0188,32804.636485198,petrochem_olefins
BE,decarbo-eu,2037,1573853.7911909022,0.018600000000000002,29273.680516150784,petrochem_olefins
BE,decarbo-eu,2038,1402780.1097648889,0.0184,25811.154019673955,petrochem_olefins
BE,decarbo-eu,2039,1231706.4283388758,0.0182,22417.05699576754,petrochem_olefins
BE,decarbo-eu,2040,1060632.7469128626,0.018000000000000002,19091.38944443153,petrochem_olefins
BE,decarbo-eu,2041,992754.8777935395,0.0178,17671.036824725004,petrochem_olefins
BE,decarbo-eu,2042,924877.0086742166,0.0176,16277.835352666212,petrochem_olefins
BE,decarbo-eu,2043,856999.139554894,0.0174,14911.785028255154,petrochem_olefins
BE,decarbo-eu,2044,789121.2704355714,0.017200000000000003,13572.885851491832,petrochem_olefins
BE,decarbo-eu,2045,721243.4013162485,0.017,12261.137822376224,petrochem_olefins
BE,decarbo-eu,2046,653365.5321969256,0.016800000000000002,10976.540940908351,petrochem_olefins
BE,decarbo-eu,2047,585487.6630776029,0.0166,9719.095207088207,petrochem_olefins
BE,decarbo-eu,2048,517609.7939582799,0.0164,8488.80062091579,petrochem_olefins
BE,decarbo-eu,2049,449731.9248389573,0.016200000000000003,7285.65718239111,petrochem_olefins
