country,year,refinery_scenario,refinery_activity,refinery_index,olefins_scenario
AT,2019,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2020,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2021,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2022,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2023,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2024,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2025,more-molecule,1578273.6204054155,0.945968310814477,bau-eu
AT,2026,more-molecule,1488126.0026337043,0.8919366216289544,bau-eu
AT,2027,more-molecule,1397978.3848619924,0.8379049324434314,bau-eu
AT,2028,more-molecule,1307830.7670902808,0.7838732432579086,bau-eu
AT,2029,more-molecule,1217683.149318569,0.7298415540723858,bau-eu
AT,2030,more-molecule,1127535.5315468574,0.6758098648868631,bau-eu
AT,2031,more-molecule,1060745.2679153434,0.6357778501275165,bau-eu
AT,2032,more-molecule,993955.0042838289,0.5957458353681697,bau-eu
AT,2033,more-molecule,927164.7406523147,0.555713820608823,bau-eu
AT,2034,more-molecule,860374.4770208005,0.5156818058494763,bau-eu
AT,2035,more-molecule,793584.2133892863,0.4756497910901297,bau-eu
AT,2036,more-molecule,726793.949757772,0.435617776330783,bau-eu
AT,2037,more-molecule,660003.6861262579,0.3955857615714364,bau-eu
AT,2038,more-molecule,593213.4224947436,0.3555537468120897,bau-eu
AT,2039,more-molecule,526423.1588632293,0.315521732052743,bau-eu
AT,2040,more-molecule,459632.89523171517,0.27548971729339633,bau-eu
AT,2041,more-molecule,430766.6457448858,0.2581881816701937,bau-eu
AT,2042,more-molecule,401900.3962580565,0.24088664604699117,bau-eu
AT,2043,more-molecule,373034.14677122724,0.22358511042378862,bau-eu
AT,2044,more-molecule,344167.8972843979,0.20628357480058604,bau-eu
AT,2045,more-molecule,315301.6477975686,0.1889820391773835,bau-eu
AT,2046,more-molecule,286435.39831073926,0.1716805035541809,bau-eu
AT,2047,more-molecule,257569.14882391,0.15437896793097836,bau-eu
AT,2048,more-molecule,228702.89933708063,0.13707743230777575,bau-eu
AT,2049,more-molecule,199836.6498502514,0.11977589668457322,bau-eu
AT,2050,more-molecule,170970.40036342212,0.10247436106137069,bau-eu
BE,2019,more-molecule,16546990.627687015,1.0,bau-eu
BE,2020,more-molecule,16546990.627687015,1.0,bau-eu
BE,2021,more-molecule,16546990.627687015,1.0,bau-eu
BE,2022,more-molecule,16546990.627687015,1.0,bau-eu
BE,2023,more-molecule,16546990.627687015,1.0,bau-eu
BE,2024,more-molecule,16546990.627687015,1.0,bau-eu
BE,2025,more-molecule,15652928.773136068,0.9459683108144771,bau-eu
BE,2026,more-molecule,14758866.918585127,0.8919366216289544,bau-eu
BE,2027,more-molecule,13864805.064034183,0.8379049324434316,bau-eu
BE,2028,more-molecule,12970743.209483238,0.7838732432579086,bau-eu
BE,2029,more-molecule,12076681.354932295,0.7298415540723859,bau-eu
BE,2030,more-molecule,11182619.500381349,0.6758098648868629,bau-eu
BE,2031,more-molecule,10520210.127351014,0.6357778501275164,bau-eu
BE,2032,more-molecule,9857800.754320677,0.5957458353681698,bau-eu
BE,2033,more-molecule,9195391.381290337,0.555713820608823,bau-eu
BE,2034,more-molecule,8532982.00826,0.5156818058494764,bau-eu
BE,2035,more-molecule,7870572.635229663,0.4756497910901297,bau-eu
BE,2036,more-molecule,7208163.262199325,0.435617776330783,bau-eu
BE,2037,more-molecule,6545753.889168988,0.3955857615714364,bau-eu
BE,2038,more-molecule,5883344.516138649,0.3555537468120896,bau-eu
BE,2039,more-molecule,5220935.14310831,0.3155217320527429,bau-eu
BE,2040,more-molecule,4558525.770077975,0.27548971729339633,bau-eu
BE,2041,more-molecule,4272237.422276247,0.2581881816701937,bau-eu
BE,2042,more-molecule,3985949.0744745224,0.24088664604699117,bau-eu
BE,2043,more-molecule,3699660.726672797,0.22358511042378865,bau-eu
BE,2044,more-molecule,3413372.3788710707,0.20628357480058607,bau-eu
BE,2045,more-molecule,3127084.031069345,0.1889820391773835,bau-eu
BE,2046,more-molecule,2840795.6832676185,0.1716805035541809,bau-eu
BE,2047,more-molecule,2554507.335465893,0.15437896793097836,bau-eu
BE,2048,more-molecule,2268218.9876641664,0.13707743230777575,bau-eu
BE,2049,more-molecule,1981930.6398624415,0.11977589668457324,bau-eu
BE,2050,more-molecule,1695642.2920607156,0.10247436106137067,bau-eu
BG,2019,more-molecule,2324679.8796216683,1.0,bau-eu
BG,2020,more-molecule,2324679.8796216683,1.0,bau-eu
