country,scenario,year,naphta_total,naphta_domestic,naphta_imported,electricity_demand_from_naphta,ch4_demand_from_naphta,h2_demand_from_naphta,demand_factor,import_share
AT,import-eu-naphta,2019,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2020,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2021,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2022,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2023,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2024,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2025,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2026,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2027,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2028,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2029,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,import-eu-naphta,2030,10587096.999999998,8469677.599999998,2117419.4,496831.28801599983,134837.26739199998,75718.91774399998,1.0,0.2
AT,import-eu-naphta,2031,10587096.999999998,8469677.599999998,2117419.4,496831.28801599983,134837.26739199998,75718.91774399998,1.0,0.2
AT,import-eu-naphta,2032,10587096.999999998,8469677.599999998,2117419.4,496831.28801599983,134837.26739199998,75718.91774399998,1.0,0.2
AT,import-eu-naphta,2033,10587096.999999998,8469677.599999998,2117419.4,496831.28801599983,134837.26739199998,75718.91774399998,1.0,0.2
AT,import-eu-naphta,2034,10587096.999999998,8469677.599999998,2117419.4,496831.28801599983,134837.26739199998,75718.91774399998,1.0,0.2
AT,import-eu-naphta,2035,10587096.999999998,5293548.499999999,5293548.499999999,310519.55500999995,84273.29211999998,47324.32358999999,1.0,0.5
AT,import-eu-naphta,2036,10587096.999999998,5293548.499999999,5293548.499999999,310519.55500999995,84273.29211999998,47324.32358999999,1.0,0.5
AT,import-eu-naphta,2037,10587096.999999998,5293548.499999999,5293548.499999999,310519.55500999995,84273.29211999998,47324.32358999999,1.0,0.5
AT,import-eu-naphta,2038,10587096.999999998,5293548.499999999,5293548.499999999,310519.55500999995,84273.29211999998,47324.32358999999,1.0,0.5
AT,import-eu-naphta,2039,10587096.999999998,5293548.499999999,5293548.499999999,310519.55500999995,84273.29211999998,47324.32358999999,1.0,0.5
AT,import-eu-naphta,2040,10587096.999999998,5293548.499999999,5293548.499999999,310519.55500999995,84273.29211999998,47324.32358999999,1.0,0.5
AT,import-eu-naphta,2041,10587096.999999998,5293548.499999999,5293548.499999999,310519.55500999995,84273.29211999998,47324.32358999999,1.0,0.5
AT,import-eu-naphta,2042,10587096.999999998,5293548.499999999,5293548.499999999,310519.55500999995,84273.29211999998,47324.32358999999,1.0,0.5
AT,import-eu-naphta,2043,10587096.999999998,5293548.499999999,5293548.499999999,310519.55500999995,84273.29211999998,47324.32358999999,1.0,0.5
AT,import-eu-naphta,2044,10587096.999999998,5293548.499999999,5293548.499999999,310519.55500999995,84273.29211999998,47324.32358999999,1.0,0.5
AT,import-eu-naphta,2045,10587096.999999998,0.0,10587096.999999998,0.0,0.0,0.0,1.0,1.0
AT,import-eu-naphta,2046,10587096.999999998,0.0,10587096.999999998,0.0,0.0,0.0,1.0,1.0
AT,import-eu-naphta,2047,10587096.999999998,0.0,10587096.999999998,0.0,0.0,0.0,1.0,1.0
AT,import-eu-naphta,2048,10587096.999999998,0.0,10587096.999999998,0.0,0.0,0.0,1.0,1.0
AT,import-eu-naphta,2049,10587096.999999998,0.0,10587096.999999998,0.0,0.0,0.0,1.0,1.0
AT,import-eu-naphta,2050,10587096.999999998,0.0,10587096.999999998,0.0,0.0,0.0,1.0,1.0
BE,import-eu-naphta,2019,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2020,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2021,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2022,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2023,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2024,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2025,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2026,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2027,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2028,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2029,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,import-eu-naphta,2030,56474999.99999999,45179999.99999999,11295000.0,2650258.7999999993,719265.5999999999,403909.19999999995,1.0,0.2
BE,import-eu-naphta,2031,56474999.99999999,45179999.99999999,11295000.0,2650258.7999999993,719265.5999999999,403909.19999999995,1.0,0.2
BE,import-eu-naphta,2032,56474999.99999999,45179999.99999999,11295000.0,2650258.7999999993,719265.5999999999,403909.19999999995,1.0,0.2
BE,import-eu-naphta,2033,56474999.99999999,45179999.99999999,11295000.0,2650258.7999999993,719265.5999999999,403909.19999999995,1.0,0.2
BE,import-eu-naphta,2034,56474999.99999999,45179999.99999999,11295000.0,2650258.7999999993,719265.5999999999,403909.19999999995,1.0,0.2
BE,import-eu-naphta,2035,56474999.99999999,28237499.999999996,28237499.999999996,1656411.7499999998,449540.99999999994,252443.24999999997,1.0,0.5
BE,import-eu-naphta,2036,56474999.99999999,28237499.999999996,28237499.999999996,1656411.7499999998,449540.99999999994,252443.24999999997,1.0,0.5
BE,import-eu-naphta,2037,56474999.99999999,28237499.999999996,28237499.999999996,1656411.7499999998,449540.99999999994,252443.24999999997,1.0,0.5
BE,import-eu-naphta,2038,56474999.99999999,28237499.999999996,28237499.999999996,1656411.7499999998,449540.99999999994,252443.24999999997,1.0,0.5
BE,import-eu-naphta,2039,56474999.99999999,28237499.999999996,28237499.999999996,1656411.7499999998,449540.99999999994,252443.24999999997,1.0,0.5
BE,import-eu-naphta,2040,56474999.99999999,28237499.999999996,28237499.999999996,1656411.7499999998,449540.99999999994,252443.24999999997,1.0,0.5
BE,import-eu-naphta,2041,56474999.99999999,28237499.999999996,28237499.999999996,1656411.7499999998,449540.99999999994,252443.24999999997,1.0,0.5
BE,import-eu-naphta,2042,56474999.99999999,28237499.999999996,28237499.999999996,1656411.7499999998,449540.99999999994,252443.24999999997,1.0,0.5
BE,import-eu-naphta,2043,56474999.99999999,28237499.999999996,28237499.999999996,1656411.7499999998,449540.99999999994,252443.24999999997,1.0,0.5
BE,import-eu-naphta,2044,56474999.99999999,28237499.999999996,28237499.999999996,1656411.7499999998,449540.99999999994,252443.24999999997,1.0,0.5
BE,import-eu-naphta,2045,56474999.99999999,0.0,56474999.99999999,0.0,0.0,0.0,1.0,1.0
