country,scenario,year,naphta_total,naphta_domestic,naphta_imported,electricity_demand_from_naphta,ch4_demand_from_naphta,h2_demand_from_naphta,demand_factor,import_share
AT,intermediary-eu-naphta,2019,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,intermediary-eu-naphta,2020,10544748.611999998,10544748.611999998,0.0,618554.9535799199,167872.39790303996,94270.05259127998,0.996,0.0
AT,intermediary-eu-naphta,2021,10502569.617552,10502569.617552,0.0,616080.7337656002,167200.90831142783,93892.97238091487,0.992016,0.0
AT,intermediary-eu-naphta,2022,10460559.33908179,10460559.33908179,0.0,613616.4108305378,166532.1046781821,93517.4004913912,0.988047936,0.0
AT,intermediary-eu-naphta,2023,10418717.101725463,10418717.101725463,0.0,611161.9451872156,165865.97625946937,93143.33088942563,0.984095744256,0.0
AT,intermediary-eu-naphta,2024,10377042.23331856,10377042.23331856,0.0,608717.2974064667,165202.51235443147,92770.75756586793,0.980159361278976,0.0
AT,intermediary-eu-naphta,2025,10335534.064385286,10335534.064385286,0.0,606282.4282168408,164541.70230501375,92399.67453560446,0.97623872383386,0.0
AT,intermediary-eu-naphta,2026,10294191.928127745,10294191.928127745,0.0,603857.2985039735,163883.5354957937,92030.07583746205,0.9723337689385245,0.0
AT,intermediary-eu-naphta,2027,10253015.160415234,10253015.160415234,0.0,601441.8693099576,163228.00135381054,91661.95553411219,0.9684444338627705,0.0
AT,intermediary-eu-naphta,2028,10212003.099773573,10212003.099773573,0.0,599036.1018327178,162575.08934839527,91295.30771197574,0.9645706561273194,0.0
AT,intermediary-eu-naphta,2029,10171155.087374479,10171155.087374479,0.0,596639.9574253869,161924.7889910017,90930.12648112784,0.9607123735028101,0.0
AT,intermediary-eu-naphta,2030,9117423.420322483,9117423.420322483,0.0,534828.0578361169,145149.38085153393,81509.765377683,0.861182571607919,0.0
AT,intermediary-eu-naphta,2031,8935074.951916033,8935074.951916033,0.0,524131.4966793945,142246.39323450325,79879.57007012934,0.8439589201757606,0.0
AT,intermediary-eu-naphta,2032,8756373.452877712,8756373.452877712,0.0,513648.86674580653,139401.46536981317,78281.97866872675,0.8270797417722453,0.0
AT,intermediary-eu-naphta,2033,8581245.983820157,8581245.983820157,0.0,503375.8894108904,136613.4360624169,76716.3390953522,0.8105381469368004,0.0
AT,intermediary-eu-naphta,2034,8409621.064143755,8409621.064143755,0.0,493308.3716226726,133881.16734116856,75182.01231344517,0.7943273839980644,0.0
AT,intermediary-eu-naphta,2035,8241428.642860878,8241428.642860878,0.0,483442.2041902191,131203.54399434518,73678.37206717626,0.778440836318103,0.0
AT,intermediary-eu-naphta,2036,7994185.7835750505,7994185.7835750505,0.0,468938.93806451245,127267.4376745148,71468.02090516096,0.7550876112285598,0.0
AT,intermediary-eu-naphta,2037,7754360.210067799,7754360.210067799,0.0,454870.7699225771,123449.41454427937,69323.98027800613,0.7324349828917031,0.0
AT,intermediary-eu-naphta,2038,7521729.403765765,7521729.403765765,0.0,441224.64682489977,119745.93210795098,67244.26086966594,0.7104619334049519,0.0
AT,intermediary-eu-naphta,2039,7296077.521652793,7296077.521652793,0.0,427987.9074201528,116153.55414471246,65226.93304357597,0.6891480754028034,0.0
AT,intermediary-eu-naphta,2040,6290840.174225074,6290840.174225074,0.0,369020.68462004286,100150.17557366319,56240.111157572166,0.5941987850139727,0.0
AT,intermediary-eu-naphta,2041,6102114.968998322,6102114.968998322,0.0,357950.06408144155,97145.67030645329,54552.907822845,0.5763728214635535,0.0
AT,intermediary-eu-naphta,2042,5919051.5199283715,5919051.5199283715,0.0,347211.5621589983,94231.30019725967,52916.320588159644,0.5590816368196468,0.0
AT,intermediary-eu-naphta,2043,5741479.97433052,5741479.97433052,0.0,336795.2152942283,91404.36119134189,51328.83097051485,0.5423091877150574,0.0
AT,intermediary-eu-naphta,2044,5569235.575100604,5569235.575100604,0.0,326691.3588354014,88662.23035560163,49788.966041399406,0.5260399120836057,0.0
AT,intermediary-eu-naphta,2045,5402158.507847587,5402158.507847587,0.0,316890.61807033943,86002.36344493358,48295.29706015743,0.5102587147210975,0.0
AT,intermediary-eu-naphta,2046,5213082.960072921,5213082.960072921,0.0,305799.4464378775,82992.2807243609,46604.96166305191,0.4923996597058591,0.0
AT,intermediary-eu-naphta,2047,5030625.056470369,5030625.056470369,0.0,295096.46581255185,80087.55089900827,44973.7880048451,0.4751656716161541,0.0
AT,intermediary-eu-naphta,2048,4854553.179493906,4854553.179493906,0.0,284768.0895091125,77284.48661754298,43399.70542467552,0.4585348731095887,0.0
AT,intermediary-eu-naphta,2049,4684643.81821162,4684643.81821162,0.0,274801.2063762936,74579.52958592899,41880.71573481188,0.4424861525507531,0.0
AT,intermediary-eu-naphta,2050,4520681.2845742125,4520681.2845742125,0.0,265183.1641531233,71969.24605042147,40414.89068409346,0.4269991372114767,0.0
BE,intermediary-eu-naphta,2019,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,intermediary-eu-naphta,2020,56249099.99999999,56249099.99999999,0.0,3299572.2059999993,895485.6719999999,502866.9539999999,0.996,0.0
BE,intermediary-eu-naphta,2021,56024103.599999994,56024103.599999994,0.0,3286373.9171759994,891903.7293119999,500855.4861839999,0.992016,0.0
BE,intermediary-eu-naphta,2022,55800007.18559999,55800007.18559999,0.0,3273228.421507295,888336.1143947518,498852.06423926394,0.988047936,0.0
