country,scenario,year,ammonia_production
AT,DE,2019,455000.0
AT,DE,2030,455000.0
AT,DE,2040,455000.0
AT,DE,2050,455000.0
AT,GA,2019,455000.0
AT,GA,2030,455000.0
AT,GA,2040,455000.0
AT,GA,2050,455000.0
BE,DE,2019,870000.0
BE,DE,2030,874557.1428571428
BE,DE,2040,878700.0
BE,DE,2050,883049.9999999999
BE,GA,2019,870000.0
BE,GA,2030,874557.1428571428
BE,GA,2040,878700.0
BE,GA,2050,883920.0
BG,DE,2019,230000.0
BG,DE,2030,266142.85714285716
BG,DE,2040,299000.0
BG,DE,2050,322000.0
BG,GA,2019,230000.0
BG,GA,2030,254095.2380952381
BG,GA,2040,276000.0
BG,GA,2050,276000.0
CY,DE,2019,0.0
CY,DE,2030,0.0
CY,DE,2040,0.0
CY,DE,2050,0.0
CY,GA,2019,0.0
CY,GA,2030,0.0
CY,GA,2040,0.0
CY,GA,2050,0.0
CZ,DE,2019,130000.0
CZ,DE,2030,150428.57142857145
CZ,DE,2040,169000.0
CZ,DE,2050,182000.0
CZ,GA,2019,130000.0
CZ,GA,2030,143619.04761904763
CZ,GA,2040,156000.0
CZ,GA,2050,156000.0
DE,DE,2019,2415000.0
DE,DE,2030,2312535.0
DE,DE,2040,2219385.0
DE,DE,2050,2173500.0
DE,GA,2019,2415000.0
DE,GA,2030,2301150.0000000005
DE,GA,2040,2197650.0
DE,GA,2050,2197650.0
DK,DE,2019,0.0
DK,DE,2030,0.0
DK,DE,2040,0.0
DK,DE,2050,0.0
DK,GA,2019,0.0
DK,GA,2030,0.0
DK,GA,2040,0.0
DK,GA,2050,0.0
EE,DE,2019,22000.0
EE,DE,2030,25457.14285714286
EE,DE,2040,28600.0
EE,DE,2050,30799.999999999996
EE,GA,2019,22000.0
EE,GA,2030,24304.761904761905
EE,GA,2040,26400.0
EE,GA,2050,26400.0
ES,DE,2019,440000.0
ES,DE,2030,509142.8571428572
ES,DE,2040,572000.0
ES,DE,2050,616000.0
ES,GA,2019,440000.0
