country,scenario,year,steel_production,dri_network_gas_production,dri_hydrogen_production,blastfurnace_bof_production
AT,DE,2019,7592214.0,0.0,0.0,6863361.456
AT,DE,2030,7592214.0,0.0,2783811.8000000003,3268267.36
AT,DE,2040,7592214.0,0.0,5314549.8,-1.0789185012072266e-09
AT,DE,2050,7592214.0,0.0,5314549.8,0.0
AT,GA,2019,7592214.0,0.0,0.0,6863361.456
AT,GA,2030,7393370.3,0.0,2710902.4433333334,3182669.8815238094
AT,GA,2040,7212603.3,0.0,5048822.31,-1.0249725761468653e-09
AT,GA,2050,7212603.3,0.0,5048822.31,0.0
BE,DE,2019,7759543.0,0.0,0.0,5237691.525
BE,DE,2030,8068446.7118095225,748060.2737091972,2248407.1503575873,2593429.300224489
BE,DE,2040,8349268.267999998,1477820.4834359996,4441810.718576,0.0
BE,DE,2050,9063146.223999998,0.0,6253570.894559998,0.0
BE,GA,2019,7759543.0,0.0,0.0,5237691.525
BE,GA,2030,8068446.7118095225,748060.2737091972,2248407.1503575873,2593429.300224489
BE,GA,2040,8349268.267999998,1477820.4834359996,4441810.718576,0.0
BE,GA,2050,9063146.223999998,0.0,6253570.894559998,0.0
BG,DE,2019,565900.0,0.0,0.0,0.0
BG,DE,2030,565994.8556193439,0.0,106730.45848821914,59294.699160121745
BG,DE,2040,566081.0880005659,0.0,203789.19168020372,113216.21760011319
BG,DE,2050,566081.0880005659,0.0,283040.54400028294,0.0
BG,GA,2019,565900.0,0.0,0.0,0.0
BG,GA,2030,565994.8556193439,0.0,106730.45848821914,59294.699160121745
BG,GA,2040,566081.0880005659,0.0,203789.19168020372,113216.21760011319
BG,GA,2050,566081.0880005659,0.0,283040.54400028294,0.0
CY,DE,2019,0.0,0.0,0.0,0.0
CY,DE,2030,0.0,0.0,0.0,0.0
CY,DE,2040,0.0,0.0,0.0,0.0
CY,DE,2050,0.0,0.0,0.0,0.0
CY,GA,2019,0.0,0.0,0.0,0.0
CY,GA,2030,0.0,0.0,0.0,0.0
CY,GA,2040,0.0,0.0,0.0,0.0
CY,GA,2050,0.0,0.0,0.0,0.0
CZ,DE,2019,4436832.0,0.0,0.0,4201679.904
CZ,DE,2030,4437575.69755661,0.0,836799.9886821037,2466024.209070745
CZ,DE,2040,4438251.786244437,0.0,1597770.6430479973,887650.3572488874
CZ,DE,2050,4436832.0,0.0,1331049.5999999999,0.0
CZ,GA,2019,4436832.0,0.0,0.0,4201679.904
CZ,GA,2030,4437575.69755661,0.0,836799.9886821037,2466024.209070745
CZ,GA,2040,4438251.786244437,0.0,1597770.6430479973,887650.3572488874
CZ,GA,2050,4438251.786244437,0.0,2219125.8931222185,0.0
DE,DE,2019,39627347.0,0.0,0.0,27739142.9
DE,DE,2030,39834918.81761905,3547204.6756641725,7929045.745602268,13278306.272539679
DE,DE,2040,40023620.47,6804015.479900001,15208975.7786,0.0
DE,DE,2050,40023620.47,0.0,22012991.258500002,0.0
DE,GA,2019,39627347.0,0.0,0.0,27739142.9
DE,GA,2030,39633989.29818456,2698885.9379239962,9134690.86681968,15079789.261547364
DE,GA,2040,39640027.75107963,5153203.607640351,17441612.210475035,3567602.4975971663
DE,GA,2050,39640027.75107963,0.0,21802015.263093796,0.0
DK,DE,2019,466825.43927354657,0.0,0.0,466825.43927354657
DK,DE,2030,466903.6881093264,0.0,88044.69547204442,271248.80928256107
DK,DE,2040,466974.8234145809,0.0,168110.93642924912,93394.96468291618
DK,DE,2050,466974.8234145809,0.0,233487.41170729045,0.0
